id,date,star,text
1,2018/05/13,4,"""社區的熱炒店，不重裝潢，價位適中，口味適合配飯下酒！"""
2,2018/05/13,5,""" CP值高，味道也好，，"""
3,2018/05/13,4,""" 味道好，但如遇有酒席就吵了些，，"""
4,2018/05/13,3,"""還可以啦"""
5,2018/05/13,4,"""還蠻好吃的！"""
6,2018/05/13,5,""" 老闆和老闆娘都很親切，虛心請教，重點很親切，接受客人的批評指導，給他一個讚，，，"""
7,2018/05/13,5,"""好吃  便宜  老闆   老闆娘  親切"""
8,2018/05/13,5,"""昨晚這邊到隔壁書局幾乎是打架聖地(略11點30過後)，但是打了很久，警察也很晚才出現zzz…。這邊原來這麼亂~~"""
9,2019/05/13,3,""" 菜色地道，，"""
10,2019/05/13,5,"""非常好吃，服務態度也很好"""
11,2019/05/13,5,"""好吃，老闆熱情"""
12,2019/05/13,3,"""親友公司聚餐好去處，美味料理，用餐輕鬆。"""
13,2019/05/13,5,"""有兒童座椅 兒童碗筷！帶小孩很方便 鳳梨蝦球小孩超愛～～ 內用飯吃到飽，很適合與姐妹一起吃飯小酌！"""
14,2019/05/13,5,"""便宜好吃，老闆熱情！，生意真的很好欸"""
15,2019/05/13,3,"""中等口味，價格偏高一些"""
16,2019/05/13,5,"""價位不高，囗味不錯，服務態度很好"""
17,2019/05/13,3,"""有時 冷氣 吹得到 有時吹不倒 菜色 我算 可以"""
18,2019/05/13,5,"""不用點菜幾個人，老闆幫我配得好好的，，經濟實惠。"""
19,2019/05/13,5,"""非常好吃，食材新鮮美味，服務周到，下次聚餐一定會在選這間，價格也公道，大推👍👍👍"""
20,2019/05/13,3,"""價格公道，店內外卻沒有什麼裝潢。"""
21,2019/05/13,4,"""用餐環境還不錯，適合小酌，價位中等。"""
22,2019/05/13,5,""" 美味可口，，"""
23,2019/05/13,3,"""菜色還不錯，但戶外吸煙的味道會一直飄進室內，這點不太好"""
24,2019/05/13,3,"""一般快炒店，菜色還可以，就是老闆，老闆娘待人親切，有空時還來跟客人同桌喝一杯套交情，很有鄉下人的熱情呦！價錢也不貴，，他們店中午不休息營業到晚上，如果肚子餓了可以去嚐嚐看呢！"""
25,2019/05/13,5,"""不得不說，食材新鮮價格平實，一試成主顧！"""
26,2019/05/13,4,"""口味OK 價錢便宜 服務親切"""
27,2019/05/13,4,"""好吃，服務也很好，但我去的時間是九點多，不知道人多的時候服務如何"""
28,2019/05/13,5,""" PC值高，，"""
29,2019/05/13,4,"""位於東湖康樂街，很傳統的家常菜，價錢很合理."""
30,2019/05/13,3,"""價格平價"""
31,2019/05/13,3,""" 好吃的，，"""
32,2019/05/13,3,"""不錯吃……生意很好……適合小酌的地方……"""
33,2019/05/13,4,"""今天登山隊14個人用餐，點了一些菜大致上都不錯，只有五更腸旺的大腸韌了點，魚香茄子，茄子太老"""
34,2019/05/13,5,"""餐點份量多又不會太油，價位都清楚標在菜單及牆上，老闆娘也很親切和善"""
35,2019/06/13,5,"""食材新鮮，東西好吃。老闆和老闆娘和老闆女兒，人都很親切。"""
36,2019/06/13,4,"""東西好吃，價位親民。，招牌魚頭感覺厲害。"""
37,2019/07/13,5,"""味美價廉"""
38,2019/07/13,4,"""好吃，口味佳，經濟又實惠，不貴！"""
39,2019/07/13,5,""" 便宜又好吃，，"""
40,2019/09/13,1,"""密閉空間油煙味重，加上裡面喝酒的客人吵的受不了，菜量偏少又不好吃價格偏貴。"""
41,2019/09/13,4,"""老板全家帶客很好，親切"""
42,2019/09/13,5,"""冷筍很貴。炒飯好吃"""
43,2019/09/13,4,"""好吃，把普通的食材經老闆巧手，炒出色香味俱全好吃的菜餚。真讚。"""
44,2019/09/13,5,"""菜色好吃，老闆娘老闆熱情親切，價格公道。對面有停車場方便。"""
45,2019/10/13,5,"""最愛去吃了，料理好吃，會還想再吃，老闆老闆娘很熱情服務。"""
46,2019/11/13,4,"""聚餐熱鬧的好地方"""
47,2019/11/13,4,"""不錯的鄰里餐廳"""
48,2019/11/13,5,""" 好吃，，"""
49,2019/11/13,5,"""價格平價，選擇很多樣，上菜速度快"""
50,2019/11/13,5,"""用過幾次餐！感覺都很好！很適合聚會！"""
51,2019/11/13,5,"""菜做的不錯吃老闆跟老闆娘很親切"""
52,2019/12/13,5,"""超好吃熱炒😋，CP值很高，又大盤～"""
53,2020/01/13,5,"""服務好cp值高食材新鮮."""
54,2020/02/13,3,"""熱炒還不錯吃，老闆很親切"""
55,2020/03/13,1,"""很差的店家，常常超過晚上十二點了還在吵鬧，店家也不會提醒客人"""
56,2020/03/13,3,"""客人太多！有點吵雜！"""
57,2020/03/13,3,"""這次的用餐  點的菜可能不合我的口味"""
58,2020/03/13,4,"""美味實惠"""
59,2020/03/13,4,"""經濟實惠環境舒適"""
