id,name,date,star,text
1,水中鮮餐廳,2014/05/13,5,""" 好吃，，"""
2,水中鮮餐廳,2015/05/13,4,"""份量有點小但也不貴，味道還不賴"""
3,水中鮮餐廳,2015/05/13,5,"""讚啦！"""
4,水中鮮餐廳,2015/05/13,2,"""爛爆，吃到刷鍋的鐵絲，換了一盤，結果又有老闆竟然還說難免，那給我炒一盤刷鍋鐵絲就好了。"""
5,水中鮮餐廳,2016/05/13,5,"""東西很好吃 服務也很親切 人很多 先預約會比較好哦～"""
6,水中鮮餐廳,2016/05/13,5,""" 好吃又便宜 物超所值，，"""
7,水中鮮餐廳,2016/05/13,4,"""多點人吃的話，可以分錢，大概一人一百五左右，白飯吃到飽"""
8,水中鮮餐廳,2016/05/13,4,""" 好吃，三杯中卷好吃，，"""
9,水中鮮餐廳,2016/05/13,4,"""好多樣菜色，好吃的熱炒"""
10,水中鮮餐廳,2017/05/13,4,"""熱炒好吃、價格不貴 白飯吃到飽不加價"""
11,水中鮮餐廳,2017/05/13,4,"""東西好吃，菜色多樣"""
12,水中鮮餐廳,2017/05/13,3,"""花雕雞還不錯"""
13,水中鮮餐廳,2017/05/13,3,"""口味稍鹹，價格平實"""
14,水中鮮餐廳,2017/05/13,5,"""團聚好地方 推"""
15,水中鮮餐廳,2017/05/13,3,""" 重口味，，"""
16,水中鮮餐廳,2017/05/13,3,"""菜色可以，但開車停車不很方便"""
17,水中鮮餐廳,2017/05/13,3,""" 普通，一般，，"""
18,水中鮮餐廳,2017/05/13,3,"""東西有點鹹～"""
19,水中鮮餐廳,2017/05/13,3,"""典型快炒店，用餐時間人聲鼎沸，環境不是那麼清爽，快炒店嘛！就是那個樣子。"""
20,水中鮮餐廳,2017/05/13,5,""" 大！，，"""
21,水中鮮餐廳,2017/05/13,4,""" 台灣美食，海鮮您可以喝一杯便宜的飲料。，，"""
22,水中鮮餐廳,2017/05/13,4,"""社區型熱炒店，小酌還行，不適合飲酒太晚"""
23,水中鮮餐廳,2017/05/13,2,"""這真的很不合我胃口,  啤酒屋快炒的概念, 但是菜餚的口味偏淡, 偏甜, 食材也許因為價格壓力, 所以也是程度有限, 價格倒是還算合理."""
24,水中鮮餐廳,2017/05/13,4,""" 可以接受，，"""
25,水中鮮餐廳,2018/05/13,2,"""第一次吃到難吃的蔥爆牛肉，其他餐廳是軟嫩、這邊是軟爛，吃得出來肉質很不新鮮。，，麻婆豆腐是甜與辣，幾乎沒有「麻」。，，其他剩下的菜表現尚可，飯吃到飽。CP值低基本上不會再去。"""
26,水中鮮餐廳,2018/05/13,1,"""不好吃。而且從頭到尾服務生只有上菜，連點菜都是自己拿去櫃台點的，飲料自取，白飯自取，最後結帳時還收了一成服務費。附近也不好停車，想去的人最好多考慮。"""
27,水中鮮餐廳,2018/05/13,4,"""好吃的快炒店，珂仔新鮮待加強"""
28,水中鮮餐廳,2018/05/13,5,"""下班聚餐好去處～"""
29,水中鮮餐廳,2018/05/13,5,"""內湖不錯的熱炒"""
30,水中鮮餐廳,2018/05/13,3,"""附近不好停車，菜色種類多，上餐快，口味不錯！"""
31,水中鮮餐廳,2018/05/13,3,"""口味還OK,標價公道，但收服務費不合理"""
32,水中鮮餐廳,2018/05/13,4,"""走重鹹口味 還不錯"""
33,水中鮮餐廳,2018/05/13,3,""" 美味，，"""
34,水中鮮餐廳,2018/05/13,3,"""覺得餐廳定位在啤酒屋層級.菜色都是以下酒菜為主.屬於大人的店哦！"""
35,水中鮮餐廳,2018/05/13,5,"""熱炒店"""
36,水中鮮餐廳,2018/05/13,4,""" 便宜 方便，，"""
37,水中鮮餐廳,2018/05/13,3,""" 食物普通，，"""
38,水中鮮餐廳,2018/05/13,5,""" 美味又便宜的食物！，，"""
39,水中鮮餐廳,2018/05/13,4,""" 真是好吃的......，，"""
40,水中鮮餐廳,2018/05/13,4,"""平價美食，服務親切"""
41,水中鮮餐廳,2018/05/13,3,"""菜色多，但質有待提升"""
42,水中鮮餐廳,2018/05/13,5,"""菜色豐富！上菜速度快"""
43,水中鮮餐廳,2018/05/13,4,"""價格便宜，料理刊載鮮明，味道新鮮！"""
44,水中鮮餐廳,2018/05/13,3,"""菜色很多，但服務態度可以更好些，上菜速度集中而且很快，服務人員上菜都不說明而且已經滿桌了也不整理一下再上菜"""
45,水中鮮餐廳,2018/05/13,4,"""還不錯"""
46,水中鮮餐廳,2018/05/13,5,"""超好吃熱炒小吃美食，老闆很熱情，家庭聚餐或朋友聚會小喝幾杯的好地方"""
47,水中鮮餐廳,2018/05/13,3,"""最近來吃，菜量變少且開始要收服務費"""
48,水中鮮餐廳,2018/05/13,3,"""朋友聚餐小酌不錯"""
49,水中鮮餐廳,2018/05/13,4,"""這個好吃"""
50,水中鮮餐廳,2018/05/13,3,"""不便宜，都漲價了"""
51,水中鮮餐廳,2018/05/13,2,"""菜做的不好吃。且服務人員一直推銷貴的海鮮。千萬別點。否則會後悔。"""
52,水中鮮餐廳,2018/05/13,5,"""上菜速度很快，適合三五好友，公司聚餐好所在"""
53,水中鮮餐廳,2018/05/13,4,"""海味鮮美，其它肉類料理尚可"""
54,水中鮮餐廳,2018/05/13,1,""" 不好吃，，"""
55,水中鮮餐廳,2018/05/13,1,"""難吃，還收服務費"""
56,水中鮮餐廳,2018/05/13,5,"""好吃新鮮，物美價廉"""
57,水中鮮餐廳,2018/05/13,1,"""難吃，海產攤居然還收服務費"""
58,水中鮮餐廳,2018/05/13,4,""" 出菜速度快，，"""
59,水中鮮餐廳,2018/05/13,4,"""可以，不好停車"""
60,水中鮮餐廳,2018/05/13,2,""" 普通，，"""
61,水中鮮餐廳,2018/05/13,4,"""老海鮮店"""
62,水中鮮餐廳,2018/05/13,3,"""晚餐時間上菜慢且間隔太久，會有重複上錯菜的狀況，口味OK但份量偏少"""
63,水中鮮餐廳,2018/05/13,3,"""蒜頭雞湯不錯"""
64,水中鮮餐廳,2018/05/13,3,"""環境不錯，蒜頭雞湯好喝"""
65,水中鮮餐廳,2018/05/13,5,"""還可以，飯很好吃"""
66,水中鮮餐廳,2018/05/13,2,""" 一般般。，，"""
67,水中鮮餐廳,2018/05/13,4,"""不錯吃"""
68,水中鮮餐廳,2018/05/13,5,"""每月必來一次"""
69,水中鮮餐廳,2018/05/13,2,"""超貴又份量少，若不是附近沒選擇，應該不會去"""
