id,date,star,text
1,2015/05/17,1,"""吃一次，老闆+服務員都像是被欠很多錢，態度不好"""
2,2016/05/17,4,"""很好吃非常讚"""
3,2016/05/17,4,""" 老闆擦桌子用2條以上抹布分別擦拭重視清潔！講究完美品質不重視速度，我是鄰居，此地難得好䬸庁(價廉物美），，"""
4,2017/05/17,4,"""口味佳，類似客家小館，不錯吃，絕對不會被雷到。"""
5,2017/05/17,4,"""家常菜、好吃、經濟實惠"""
6,2017/05/17,4,"""服務態度尚可,口味不錯,但價格稍貴,份量稍少"""
7,2017/05/17,5,"""口味佳，無雷。以食物的口味來說價錢也便宜；美中不足處是工作人員不足，有時沒法笑臉迎人(門外永遠都貼著徵人啟事，看來實在不好找人)，其實老闆娘人很好的"""
8,2017/05/17,5,""" 回到內湖大姐家必吃的餐館！，，"""
9,2017/05/17,5,"""好吃實在又划算！服務精準、餐點品質一致沒地雷"""
10,2017/05/17,5,"""氣氛輕鬆"""
11,2017/05/17,3,"""可外帶"""
12,2017/05/17,5,"""口味很棒，份量也不錯，上菜速度可以在加強"""
13,2017/05/17,4,"""好吃，料理實在！"""
14,2017/05/17,5,"""菜好吃價錢公道，一定要去吃一次，唯一缺點要等久一點，但是好吃的優點可以彌補這小小的缺憾！10分 pass."""
15,2017/05/17,5,"""點了蒜泥白肉、清炒絲瓜、宮保雞丁和椒鹽鮮蝦，思思念念的宮保雞丁似乎有變了口味，花椒消失了，醬汁偏鹹偏酸，整體還算不錯。"""
16,2017/05/17,5,"""√超贊😋每年都在那吃團圓飯！！"""
17,2017/05/17,4,""" 調味料不要太深和美味。可以選擇各種大小，因此，如果您是2位成年人，則3種小米和白米飯就正確了。，，"""
18,2017/05/17,4,"""可能人手太少上次速度有點慢 但是好吃所以值得等待～"""
19,2017/05/17,3,"""不錯，但沒有特別驚豔"""
20,2018/05/17,5,"""餐點好吃，價格合理，只是人多時上菜有點慢。"""
21,2018/05/17,4,"""口味不錯，價格實惠。"""
22,2018/05/17,4,"""平價好吃 不過有點吵"""
23,2018/05/17,3,"""適合家庭聚餐的合菜餐廳，但菜色都有點油～環境有油煙味。"""
24,2018/05/17,5,"""好吃可惜上菜太慢 但小家庭餐廳這點可接受"""
25,2018/05/17,4,""" 味道可接受，每一道菜要等太久，，"""
26,2018/05/17,5,"""東西好吃 價格不貴"""
27,2018/05/17,4,"""餐點好吃，價格合理"""
28,2018/05/17,4,"""口味不錯 不過座位不多 要先訂位比較好"""
29,2018/05/17,5,"""從店家在忠孝東路時就常光顧，東西好吃，價錢實在，尤其塩焗土雞肉配上獨特沾醬，超下飯"""
30,2018/05/17,4,"""簡單味道好"""
31,2018/05/17,4,"""小店卻很美味"""
32,2018/05/17,5,"""價錢很實在！有家常菜99$一道的，也有比較中價位的常見川菜和店家招牌菜，美味好吃。店內桌數不多，對小朋友滿好的，適合小家庭想吃館子時的好選擇！"""
33,2018/05/17,4,"""服務不錯菜又好吃有用心"""
34,2018/05/17,5,""" 好吃，，"""
35,2018/05/17,5,"""喜歡這裡的薑絲炒大腸"""
36,2018/05/17,4,"""店位於金龍路上，餐點口味不錯，衛生整體良好，點菜式餐廳，價格不貴。"""
37,2019/05/17,4,"""塔香崩蛋，九層塔醬油炒蛋，塔香味很下飯。，椒鹽魚塊，魚肉很嫩，麵衣酥脆，小孩很愛。，清炒空心菜，梗多葉少，不老梗。，客家鹽焗雞，皮薄Q，肉鮮有嚼勁，沾胡椒鹽油醬，滋味更讚。，蛤蜊湯，中型蛤蜊23顆，肉肥嫩，湯頭以薑絲提味，好喝。，白飯，軟Q有米香味，不差。，免費茶水，烏龍香片，有仙草味，很特別。，此店菜式可要求做不辣。，清炒炒高麗菜，尚可。，客家小炒，芹菜大蒜苗半炒提味，魷魚條12根，有咬勁，沒發泡處理，魷魚香濃。豆干條乾香。五花肉肥瘦各半口感不油膩。，蛤蜊絲瓜，絲瓜清甜有口感，蛤蜊肉略韌。"""
38,2019/05/17,3,"""出自於私心，只希望剛好不希望太好！雖然價格便宜 平實，菜色也不夠豐富，服務也不夠體貼 細緻，口味很是家常，但我就是很愛！"""
39,2019/05/17,5,"""cp值極高，點盤炒青菜大盤的，超級划算，其他宮保,炒雙鮮，蒜泥白肉都很好吃，老闆人很好，服務也很棒，但人手略嫌不足，可能需要等待一下"""
40,2019/05/17,4,"""不錯哦"""
41,2019/05/17,4,"""價格合理，好吃，但種類不多"""
42,2019/05/17,5,"""鹽焗雞好吃，清蒸魚鮮甜，水蓮炒牛肉清爽脆口肉滑嫩，塔香茄子很香，只是今天的不太入味，不過一家人還是吃得飽飽的，心滿意足。"""
43,2019/05/17,3,"""今天晚上去買了三道菜，感覺如下，蠔油豆腐有酸味，不知道店家還加了什麼調味料，蠔油豆腐不就應該有蠔油味嗎？，蔥爆牛肉的蔥，爆的過老，牛肉還可以，魚香茄子的湯汁太多"""
44,2019/05/17,3,"""上菜有點慢，魚堡、蛤蠣湯不錯"""
45,2019/05/17,5,"""好吃不貴，很家常的味道，CP值很高！"""
46,2019/05/17,5,"""這一家的雞肉非常好吃"""
47,2019/05/17,4,"""附近來說算不錯的餐廳了"""
48,2019/05/17,4,""" 由於價格合理，我肯定會推薦中式家常菜。，，"""
49,2019/05/17,5,"""很美味的在地小館"""
50,2019/05/17,4,"""平價餐廳，口感佳，只是出菜稍慢"""
51,2019/05/17,5,"""這裡有好吃的家常菜"""
52,2019/05/17,3,"""不錯的菜色，可以吃到飽食。"""
53,2019/05/17,1,"""出餐非常慢，份量非常少。看評價不錯推薦給家人當聚餐地點，結果非常非常失望。"""
54,2019/05/17,5,"""CP值高！老闆娘很友善，我一定會回來"""
55,2019/05/17,4,"""強力推薦  梅干扣肉   酸嗆土豆絲  湖南蛋   韭黃牛肉絲   鹽焗雞  (蔥油雞也棒棒)"""
56,2019/05/17,4,"""社區型的台式餐廳 沒有大菜 不過口味實在 價格合宜 是家庭聚餐的好去處 店內空間也不算大 但可能是因為地點 倒也蠻少有需要排隊的時候"""
57,2019/05/17,1,"""等上菜等40分鐘"""
58,2019/05/17,4,""" 好吃，，"""
59,2019/05/17,4,"""空間很擠喔！人多可能要想一下考慮別間。，但是食物真的很好吃，下次會再想去的"""
60,2019/05/17,4,"""用餐環境跟洗手間乾淨，餐點食材豐富好吃，我推薦我愛吃宮保雞丁，跟蠔油豆腐用料做法^^深得我♥，每次必點。"""
61,2019/05/17,5,"""菜烹調的很好吃，店內裝璜很有特色"""
62,2019/05/17,4,"""海產有進步空間。"""
63,2019/06/17,5,"""環境乾淨~空間稍小~餐點非常好吃口味不會太重,真的有""家""的感覺...餐點無雷,一定會再光顧!"""
64,2019/06/17,2,"""家常菜色無關好壞。但服務品質真的有大問題。我並不是批評其接待無禮或如何，奇怪的當天是客人只有兩桌，也非特別忙碌，內場中似乎氣氛也相當輕鬆自在。但一出來臉色就不好，問話透著不耐煩。點六道菜，其中四道很快就上，但另外的一菜一湯卻隔了二十分鐘。中間有詢問還有菜未上，接待好整以暇走進廚房也沒適當詢問或催促廚師。怪怪的。"""
65,2019/07/17,4,"""菜色與口味都很不錯。我們只有7個人，小姐建議把中盤菜換成大盤，結果吃不完，實在浪費。"""
66,2019/07/17,1,"""服務態度不佳，冷氣壞掉也不主動告訴顧客，電風扇把廚房高溫空氣吹出來，吃飯吃到全身濕透"""
67,2019/08/17,3,"""還不錯吃。假日用餐時間常客滿，若沒訂位要提早去。"""
68,2019/08/17,5,""" 好吃，，"""
69,2019/09/17,5,"""魚片豆腐煲好吃，每次必點！"""
70,2019/10/17,5,"""家庭聚餐首推平價菜好吃"""
71,2019/11/17,4,""" 好吃，，"""
72,2019/11/17,5,"""好幾年沒來了，美味依舊，價格不貴，適合全家一起來用餐"""
73,2019/11/17,3,"""鹽焗雞好吃但是部位看運氣，椒鹽魚塊應該是買預炸半成品再炸過，不推薦。點過幾樣其他菜色，老實說味道比熱炒店好但也僅此而已，大多味道是還可接受不到滿意程度，原本價格較其他館子便宜些剛好相符，漲價後更沒吸引力了"""
74,2019/11/17,4,"""幾乎都很美味很下飯，8個人還沒吃前只要6碗白飯、結果追加到10碗"""
75,2019/11/17,1,"""無關菜色，服務大有問題，有帶小孩去吃，還要考慮，六人去吃給四人的桌子，擺明是拒絕，以後絕對不會再去。"""
76,2019/11/17,5,"""在地餐廳，老闆娘較不苟言笑，可能因為這樣，所以容易讓人覺得不夠親切，不過原則上人還不錯，該服務的都有做到。手藝部分不差，好吃，很下飯，價格親民。"""
77,2020/01/17,4,"""在巷弄間，吃飯方便的家庭聚餐小餐館"""
78,2020/01/17,4,"""口味很不錯，，但是每道菜都比較油"""
79,2020/01/17,5,"""可以少油超棒！推薦薑絲大腸，湖南蛋！"""
