id,name,date,star,text
1,無人知影快炒,2017/05/13,4,"""現炒出來的每一樣都蠻好吃的，唯獨個人比較不愛沙茶味，點炒飯炒麵的時候要留意，份量偏少"""
2,無人知影快炒,2017/05/13,3,"""味道算不錯可惜有點過鹹"""
3,無人知影快炒,2017/05/13,1,"""優點：以午餐說是會飽。，缺點：油點，鹹點。，             服務尚加強，要人點餐排隊等侯，後排竟然比前排早進入吃飯，見到提抗議，才回想起來，竟沒反應處理，只好走人。，事件之後沒再消費。"""
4,無人知影快炒,2018/05/13,5,"""炒飯超好吃 粒粒分明"""
5,無人知影快炒,2018/05/13,4,"""炒飯好吃，粒粒分明"""
6,無人知影快炒,2018/05/13,3,"""泡菜系列的炒飯炒麵很棒"""
7,無人知影快炒,2018/05/13,3,"""份量多，但蠻油的"""
8,無人知影快炒,2018/05/13,4,"""好吃又便宜的快炒店，推薦廣式炒飯！"""
9,無人知影快炒,2019/05/13,5,""" 祝你好運，，"""
10,無人知影快炒,2019/05/13,4,"""少了泡菜口味可選，有點可惜"""
11,無人知影快炒,2019/05/13,5,"""好吃份量夠，夏天有冷氣較不會臭"""
12,無人知影快炒,2019/05/13,5,"""廣式炒飯好吃，牛肉河粉也好吃"""
13,無人知影快炒,2019/05/13,5,""" 超好吃，，"""
14,無人知影快炒,2019/05/13,5,"""港式炒飯好吃"""
15,無人知影快炒,2019/05/13,5,"""廣式炒飯便宜又好吃"""
16,無人知影快炒,2019/05/13,4,"""好吃不過有點鹹跟油，廣式炒飯跟肉絲炒飯都很不錯，而且口味不同，價格平實上菜快，不過環境還好，湯很大碗～"""
17,無人知影快炒,2019/05/13,4,""" 份量足，又好吃，，"""
18,無人知影快炒,2019/05/13,5,"""C/P 值高， 今天意外發現這間。 很好。"""
19,無人知影快炒,2019/05/13,5,"""炒飯很好吃！份量超足超飽很大方！"""
20,無人知影快炒,2019/05/13,1,"""衛生條件很差"""
21,無人知影快炒,2019/05/13,4,"""好吃的炒飯"""
22,無人知影快炒,2019/05/13,3,"""超飯不錯吃"""
23,無人知影快炒,2019/05/13,5,""" 好吃，，"""
24,無人知影快炒,2019/05/13,2,""" 好吃，，"""
25,無人知影快炒,2019/05/13,3,""" 有趣的 小吃店，，"""
26,無人知影快炒,2019/05/13,5,"""好吃，平價"""
27,無人知影快炒,2019/05/13,5,"""阿姨很阿薩利"""
28,無人知影快炒,2019/05/13,3,"""味道普通，價格普通，整體而言相當普通"""
29,無人知影快炒,2019/05/13,5,"""蔥爆豬肉，炒青菜份量夠也好吃"""
30,無人知影快炒,2019/05/13,1,"""飯乾得像沒煮熟 肉也柴掉了"""
31,無人知影快炒,2019/05/13,4,"""味道不錯 偏重"""
32,無人知影快炒,2019/05/13,4,"""CP值高 牛肉稍硬 麵普普 推薦炒飯類"""
33,無人知影快炒,2019/05/13,4,"""好吃，不貴，上菜快，不過菜色略少"""
34,無人知影快炒,2019/05/13,5,"""好吃 cp值高 老闆娘親切 下次要再帶同學來吃！"""
35,無人知影快炒,2019/05/13,1,"""蛋炒飯裡面有彈殼，環境有點髒 越南人多，牛肉河粉不錯"""
36,無人知影快炒,2019/05/13,5,"""炒飯真的沒話說，除了有時候不同人炒飯會有味道上的差異"""
37,無人知影快炒,2019/05/13,5,""" 好，，"""
38,無人知影快炒,2019/05/13,2,"""我好像吃到顆粒的鹽，環境欠佳"""
39,無人知影快炒,2019/06/13,5,"""廣式炒飯超好吃上菜速度又快，上班族中午簡單美味的好選擇。"""
40,無人知影快炒,2019/06/13,4,"""份量偏少，但還是會飽，食量大的男生可能比較吃不夠。雖然看前面評論都覺得偏油偏鹹，但覺得用鐵鍋現炒的店裡，這家已經算不那麼油跟鹹了。（過去經驗中的清淡炒飯，大部分都是那種濕濕的，類似「拌飯」的口感，不太像鬆軟的炒飯），，炒青菜50元很大一盤，外食想吃青菜的時侯都會來這裡。"""
41,無人知影快炒,2019/08/13,3,"""個人覺得實際分數應該是3.8，所以給3星降分數。，，廣式炒飯沒什麼味道，蔥爆肉絲太鹹了都是醬油膏的味道，只能說還不難吃，但是不到4星好吃的標準。"""
42,無人知影快炒,2019/09/13,5,"""料多實在"""
43,無人知影快炒,2019/09/13,1,"""餐點送錯，豬肉送成牛肉，打電話過去說我們自己點錯…"""
44,無人知影快炒,2019/09/13,1,"""送錯不承認, 也不願意補送，非常糟糕 深表痛心疾首到不行"""
45,無人知影快炒,2019/09/13,1,"""送錯了 還說我們點錯？牛肉湯跟豬肉湯一樣嗎？厲害！"""
46,無人知影快炒,2019/09/13,4,"""物美價好，有鍋氣的炒飯，附湯喝到飽。"""
47,無人知影快炒,2019/09/13,1,"""炒飯好吃五顆星 ，但是看洗腦韓天台 對不起 我無法接受"""
48,無人知影快炒,2019/10/13,5,""" 好吃 CP值高 👍，，"""
49,無人知影快炒,2019/11/13,5,"""老闆娘很有愛心，曾經看到一位越南學生來買白飯及青菜，老闆娘堅持不收費。，還有一次我點蛋炒飯卻端來肉絲炒飯，還跟我說不用錢再補一盤蛋炒飯，我和兒子吃得好飽，當然，我們照付錢，做生意不容易。"""
50,無人知影快炒,2019/11/13,4,"""家常的味道！不錯！，炒高麗菜一盤50元，肉絲炒飯70元，，親民的價位，卻有著讓你吃飽飽的分量，，老闆真的很有誠意啊！謝謝老闆！"""
51,無人知影快炒,2019/11/13,5,"""親切的老闆+好吃的越南口味美食"""
52,無人知影快炒,2019/11/13,5,"""炒飯炒麵好吃"""
53,無人知影快炒,2019/11/13,5,"""炒飯越南河粉好吃"""
54,無人知影快炒,2019/11/13,5,"""越南口味的牛肉湯，味道很棒！炒飯也很好吃。"""
55,無人知影快炒,2019/11/13,5,"""好吃，便宜實惠又好吃"""
56,無人知影快炒,2019/12/13,5,"""炒飯好吃   粒粒分明   夏天推薦米線"""
57,無人知影快炒,2020/01/13,4,"""一個人點個炒羊肉+白飯，可以吃得很飽，CP值不錯"""
58,無人知影快炒,2020/01/13,5,"""整體餐點很棒，然後因為盤子的原故炒飯剛上來時看起來較少，但吃了份量還是很夠的。"""
59,無人知影快炒,2020/02/13,5,"""吃得飽價格不貴,目前吃過的料理都不錯，CP值高的餐廳"""
60,無人知影快炒,2020/03/13,4,"""大多數的炒飯，為了有味道，通常會加很多醬油、變得太鹹，，這家的炒飯不油、不過鹹，而且飯量多，還附湯，，雞肉河粉，份量很夠"""
61,無人知影快炒,2020/04/13,3,"""湯可免費續 料多好喝，炒飯份量大 價格優惠 唯一缺點太鹹，通行四人都覺得好鹹啊😓😓😓"""
62,無人知影快炒,2020/05/13,3,"""炒飯料偏少飯稍乾硬，牛肉湯屬越式清順口好喝"""
63,無人知影快炒,2020/05/14,3,"""炒飯料偏少飯稍乾硬，牛肉湯屬越式清順口好喝"""
