id,date,star,text
1,2018/05/13,5,""" 好吃，，"""
2,2018/05/13,5,"""像家裡廚房的溫馨快炒小店"""
3,2018/05/13,4,"""味道平淡中帶著美味"""
4,2018/05/13,5,""" 好吃，，"""
5,2019/05/13,4,"""點過幾樣快炒，偏家常口味，食材火候熟度剛好，味道也不錯，平價份量足。不推薦炒三鮮。"""
6,2019/05/13,5,"""家常小館不失美味，就像家裡的廚房一樣，帶小孩來很放心，食材新鮮，環境餐具有夠乾淨"""
7,2019/05/13,5,"""非常好吃！😋吳郭魚好新鮮～～老闆真的好手藝！"""
8,2019/05/13,4,"""東西好吃喔。"""
9,2019/06/13,5,"""東西好吃！老闆人親切，兒子長得有夠帥！"""
10,2019/06/13,5,"""好吃，老闆娘很親切，是一間非常好的社區型小餐廳"""
11,2019/06/13,5,"""東西超好吃!適合每天下班去吃"""
12,2019/07/13,5,"""讚讚讚！94讚！好吃！便宜！超級飽飽飽！"""
13,2019/07/13,5,"""超好吃，下班聚餐好去處！內湖人約起來👌🏼👌🏼👌🏼，宮保油條🎉🎉👍🏻👍🏻👍🏻👍🏻太特別了"""
14,2019/07/13,5,"""食物好吃，老闆跟老闆娘親切，老闆兒子更帥！"""
15,2019/07/13,5,"""非常好吃😋大推炒麵！老闆只有一個人非常辛苦但美味是值得等待的⌛️"""
16,2019/09/13,4,"""有媽媽味的餐點"""
17,2019/11/13,5,"""價錢實在，炒菜入味，調味適當，非常好吃。"""
18,2019/12/13,5,"""家常料理，美味好吃，環境整潔，價位平實！，老闆廚藝精湛，老闆娘和藹親切～，從小吃到大，吃十幾年了，餐點品質一直都很棒！"""
19,2020/01/13,5,""" 超好吃的，，"""
20,2020/04/13,5,"""老闆娘人很好，食物又好吃"""
21,2020/04/13,5,"""好吃沒話說！口味適中不會太油或太鹹，環境很乾淨，吃的很安心～老闆老闆娘人很好很客氣！超推～"""
22,2020/04/22,5,"""東湖餐館奇蹟！超好吃又便宜，大推宮保雞丁"""
