id,date,star,text
1,2018/05/12,4,"""平價，份量大，CP值高"""
2,2018/05/12,4,"""週休二日 如果怕沒位置可以先跟店家預訂"""
3,2018/05/12,5,"""老闆每日補貨海鮮，低價位，超值的餐點，牆面會手寫時令餐點，首推薦"""
4,2018/05/12,4,"""經濟實惠，三五好友聚會的好地方"""
5,2019/05/12,5,"""料多實在！"""
6,2019/05/12,5,""" 非常好吃，，"""
7,2019/05/12,5,"""食物好吃，老闆熱忱"""
8,2019/05/12,2,"""糖醋魚片裹的粉超厚，蔥爆牛肉筋很多，肉也沒幾塊，大多都是洋蔥，內湖高中對面的熱炒都比這間好吃"""
9,2019/05/12,5,""" 還不錯的台式快炒，新鮮食材，一般平價。，，"""
10,2019/05/12,4,"""家庭聚會方便又快速出菜的服務"""
11,2019/05/12,3,""" 經済實惠！，，"""
12,2019/05/12,4,"""上菜快，口味不錯，服務可，讓人放鬆的快炒店"""
13,2019/05/12,5,"""炸牡蠣相當多汁"""
14,2019/05/12,2,"""內臟類非常不新鮮,全部都是腐臭味,尤其是豬肝湯味道讓人很想吐,除了上菜超快外,其他都過譽了"""
15,2019/05/12,5,"""菜色很多，價格便宜，位於湖光市場捷運站很近。"""
16,2019/05/12,3,"""聞香園熱炒餐廳，座落於成功路四段，湖光市場隔壁巷內，停車不便，台菜菜餚一般，價位適中。"""
17,2019/05/12,5,"""便宜，新鮮，好吃，料實在，台北這個價格真的不簡單"""
18,2019/05/12,4,"""很 熱 鬧 菜 不 錯"""
19,2019/05/12,5,""" 吃吃吃好吃吃，，"""
20,2019/05/12,5,"""價格合理，美味好吃"""
21,2019/05/12,5,"""以前有陣子感覺味道變了，份量也變少，從那之後有將近一年沒來，前些日子重新光顧，上菜速度快，菜變得很好吃，份量也正常了！老闆很大方，人也超好！服務也好！請繼續加油喔💪🏻"""
22,2019/05/12,2,""" 好吃，，"""
23,2019/05/12,4,"""口味還不錯吃，只是吵了些"""
24,2019/05/12,3,"""第一次光顧，口味尚可，價錢也不貴，但桌子，跟送上來筷子盤子都黏黏的，不滿意的是，，豬肝湯送上來才知道是麻油口味，菜單上沒寫，豬肝也煮的過老，不嫩"""
25,2019/06/12,2,"""沒有滿座，出菜不按照來桌的循序，還慢到讓人訝異。"""
26,2019/07/12,4,"""好吃 價格實惠"""
27,2019/09/12,4,"""老闆還是一樣親切，菜圃蛋太鹹，希望改善，其餘菜都不錯，水準以上，可自帶酒哦！不收開瓶費。"""
28,2019/09/12,4,"""好吃平價CP值超高·"""
29,2019/09/12,4,"""口味不錯 價格便宜"""
30,2019/09/12,5,"""在地好吃小酌好地方，我們朋友家人常常聚餐好地方，值得大家大力捧場。"""
31,2019/10/12,5,"""真的很不錯喔環境乾淨價格便宜！今天海鮮點了烤魚下巴跟鳳梨蝦球很驚豔蝦子好新鮮阿，九層塔蛋香味有出來鹹蛋苦瓜也夠味，值得推薦！"""
32,2019/11/12,1,""" 不好吃，，"""
33,2019/11/12,3,"""價䈴物美"""
34,2019/11/12,4,"""老闆手藝好又親切，適合朋友小聚喝酒聊天"""
35,2020/02/12,1,"""服務態度惡劣，東西壞掉了還煮給客人，給他意見太度很差，請大家不要去吃，小心拉肚子。"""
36,2020/02/12,4,"""聚會的好地方，東西吃起來還不錯，只是飯有點小碗 要多盛幾次 ... XD"""
37,2020/02/12,4,"""東西不錯吃"""
38,2020/02/12,2,"""油煙味重 白飯很硬，重點是 炒菜裡有蚊子 跟店員反應後無果。。，便宜但也不會想再來"""
39,2020/03/12,3,"""還好"""
40,2020/03/12,5,"""🥈"""
41,2020/03/12,4,"""常光顧"""
