id,date,star,text
1,2013/05/14,4,""" 非常好的食物，價格合理。沒什麼好看的，只是美味的食物。，，"""
2,2013/05/14,4,"""店內服務人員都很熱情"""
3,2014/05/14,5,"""服務態度很好,東西好吃,羊肉尤其棒,價格中偏高"""
4,2014/05/14,3,"""口味很重的羊料理，超下飯，味道也很好"""
5,2014/05/14,5,""" 精彩！！！，，"""
6,2014/05/14,4,"""愛羊肉的可以來試試看^^吃了就宰羊~"""
7,2015/05/14,5,"""口味極佳!! 大推~"""
8,2015/05/14,3,"""未到店門老遠就聞到，太厚重，感覺不自然。"""
9,2016/05/14,5,"""老闆娘人很耐斯～"""
10,2016/05/14,4,"""很好吃精緻的羊肉料理。"""
11,2016/05/14,4,"""服務態度不錯"""
12,2016/05/14,4,"""不錯吃，適合多一點人一起去吃"""
13,2016/05/14,3,""" 如果你是羔羊，這是給你的，，"""
14,2016/05/14,5,""" 好吃！，，"""
15,2016/05/14,4,"""服務態度很好～炒麵炒飯還蠻好吃的，但是有點油...."""
16,2016/05/14,2,"""羊味太濃烈，老遠就聞到，怕是........，不怕的可以去！"""
17,2016/05/14,4,"""羊肉湯好喝，炒麵更棒"""
18,2016/05/14,3,"""太貴，吃味道可以，要吃飽會太浪費錢。"""
19,2016/05/14,4,"""還不錯吃"""
20,2016/05/14,1,"""一人去用餐，店家不賣！態度很差！"""
21,2016/05/14,4,"""羊肉湯好喝，而且可以一直加湯。"""
22,2016/05/14,5,"""好吃又不貴…"""
23,2017/05/14,5,"""價格平價~服務很好"""
24,2017/05/14,5,"""每樣都好吃，口水又要流出來了。"""
25,2017/05/14,4,"""好吃的羊肉料理，麵線也好吃，人多可以點火鍋"""
26,2017/05/14,3,"""紮紮實實的同時吃了炒飯、燴飯跟炒麵還有羊肉湯，麵飯類味道還算水準之上，不過羊肉湯有點小碗，整體而言還算可以吃但不到物超所值。"""
27,2017/05/14,4,"""羊肉爐好吃，清燉、紅燒都好吃"""
28,2017/05/14,4,"""其實還蠻好吃的，很夠味，價格也還ok。"""
29,2017/05/14,4,""" 好吃，，"""
30,2017/05/14,5,""" 好吃，，"""
31,2017/05/14,3,"""羊肉湯非常好喝，涮羊肉跟麵線也都好吃~"""
32,2017/05/14,4,""" 好吃，，"""
33,2017/05/14,3,"""炒麵很鹹   湯好喝 分量很少就是了"""
34,2017/05/14,4,"""好吃尤其喜歡在冷冷的冬天來上有羊肉爐"""
35,2017/05/14,4,""" 羊肉好吃！，，"""
36,2017/05/14,4,"""環境良好，適合宴客"""
37,2017/05/14,4,"""好吃的羊肉料理，平均價位中等，開到消夜時間"""
38,2017/05/14,4,""" 好吃羊肉，，"""
39,2017/05/14,4,"""湯頭順口，天氣微涼適合和朋友一同前往享用聚餐！"""
40,2017/05/14,5,"""道地的台灣菜"""
41,2017/05/14,3,"""羊肉燴飯肉有點少..."""
42,2017/05/14,4,"""蠻特別的羊料理!"""
43,2017/05/14,4,"""羊肉串好吃，湯也不錯喝"""
44,2017/05/14,4,"""湯頭好喝，服務好"""
45,2017/05/14,3,"""涼拌羊肚好吃  麵線好吃  快炒的部份都好吃  惟羊肉爐湯頭不合口味"""
46,2017/05/14,4,"""炒麵略鹹，羊肉湯無論肉片肉塊都美味"""
47,2017/05/14,4,""" 很好吃，晚上常常有很多人，，"""
48,2017/05/14,4,"""涼拌羊肚好吃！火鍋份量也多！"""
49,2017/05/14,5,"""好吃羊肉爐"""
50,2017/05/14,5,"""羊肉鍋好吃"""
51,2017/05/14,4,"""週一到週五有好吃的商業午餐"""
52,2017/05/14,5,""" 好吃~，，"""
53,2017/05/14,4,""" 宵夜的好所在，，"""
54,2017/05/14,3,"""東西不錯，麵線麻油味稍嫌不足"""
55,2017/05/14,4,"""不錯吃"""
56,2017/05/14,4,""" 而我最喜歡的是炒飯！大多數食物味道都很好！，，"""
57,2017/05/14,4,"""冬令進補的好地方"""
58,2017/05/14,4,"""羊肉炒飯、沙茶羊肉美味到不行！羊肉湯十分清淡不油(重口味者要考慮一下"""
59,2017/05/14,5,""" 真好吃湯味道平靜。，，"""
60,2017/05/14,3,"""價格實惠的松山區吃到飽羊肉爐"""
61,2017/05/14,4,"""炒飯很好食，赤肉湯不錯"""
62,2017/05/14,4,"""餐點用心不錯，環境舒適乾淨"""
63,2017/05/14,3,"""因為本身不愛羊肉，覺得這家羊騷味還是偏重，所以普通，但是這家生意真是好的沒話說"""
64,2017/05/14,3,"""麻油羊肉，腳骨湯"""
65,2017/05/14,4,""" 好吃，，"""
66,2017/05/14,1,""" 超貴又吃不飽 劃不來，，"""
67,2017/05/14,5,"""天氣冷吃剛剛好"""
68,2017/05/14,4,"""羊肉料理很讚!羊貴妃彈牙好吃，皮超Q!"""
69,2017/05/14,5,"""炒飯很推薦 好吃 其他菜色也都很好 服務更是好"""
70,2017/05/14,4,""" 好吃。，，"""
71,2017/05/14,4,"""服務積極，口味與本店相同。"""
72,2017/05/14,4,"""價位平實，口味不錯！，，兩個人來一起吃一個小羊肉鍋，價位跟外面的涮涮鍋差不多，但感覺好很多。"""
73,2017/05/14,5,""" 好吃划算，，"""
74,2017/05/14,4,"""調味不錯，不過羊肉火鍋裡有些部位的羊肉太韌"""
75,2017/05/14,4,"""炒飯炒麵推，好吃"""
76,2017/05/14,4,"""羊肉爐與其它餐點都好吃，價位中上"""
