id,name,date,star,text
1,豐盛快炒,2017/05/13,4,"""料多又便宜，尤其鍋類超推薦！"""
2,豐盛快炒,2017/05/13,3,"""羊肉炒麵不錯吃，但比較油膩"""
3,豐盛快炒,2018/05/13,4,"""料滿實在，口味還不錯，CP值算高...，p.s.月亮蝦餅普通..."""
4,豐盛快炒,2018/05/13,5,"""老闆娘炒功了得 好吃 喝酒小聚好去處"""
5,豐盛快炒,2018/05/13,5,"""超級便宜，，每道菜都在100出頭，100元以內的菜也很多種像是竹筍炒肉絲、培根高麗菜、肉絲豆乾都只要80，端來還比市區的大盤。鮮魚湯小碗40結果可以三個人喝，價格94狂。，，料多實在！"""
6,豐盛快炒,2018/05/13,5,"""料理好吃價格便宜"""
7,豐盛快炒,2018/05/13,1,"""六點半登記後老闆只說了等一下，等到七點再次確認，仍說再等一下，七點十分有空桌了，比我們晚到15-20分的人（六、七人）直接搶著入座，和老闆說是我們先到，但老闆完全沒有正面回應，直接躲進廚房。完全沒有先後順序可言，非常荒謬，我們也不願接受如此不公平的對待，一直以來都是能夠體諒店家的客人，第一次想要評負評，絕對不會再訪。"""
8,豐盛快炒,2018/05/13,5,"""CP值高，各式鍋類更是好吃"""
9,豐盛快炒,2018/05/13,5,"""餐點都不錯，惟有清蒸鱸魚的魚鱗沒有處理乾淨！"""
10,豐盛快炒,2018/05/13,4,"""很好吃的台灣料理快炒店，先預約比較好喔！"""
11,豐盛快炒,2019/05/13,4,"""CP值高，以同樣的價格份量算多，白飯自助，每道料理口味也好吃，很適合全家聚餐，朋友喝酒聊天。"""
12,豐盛快炒,2019/05/13,5,""" 好吃哦，，"""
13,豐盛快炒,2019/05/13,4,"""菜色多種又平價，還不錯吃"""
14,豐盛快炒,2019/05/13,4,"""以快炒店而言味道還不錯，價格不貴，份量實在，海鮮類比較推薦"""
15,豐盛快炒,2019/05/13,3,""" 份量多，CP值高。但口味重，油。，，"""
16,豐盛快炒,2019/05/13,5,"""就是我愛吃的 ……cp值高高高 ……！"""
17,豐盛快炒,2019/05/13,5,"""便宜 實惠"""
18,豐盛快炒,2019/05/13,4,""" 紅燒海參200元，其他小炒也便宜，內用白飯免費，用餐時間人多得等候，稍吵雜，，"""
19,豐盛快炒,2019/05/13,5,"""菜很好吃，份量又多，而且便宜，超讚！！！"""
20,豐盛快炒,2019/05/13,3,""" 好吃，，"""
21,豐盛快炒,2019/05/13,3,"""平價美食～沙鍋魚頭不錯吃"""
22,豐盛快炒,2019/05/13,1,"""從點餐開始老闆就愛理不理的，，之後寫好單子要給他也是不太甩你，頭也不看就叫你放著，，，看老闆這種屌樣，之後提醒他這是外帶，，他就不耐煩的說去等一下，，，就算吃一般沒多少錢的食物，，也沒遇過這種奇葩的服務態度，下次應該不會去這種店了，"""
23,豐盛快炒,2019/05/13,5,"""好吃，菜色變化多，經濟又實惠 。"""
24,豐盛快炒,2019/05/13,4,""" 歺廳菜不錯吃，人手比較不足。，，"""
25,豐盛快炒,2019/05/13,4,"""東西料多實在 可惜有些事不細心 像我點炸蚵仔都沒有分開 是黏在一起的（雖然不怎麼影響餐點的好吃）服務不錯"""
26,豐盛快炒,2019/05/13,3,"""一個適合三五好友聚餐的好地方，快炒餐點都很美味可口"""
27,豐盛快炒,2019/05/13,1,"""賞完櫻花後去吃，價位雖然便宜，但是每道菜都鹹到不行，老闆上菜時，手還在菜裡，大傻眼，吃完超後悔，老公還想催吐出來🤮"""
28,豐盛快炒,2019/05/13,5,"""價錢合理"""
29,豐盛快炒,2019/05/13,1,"""爛 老闆態度有夠差，要理不理 還直接跟客人說不坐安排的位置就走，有夠差勁"""
30,豐盛快炒,2019/05/13,5,"""菜色豐富多樣, 用料豪邁, 內用超值, 在地人的廚房, 最好要避開尖峰時段, 不然很可能要等很久"""
