id,name,date,star,text
1,阿不拉海產小吃,2017/05/17,5,"""社區巷弄內的用心好料理，光是炒飯就能讓人回味無窮!"""
2,阿不拉海產小吃,2017/05/17,5,"""服務親切"""
3,阿不拉海產小吃,2017/05/17,3,""" 有如自家廚房的口味，順口又收費經濟.，，"""
4,阿不拉海產小吃,2018/05/17,2,"""純吃飯可以"""
5,阿不拉海產小吃,2018/05/17,5,""" 好吃。，，"""
6,阿不拉海產小吃,2018/05/17,5,"""讚嘆"""
7,阿不拉海產小吃,2018/05/17,5,"""很好吃，但下次我會請老闆幫我們做少鹽。"""
8,阿不拉海產小吃,2018/05/17,5,"""隱身在轉角巷弄間，但只要看到高掛的紅燈籠，就知道有營業了，我總愛叫老闆炒一份海鮮炒麵，儘管菜單上面沒有，老闆還是會特製給我，加了蝦子與花枝的炒麵特別鮮甜哦！"""
9,阿不拉海產小吃,2019/05/17,5,""" 聚餐必去，，"""
10,阿不拉海產小吃,2019/05/17,4,"""很便宜，菜超好吃，老闆娘很親切，是一間值得鄭重推薦的好餐廳"""
11,阿不拉海產小吃,2019/05/17,5,"""從小吃到大的好店，炒飯必點"""
12,阿不拉海產小吃,2019/05/17,5,""" 高CP值.便宜好吃.，，"""
13,阿不拉海產小吃,2019/05/17,5,"""老闆娘很親切，味噌魚必點！"""
14,阿不拉海產小吃,2019/05/17,5,"""從小吃到大"""
15,阿不拉海產小吃,2019/05/17,5,"""一對老夫妻擁有很好的手藝 熱炒普遍比外面便宜 兩人四菜一湯不到400 東西又好吃 適合三五好友聚會或情侶"""
16,阿不拉海產小吃,2019/05/17,4,"""平價好吃熱炒，老闆娘親切熱情"""
17,阿不拉海產小吃,2019/05/17,4,"""菜色不錯"""
18,阿不拉海產小吃,2019/05/17,5,"""料多實在，菜都炒得很好吃、很香！雖然口味偏油，但是吃熱炒不就是要吃這一味、對吧！"""
19,阿不拉海產小吃,2019/05/17,5,"""炒功了得，假日用餐時間常要等。"""
20,阿不拉海產小吃,2019/05/17,5,"""東西好吃價格實在, 老闆娘很親切"""
21,阿不拉海產小吃,2019/05/17,4,"""上菜速度快、冷氣強，東西也蠻好吃的，我蠻愛吃他們家味噌魚的"""
22,阿不拉海產小吃,2019/06/17,4,"""價錢實在份量十足口味不錯，六菜一湯七碗飯1040元很划算，小聚餐滿適合的，缺點大概就是餐廳隱密 燈光不是很亮"""
23,阿不拉海產小吃,2019/06/17,5,"""便宜好吃又大盤"""
24,阿不拉海產小吃,2019/06/17,4,"""價格實惠"""
25,阿不拉海產小吃,2019/07/17,5,"""海鮮新鮮！薑絲炒大腸推，用心的料理😋好吃～"""
26,阿不拉海產小吃,2019/07/17,5,"""-，價格平實、廚藝傳統美味的一間熱炒店，雖然外觀不甚起眼，但真心好吃推薦。，-，今天點了炒高麗菜、鐵板豆腐、宮保雞丁、三杯中卷、絲瓜蛤蠣、菜脯蛋、酥炸水晶魚；完全無雷，每一道都好吃，就很像回鄉下老家阿嬤煮的感覺。，菜餚幾乎都有分中、大盤，價格實惠，相當推薦。"""
