id,date,star,text
1,2017/05/10,5,"""真的厲害"""
2,2018/05/10,3,""" 食物OK，，"""
3,2018/05/10,5,""" 便宜好吃，，"""
4,2018/05/10,3,"""好吃不貴"""
5,2018/05/10,5,"""新鮮、好吃、又不貴，老闆人又好！"""
6,2018/05/10,2,"""貴又菜色不佳"""
7,2018/05/10,4,"""味道讚"""
8,2018/05/10,2,"""脆皮雞翅、醬爆田雞，這兩道菜還不錯吃哦！"""
9,2018/05/10,5,"""好吃的熱炒店"""
10,2018/05/10,5,"""老闆速度很快，料理很道地"""
11,2018/05/10,5,"""好吃的沒話說，老闆上菜速度絕對超過你吃的速度，環境乾淨衛生，價格公道合理，重點是老闆娘好正，沒吃過別說你來過內湖😇"""
12,2018/05/10,5,"""超級好吃！還有老闆娘超正！是女神！！！"""
13,2018/05/10,5,""" 店狗很QQ：他叫迪迪😍😍，，"""
14,2018/05/10,5,""" 好吃又便宜，，"""
15,2018/05/10,5,"""好吃的熱炒在黑松～～～"""
16,2018/05/10,5,"""非常好吃，價錢合理！ 適合聚餐～"""
17,2018/05/10,5,"""好吃的沒話說😊😊😊"""
18,2018/05/10,5,""" 太好吃了，，"""
19,2018/05/10,5,"""價位便宜 ，用料實在"""
20,2018/05/10,5,"""老闆出菜很快又好吃 是個下班後聚餐的好地方"""
21,2018/05/10,5,""" 很道地！好吃！，，"""
22,2018/05/10,5,"""👍👍👍"""
23,2018/05/10,5,"""超好吃、是個聚餐。好友。聊天。好地方……"""
24,2018/05/10,4,"""很好吃，海產新鮮，食材當天挑選。，湯底也是燉好幾小時，老闆態度好，小姐服務好，價錢公道，"""
25,2018/05/10,5,"""出菜快，魚肉皮脆肉嫩太優了"""
26,2018/05/10,5,"""出菜速度快、食材新鮮、味道很棒、老闆跟闆娘的態度和服務很好👍🏻，太多好吃的菜，會想多去幾次換換口味，炒飯、炒麵、湯麵、三杯系列，都有多種主菜可選，蝦、蛤仔、蚵、小卷、中卷..等等多種食材，可煎煮炒炸依自己喜歡的方式料理，甚至還有生魚片跟烤牛排👍🏻👍🏻"""
27,2018/05/10,5,"""道地的手路菜，來再多次也吃不夠"""
28,2018/05/10,5,"""老闆炒菜的速度超快，食材新鮮乾淨， 跟外面一般常用醬爆炒的熱炒店不同， 可吃到每道菜色的味道和老闆的用心， 價格合理， 推薦他們的招牌菜或當季食材。不會叫客人亂點一些有的沒的， 看起來多是經常光顧的常客，在內湖一帶營業30年了，現在才發現這家店！"""
29,2018/05/10,5,"""好吃，最愛吃排骨酥，跟丁香魚，老闆的乾煎馬頭魚~~~~"""
30,2018/05/10,5,"""東西好吃 不同於一般熱炒，👍👍👍👍"""
31,2019/05/10,5,"""非常好吃  上菜快  價格實在   ，一定會再來！"""
32,2019/05/10,5,"""經濟實惠"""
33,2019/05/10,4,"""料理口味算不錯；價格也還行；菜色變化多樣。小酌好地方！"""
34,2019/05/10,5,"""菜色簡單，料理好吃"""
35,2019/05/10,5,""" 最好的熱潮，我曾在台灣吃過。，，"""
36,2019/05/10,3,"""炒飯的香氣十足，但肉絲和高麗菜能夠提升一下會更不錯。燴飯的竹筍和醬汁滿搭的，很下飯。老闆動作非常迅速。"""
