id,date,star,text
1,2018/05/13,4,"""聚會好場所，交通很便利"""
2,2018/05/13,5,"""好吃，大推豬腳"""
3,2018/05/13,3,"""表現普通的熱炒店"""
4,2018/05/13,4,"""Kindly, 每道菜的分量有點少(約3~4人), 多人聚餐就得多點幾道, 也因此均消比一般熱炒貴1~2百"""
5,2018/05/13,5,"""滷肉飯好吃  牛排多汁軟嫩 讚"""
6,2018/05/13,4,"""好吃 但偏貴"""
7,2018/05/13,3,"""好吃，但是貴。"""
8,2018/05/13,4,"""還不錯"""
9,2018/05/13,4,"""生意很好許多東西晚點去就吃不到"""
10,2018/05/13,5,"""鵝肉好吃，服務態度良好"""
11,2018/05/13,5,"""宮保高麗菜，刈菜雞，香腸，豬腳，胡椒蝦，每道菜都比傳統熱炒店味道更好，值得多花一點錢吃"""
12,2018/05/13,4,""" 好吃但口味重。，，"""
13,2018/05/13,5,"""好吃又實惠"""
14,2018/05/13,5,"""好吃，但是小貴"""
15,2018/05/13,5,"""店家熱情，菜色多元、好吃，總是高朋滿座。"""
16,2018/05/13,4,"""不錯吃"""
17,2018/05/13,5,"""黑美林超適合聚會的，東西好吃，老闆也很nice，本來想點蝦的，結果蝦數沒辦法湊一盤，老闆之間請我們下酒菜魷魚絲，超棒的"""
18,2018/05/13,5,"""內湖最好吃的熱炒的台灣料理之一。聚餐最佳場所"""
19,2018/05/13,5,"""超讚的吃飯體驗，朋友一群四個人去，除了食物選擇多，價格公道，好吃，服務也做的很好，並沒有因為生意好就有所疏忽。補衛生紙，補湯等等，都在我們提出要求前店家就已經自行動作。下次聚餐絕對會想再去的選擇"""
20,2018/05/13,5,"""好吃，服務也很好"""
21,2018/05/13,5,"""米粉湯超級好吃，強力推薦。"""
22,2018/05/13,3,"""好吃但是價格稍貴"""
23,2018/05/13,4,""" 有美味小吃，，"""
24,2018/05/13,5,"""很多菜色都相當好吃 也適合尾牙大家一起吃合菜!"""
25,2018/05/13,4,"""好吃是好吃，但是份量跟價錢好像也越來越成反比！"""
26,2018/05/13,4,"""不錯"""
27,2018/05/13,5,""" 好吃，，"""
28,2018/05/13,4,"""服務超好，食物也美味"""
29,2018/05/13,4,"""下班小酌好地方~有包廂隱匿性高~口味大眾！"""
30,2018/05/13,4,"""東西好吃, 而且位子沒想到有這麼多, 還有二樓, 服務周到又親切。"""
31,2018/05/13,5,"""平價美食，歷史悠久！"""
32,2018/05/13,3,"""還可以"""
33,2018/05/13,4,"""好吃 價優"""
34,2018/05/13,5,"""新鮮好吃"""
35,2018/05/13,4,""" 好吃，，"""
36,2018/05/13,5,""" 好吃，，"""
