id,name,date,star,text
1,鼓浪嶼海鮮屋,2014/05/14,3,""" 普通，，"""
2,鼓浪嶼海鮮屋,2016/05/14,3,"""一般熱炒店，座位相當多約50人到60人，位於十字路口附近，需要自備交通比較方便，味道沒有特別突出，價格合理，整體cp值還算ok"""
3,鼓浪嶼海鮮屋,2016/05/14,3,"""東西新鮮味道可以"""
4,鼓浪嶼海鮮屋,2016/05/14,5,"""新鮮好吃，服務好"""
5,鼓浪嶼海鮮屋,2017/05/14,4,"""據說是熱炒界的LV哈哈哈，炸花枝丸很好吃必點～"""
6,鼓浪嶼海鮮屋,2017/05/14,3,"""生猛海鮮，價格不低"""
7,鼓浪嶼海鮮屋,2017/05/14,5,"""甕窯雞好吃"""
8,鼓浪嶼海鮮屋,2017/05/14,4,"""好吃但很貴"""
9,鼓浪嶼海鮮屋,2017/05/14,2,"""………"""
10,鼓浪嶼海鮮屋,2017/05/14,4,"""好吃，但有點貴"""
11,鼓浪嶼海鮮屋,2017/05/14,4,"""好吃，適合搭啤酒"""
12,鼓浪嶼海鮮屋,2017/05/14,3,""" 價格相當高......，質量還可以......，，"""
13,鼓浪嶼海鮮屋,2017/05/14,3,"""蒸魚，桶仔雞不錯吃，其他味道就一般了"""
14,鼓浪嶼海鮮屋,2017/05/14,2,"""口味還行 價格有高 很高"""
15,鼓浪嶼海鮮屋,2017/05/14,4,"""新鮮的海鮮，價格還可以，花枝丸、烤雞好吃。"""
16,鼓浪嶼海鮮屋,2017/05/14,5,"""食材新鮮好吃"""
17,鼓浪嶼海鮮屋,2017/05/14,4,""" 在一個非常荒涼的地區享用美味的海鮮。，，"""
18,鼓浪嶼海鮮屋,2017/05/14,4,"""好吃好貴"""
19,鼓浪嶼海鮮屋,2017/05/14,3,""" 好吃便宜，，"""
20,鼓浪嶼海鮮屋,2017/05/14,4,"""新鮮海鮮，價格點菜錢要先問過就不會被嚇到，蛤蜊湯和炒飯推"""
21,鼓浪嶼海鮮屋,2017/05/14,3,"""可能是區域問題，價格不漂亮"""
22,鼓浪嶼海鮮屋,2017/05/14,5,"""據說是內湖最好的海鮮餐廳，果然名不虛傳"""
23,鼓浪嶼海鮮屋,2017/05/14,5,"""海鮮料理不錯"""
24,鼓浪嶼海鮮屋,2017/05/14,4,"""食材新鮮，好吃，價位中等偏高。"""
25,鼓浪嶼海鮮屋,2017/05/14,4,"""眾人聚餐的好地方。"""
