id,date,star,text
1,2017/05/18,1,"""難吃，態度又差"""
2,2017/05/18,1,"""這是我第一次發那麼差的評論，真的太爛了(￣Д￣)ﾉ菜難吃就算了，我一點半左右進店家，老闆沒告知休息時間是兩點，還沒吃完就趕客人，我家三歲的女兒還沒吃飽就必須配合老闆的休息時間!實在是太爛了(￣Д￣)ﾉ"""
3,2017/05/18,1,""" 很油 有害健康，，"""
4,2017/05/18,1,"""很不錯的位子，食物很難吃"""
5,2017/05/18,1,"""真的是超級難吃，炒飯用到燒焦味還講很大聲說是正常的，有問題的是我，這種店絕對不會有下一次"""
6,2018/05/18,3,"""不錯"""
7,2018/05/18,1,"""青椒牛肉炒飯，牛肉臭酸了，我的天啊………"""
8,2018/05/18,1,"""點了炒麵，比直接無鹽水煮白麵還要難吃，價格也不算便宜。"""
9,2018/05/18,3,"""什錦湯麵$90,份量普通；口味屬清淡。"""
10,2018/05/18,4,"""傳統炒飯就是要有點焦味才香，雖然調味方面還好，基本都可在接受，尤其開到晚上一點，且老闆很少休息，這點很方便外食族，還有可愛店貓。"""
11,2019/05/18,5,"""份量OK 口味還不錯 , 老闆痕有人情味 , 店狗十分可愛"""
12,2019/05/18,1,"""太貴了~也不好吃！"""
13,2019/05/18,1,"""東西難吃又貴到爆炸，服務態度又差，絕對不會再去了"""
14,2019/05/18,1,"""難吃服務差"""
15,2019/05/18,5,"""好吃的快炒，新手家庭主婦及忙碌媽咪的好幫手，出餐很快，CP值高"""
16,2019/05/18,1,"""炒飯份量小就算了... 還貴，還有有燒焦味的炒飯一點都不正常好嗎？  老闆是要客人吃出病嗎？"""
17,2019/05/18,1,"""很難吃，炒飯軟爛油膩。"""
18,2019/05/18,2,"""燴飯上面浮一層油，炒飯很多焦掉，紫菜蛋花湯太鹹，油煙全部倒灌進店裡，只想快點離開的店。"""
19,2019/05/18,1,"""426老闆人真好。用小碗白飯就快一百元了黑。真會賺。你們要多去關顧一下。問他加飯他說跟九官鳥一樣說：每家都不給加飯。加飯等於2個炒飯重複再重覆。倒飯還會掉米粒。會算又會浪費米粒。多找一些兄弟幫他捧捧場最實在"""
20,2019/05/18,1,"""炒飯就可看出店內老闆功力，應該是不會再光顧。"""
21,2019/06/18,1,"""叫你不要燒焦"""
22,2019/07/18,3,"""食物過於油膩，連紫菜蛋花湯上面也浮了一層油"""
23,2019/09/18,1,"""炒飯是吃油跟鹽巴配飯，又油又鹹，而且老闆很吵，我不需要吃個飯還要聽你講多會開車，以後絕不再來的一家店。"""
24,2019/10/18,1,"""超級難吃 牛肉燴飯難吃 炒飯沒味道 真的雷"""
25,2019/12/18,1,"""吃個炒飯問能不能加一碗飯進去炒，10元，又不是付不起。，茄汁炒飯還燒焦就算了，端菜來跟結帳時還擺臭臉，這麼有個性，我吃隔壁賀涼麵好了。，以後不回去了。"""
26,2020/01/18,1,"""態度有夠差就不爽買了"""
27,2020/02/18,1,"""炒飯都焦了還照賣 很糟糕"""
