id,name,date,star,text
1,品林坊-終極熱炒,2013/05/12,3,"""好吃^ ^，最喜歡“四季肥腸”，穌穌香香的"""
2,品林坊-終極熱炒,2016/05/12,4,"""不錯吃，價格實惠。"""
3,品林坊-終極熱炒,2016/05/12,2,"""菜色種類很多 但味道普通 價格一般"""
4,品林坊-終極熱炒,2016/05/12,5,""" 好吃！超棒！端端！，，"""
5,品林坊-終極熱炒,2016/05/12,4,"""蠻好吃的，推薦蒜泥白肉，蒜泥鮮坷"""
6,品林坊-終極熱炒,2017/05/12,5,"""東西好吃，最好先訂位。"""
7,品林坊-終極熱炒,2017/05/12,4,"""便利價格尚可，口味還不賴"""
8,品林坊-終極熱炒,2017/05/12,4,"""東西不鍇吃~"""
9,品林坊-終極熱炒,2017/05/12,4,"""不錯的家常菜，高CP值"""
10,品林坊-終極熱炒,2017/05/12,5,""" 家常菜，好吃，，"""
11,品林坊-終極熱炒,2017/05/12,4,"""上班族中午用餐的一個好選擇"""
12,品林坊-終極熱炒,2017/05/12,5,""" 每月必去，，"""
13,品林坊-終極熱炒,2017/05/12,4,"""菜色都不錯，價位也不會太高，很適合全家或親朋好友來聚餐"""
14,品林坊-終極熱炒,2017/05/12,4,"""菜色平價好吃。"""
15,品林坊-終極熱炒,2017/05/12,4,""" 好吃，，"""
16,品林坊-終極熱炒,2017/05/12,4,""" CP值高，，"""
17,品林坊-終極熱炒,2017/05/12,5,"""餐點好吃實在"""
18,品林坊-終極熱炒,2018/05/12,4,"""整體感覺乾淨，服務態度普普，但餐點蠻好吃的，推鮭魚炒飯跟蒜泥豬肉"""
19,品林坊-終極熱炒,2018/05/12,4,""" 美味的sha鍋店，，"""
20,品林坊-終極熱炒,2018/05/12,4,"""餐點選擇很多，不過偶而會有地雷（有次點薑絲羊肉有夠硬），必點三樣：蔥爆牛肉、沙茶空心菜牛、乾燒河粉"""
21,品林坊-終極熱炒,2018/05/12,4,"""不錯吃～"""
22,品林坊-終極熱炒,2018/05/12,4,"""平日中午時很多附近公司住戶來用餐，要早點來。"""
23,品林坊-終極熱炒,2018/05/12,4,"""家常菜口味，親友聚餐好選擇。"""
24,品林坊-終極熱炒,2018/05/12,4,"""好吃的平價家常菜"""
25,品林坊-終極熱炒,2018/05/12,5,"""就是喜歡它的口味~~"""
26,品林坊-終極熱炒,2018/05/12,4,"""囗味不錯，價格便宜"""
27,品林坊-終極熱炒,2018/05/12,5,""" 好吃，，"""
28,品林坊-終極熱炒,2019/05/12,4,""" 好吃，，"""
29,品林坊-終極熱炒,2019/05/12,5,"""餐點好吃，氣氛好的店，cp高"""
30,品林坊-終極熱炒,2019/05/12,4,"""餐點種類多，出菜速度快，用餐愉快。"""
31,品林坊-終極熱炒,2019/05/12,2,"""不推，份量很少，菜色普普，就室內較其它同累行快炒乾凈些，但兒童椅很髒且壞掉了也沒修，j不會再去."""
32,品林坊-終極熱炒,2019/05/12,1,"""簡餐和便當的配菜很隨便，永遠都有加水稀釋到沒蛋香的九層塔炒蛋，和最便宜有怪味道的豆乾丁，一份要價100以上，很不老實的店家。"""
33,品林坊-終極熱炒,2019/05/12,5,"""彩色精緻，記得少鹽"""
34,品林坊-終極熱炒,2019/05/12,5,"""不錯吃的中式小餐館"""
35,品林坊-終極熱炒,2019/05/12,4,"""交通方便，就在北投捷運站旁邊 。，東西好吃，價格還可以接受。 多樣選擇 又有冷飲無限供應。，只是桌位空間太小，人多就會有擁擠的感覺。"""
36,品林坊-終極熱炒,2019/05/12,4,"""經濟實惠  交通方便"""
37,品林坊-終極熱炒,2019/05/12,4,"""cp值超高又不錯吃"""
38,品林坊-終極熱炒,2019/05/12,5,"""空心菜牛肉好吃，配菜有青菜有湯，讓我有營養均衡的一餐。"""
39,品林坊-終極熱炒,2019/05/12,5,"""精緻料理 個人套餐份量不多 紅茶自取"""
40,品林坊-終極熱炒,2019/05/12,4,"""(由 Google 提供翻譯) [職員]，①一個初中生的男孩來英語接聽訂單！，雖然我認為以不熟悉的英語提供客戶服務是一種勇氣，但我很高興能夠帶著微笑輕鬆解釋！ ！，②艾克曼的哥哥帶來的貨物！酷男似乎是個演員！，你妹妹住在結賬櫃檯！，④我可以從廚房看到一位好老頭！，，[菜單]，桌面上的菜單無法在本地讀取，帶給我的菜單有照片和英文符號，很容易理解♪，，肉類可以選擇羊，牛，豬，海鮮的系統！，，一位訪客，我星期天中午去吃飯！，只有當地人💡非常令人興奮和熱鬧的商店！ …"""
41,品林坊-終極熱炒,2019/05/12,4,""" 好吃！，，"""
