id,date,star,text
1,2018/05/18,3,"""家庭打打小牙祭的好選擇"""
2,2018/05/18,5,"""便宜大碗，就是人太多，雖然有停車場，但要早到才好停車。"""
3,2018/05/18,4,"""菜色豐富 餐點好吃"""
4,2018/05/18,4,""" 品嚐各種台灣家庭式菜餚真是太好了。，，"""
5,2018/05/18,5,""" 份量足料理又到位，CP值超高的店！，，"""
6,2018/05/18,4,"""菜色豐富，即使人多，出餐依舊不慢。雖價格稍稍上漲，依然是平日用餐好去處。"""
7,2018/05/18,4,"""物美價廉，好吃人多。"""
8,2018/05/18,5,"""飯跟菜都很好吃，經濟實惠！"""
9,2018/05/18,3,"""東西很便宜 但有點油"""
10,2018/05/18,4,"""平價！一道菜來了之後剩下的都很快"""
11,2018/05/18,5,"""CP值爆高～！！，菜色眾多又精緻！卻是平價消費～，常常客滿，最好事先訂位。"""
12,2018/05/18,3,"""經濟實惠"""
13,2018/05/18,5,""" 便宜又好吃，，"""
14,2018/05/18,3,"""二店味道較好，空間有點擠，人多冷氣不夠強，只是一道菜約170，相較北市的餐廳便宜。"""
15,2018/05/18,3,"""不錯吃"""
16,2018/05/18,3,"""生意太好…調味有待拿捏"""
17,2018/05/18,4,"""飯好吃，整體而言cp值高!"""
18,2018/05/18,4,"""口味不錯，價位適中，份量偏少"""
19,2018/05/18,4,"""東西精緻好吃"""
20,2018/05/18,5,"""鐵版牛柳 橙汁羊排 蔥香油雞 炒空心菜 超好吃!"""
21,2018/05/18,5,"""好吃，每樣菜都好下飯！"""
22,2018/05/18,5,""" 便宜，好吃，，"""
23,2018/05/18,5,"""餐點很好吃，適合多人聚餐"""
24,2018/05/18,5,"""口味佳，消費平價，備有停車場，服務態度好"""
25,2018/05/18,3,"""份量偏少，漲價漲滿多，推薦鹽酥蝦跟骰子牛，但生魚片完全是冷凍拿出來切片，超雷！海膽炒蛋沒有海膽味，只有肉鬆味，不推"""
26,2018/05/18,5,""" 好吃，，"""
27,2018/05/18,4,"""菜色都很下飯; 鮮蝦明捲份量大. 服務人員多且年輕動作迅速但熱忱略低.  一店的洗手間內蚊子不少;建議可放電蚊香."""
28,2018/05/18,5,"""出菜快，價格合理"""
29,2018/05/18,5,"""出菜速度很快！菜色多樣可選擇"""
