id,date,star,text
1,2014/05/12,3,"""離石牌捷運站近，步行不用10分鐘。菜色就是下酒菜，味道尚可，菜量普通，有時師父心情好，鹽巴就多了些。因為交通方便是拚酒的好所在。二樓有圓桌可家庭聚餐。以熱炒店來看，價錢小貴。"""
2,2016/05/12,3,"""平價熱炒，座位充足適合團體。"""
3,2016/05/12,4,""" 好吃，，"""
4,2016/05/12,4,""" 生意很好 常常都要等。蚵仔酥不好吃…，，"""
5,2016/05/12,2,"""服務不錯，但不可口⋯⋯⋯"""
6,2016/05/12,3,"""價位很平價，味道也不錯， 去了幾次都維持一貫的水準！"""
7,2017/05/12,4,"""每樣小菜都很夠味，啤酒種類很多，有十八天更是大大加分！"""
8,2017/05/12,5,"""CP值不錯, 還有禁菸區."""
9,2017/05/12,5,"""菜色豐富！"""
10,2017/05/12,4,"""還可以"""
11,2017/05/12,4,"""熱炒不錯"""
12,2017/05/12,4,"""平價好吃!"""
13,2017/05/12,3,"""南瓜鹹蛋蠻好吃的"""
14,2017/05/12,4,"""終於吃過一次，味道恰當，一般熱炒。"""
15,2017/05/12,4,"""(由 Google 提供翻譯) 這個位置很不錯，在石牌捷運站旁，石牌夜巿附近，不論是開車騎車坐車都很方便，不然上行義路洗個溫泉下山再來這吃個粗飽也是好選擇。還有貼心提醒會抓酒駕。，炒水蓮100～聽說是有錢人吃的，其實還不滿，有配香菇和肉絲，有脆不焦，但份量有點不足。，大發小炒100～應該店家自己比較隨便配，不知道會不會隨季節調整，青辣椒＋小魚幹＋豆干＋辣椒＋蔥＋豆鼔。這配起來炒真的還滿好吃，CP值不賴。，南瓜鹽蛋120～聽說是招牌好吃，南瓜用炸再伴裹上鹹蛋，好吃不貴。 …"""
16,2017/05/12,5,"""好吃嗎？還是一樣辣"""
17,2017/05/12,4,"""應有的辛香料分量絕對夠，風味到位。"""
18,2017/05/12,3,""" 普普，，"""
19,2017/05/12,5,""" 好吃，，"""
20,2017/05/12,3,"""喜歡台菜、喝酒，那就是這裡，每到晚餐就是一堆人，安排座位算是蠻擁擠的，是值得來吃喔。"""
21,2017/05/12,5,"""好吃又便宜的熱炒店"""
22,2017/05/12,4,"""這餐廳在北投很有名，不管你是辦桌還是小酌都是OK的，老闆娘很阿莎力，很多北投那邊的人都會在那邊吃，食材OK。無刷卡。"""
23,2017/05/12,5,"""東西很好吃，上菜也快"""
24,2017/05/12,3,"""餐點還算可以，價格小貴，份量又不多！"""
25,2017/05/12,3,"""還好，有點油"""
26,2017/05/12,4,"""會招待小菜(毛豆)，不是很平價不過品質還行，用餐時間常常滿"""
27,2017/05/12,3,"""平價快炒 喝酒聚餐"""
28,2017/05/12,5,""" 出菜快速，，"""
29,2017/05/12,5,"""啤酒買一送一 划算"""
30,2017/05/12,2,"""不老實"""
31,2017/05/12,4,"""菜蠻好吃的"""
32,2017/05/12,3,"""台式熱炒"""
33,2017/05/12,5,"""價格便宜，新鮮"""
34,2017/05/12,4,"""地點方便 價位便宜 停車好停 供菜快速 不錯！"""
35,2017/05/12,5,""" 好吃，，"""
36,2017/05/12,4,"""價格實在，料理好吃，服務不錯。"""
37,2017/05/12,5,"""平價美食！"""
38,2017/05/12,4,"""價格平價 (但還沒到便宜)，口味還不錯，店員推薦的菜色都還滿有水準的，像是當天推薦的烤魚就很新鮮。如果不確定要點什麼菜的話，建議可以問店員看看~"""
39,2017/05/12,3,"""很台味的啤酒快炒餐廳，海鮮類很新鮮，可惜我已改素食了。桌邊素也可以點幾樣菜享用。，氣氛很熱鬧，熟客很多，店面從原來的主場已擴充三，四次了。，偶而小酌一下，分享啤酒屋的氣氛，和老闆的熱情，一樂也。"""
40,2017/05/12,5,"""吃了還會再想去的熱炒店"""
41,2017/05/12,5,"""位置多,東西也好吃!!推推"""
42,2017/05/12,2,"""口味較淡"""
43,2017/05/12,5,"""飯吃到飽，菜色cp質也很夠，餓了就來吧平價熱炒"""
44,2017/05/12,3,"""菜色還可以"""
45,2017/05/12,4,""" 小酌的好地方，，"""
46,2017/05/12,5,"""價格合理，不貴。上菜速度快。菜色多，且好吃。推薦給來石牌玩的人。By在地石牌人。"""
47,2017/05/12,5,"""好吃，適合聚餐"""
48,2017/05/12,4,"""價錢合理也不錯吃，適合聚餐"""
49,2017/05/12,3,""" 三五好友聚餐地方，，"""
50,2017/05/12,4,"""適合聚會的地方"""
51,2017/05/12,4,"""海鮮快炒，味道不錯，人氣旺！"""
52,2017/05/12,5,"""服務不錯，價格合理，口味不差，跟朋友來喝酒很合適的地方"""
53,2017/05/12,5,""" 好吃，，"""
54,2017/05/12,5,"""口味菜單皆有特色的熱炒店，北投約熱炒首選"""
55,2017/05/12,3,"""價位合理，口味也是合理"""
56,2017/05/12,4,"""啤酒種類太少，其它的都好"""
57,2017/05/12,5,"""好吃，價錢又公道，非常推薦！，有一陣子真的是當成我家餐廳，每天都來吃啊～"""
58,2017/05/12,4,"""經濟實惠"""
59,2017/05/12,1,"""縱容客人在店裡密閉區抽煙，對其他不抽菸的客人很不尊重，臭死了！"""
60,2017/05/12,5,"""熱鬧"""
61,2018/05/12,4,"""價格合理，菜單多樣，上菜速度快，很下飯"""
62,2018/05/12,4,"""平價的好選擇"""
63,2018/05/12,4,"""適合朋友平常聚會的好地方，菜色豐富而且平價，道地的台灣味也很適合帶外國朋友來品嘗"""
64,2018/05/12,4,"""聚會好去處"""
65,2018/05/12,4,"""菜色不錯，聚餐的好選擇"""
66,2018/05/12,5,"""很鮮很美味"""
67,2018/05/12,5,""" 石牌週潤發和朋友喝兩杯的好地方，，"""
68,2018/05/12,5,""" 好吃喔，，"""
69,2018/05/12,5,""" 好吃，，"""
70,2018/05/12,4,"""魚湯有腥味，但是經過反應馬上劃掉，啊沙利"""
71,2018/05/12,4,"""新鮮好吃"""
72,2018/05/12,4,"""離捷運站近，喝酒吃飯聚餐後，可以免除酒駕風險。，另外，餐點口味不差，價格尚屬合理。"""
73,2018/05/12,1,""" 不好吃，，"""
74,2018/05/12,5,"""服務很好，東西好吃"""
75,2018/05/12,4,""" 便宜好吃，，"""
76,2018/05/12,5,"""士林區北投天母一帶快炒店的首選，價格公道，氣氛佳，服務生老中青都有但都非常熱情"""
77,2018/05/12,3,"""有分吸煙跟非吸煙區，服務員很熱情一直推薦（貴的），招牌皮蛋燴地瓜葉很好吃，其他都還好"""
78,2018/05/12,4,"""價格中等味道還不錯"""
79,2018/05/12,4,"""價錢便宜，味道也沒差"""
80,2018/05/12,5,"""既有百元料理 也提供單點的 龍蝦活魚料理 可以滿足各 客戶的需求"""
81,2018/05/12,4,""" 交通方便聚餐好地方，，"""
82,2018/05/12,2,"""量與價格不成正比，口味普普，料不多。"""
83,2018/05/12,3,"""適合小酌的地方，但人多很吵"""
84,2018/05/12,3,"""石牌商圈口碑佳的「海產攤」。菜單多樣性、價位適中、室內外座位、營業時間長，聚餐的好地方。"""
85,2018/05/12,4,"""價位在台北地區算便宜，又緊鄰捷運站，交通方便，故吸引很多人潮。"""
86,2018/05/12,4,"""很讚的熱炒店"""
87,2018/05/12,4,"""料理美味，服務佳，交通便利"""
88,2018/05/12,4,"""價格合理，在石牌捷運站旁，店面闊、附近好停車，找不到地方停遠一點的商城還有停車場"""
89,2018/05/12,4,"""味道還不錯，石牌地區少數的熱炒店，八點後人會少一點。"""
90,2018/05/12,4,""" 可以，，"""
91,2018/05/12,3,"""要加10%服務費，不值得。，有室內非吸煙 有冷氣的用餐區，但點菜時  店員會熱情推薦很多菜，不建議   又貴  且不佳，海鮮類  不建議，最實惠是點  百元  非海鮮的炒菜，別點大菜或超過200元的，不值得，否則會像我一樣，花大錢 又不好吃。"""
92,2018/05/12,5,"""好吃 地點好"""
93,2018/05/12,3,"""很難去評論大發的星級，去了幾次，昨天跟登山隊員去開了兩桌，味道不錯，但是它的價位就有點偏高，總消費還要加10%的服務費，服務人員送菜加服務費我們沒話說，但是啤酒飲料都是自取自倒，我們就不懂為啥要加服務費？而且也沒發票，這樣是不是涉嫌……"""
94,2018/05/12,5,""" 在下降的價格範圍內，您可以得到令人驚奇的選擇，例如鴿子鴕鳥蛙肉。一定要試。雖然在飲料上沒有太多選擇😊，，"""
95,2018/05/12,4,"""服務生很親切，各式熱炒．快炒都有，是上班族或好哥們聚餐小酌的好地方，注意看玻璃瓶啤酒蓋，有再來一瓶哦!"""
96,2018/05/12,3,"""經濟小吃"""
97,2018/05/12,4,"""好吃，但會一直來推銷魚貨"""
98,2018/05/12,5,"""還不錯吃，店員很忙，要主動找人點菜"""
