id,date,star,text
1,2016/05/12,4,"""快炒平價好吃"""
2,2016/05/12,5,"""平價好吃!!可以選擇少油少鹽不加味精這點非常的棒!!重點是味道沒有因此變差"""
3,2016/05/12,4,"""平價又好吃！"""
4,2017/05/12,4,"""便宜好吃快炒店，適合六至十人聚餐。"""
5,2017/05/12,3,"""平價手快炒"""
6,2017/05/12,5,"""冷氣！平價！揪吃餐，自己吃大飽足兩相宜！"""
7,2017/05/12,4,"""水準可以……"""
8,2017/05/12,4,"""以快炒來說，平價，又不難吃"""
9,2017/05/12,3,"""還不錯 價位還可以"""
10,2017/05/12,5,"""經濟實惠的熱炒，推薦三五好友一同用餐，用餐時人較多，可能會需要與人並桌"""
11,2017/05/12,5,""" 便宜又大碗 可口，，"""
12,2017/05/12,4,"""新鮮又好吃"""
13,2017/05/12,4,""" 便宜好吃！，，"""
14,2017/05/12,4,"""先前很喜歡這間的快炒，但周六晚上來吃，怎麼覺得口味變了？份量也變少了？"""
15,2017/05/12,4,"""老闆很親切，非常用心炒，內用上菜或外帶都很快，味道很棒，價錢很便宜 ，讚 👍，可以少油少鹽，不放味精，很有良心的一家店"""
16,2017/05/12,4,""" 好吃，，"""
17,2017/05/12,5,"""超讚超美味的一間店"""
18,2017/05/12,4,"""價格不貴 菜色多樣  上菜快"""
19,2017/05/12,4,"""還不錯炒的蠻香的，會比其他快炒貴個5~10塊"""
20,2017/05/12,4,""" 便宜好吃CP值高！，，"""
21,2018/05/12,3,"""出菜快，價格公道。"""
22,2018/05/12,4,"""家常快炒店，可惜比一般熱炒店早打烊"""
23,2018/05/12,5,"""平價的熱炒小吃，菜色多，價位便宜，菜的份量一盤大概兩三個人而已。"""
24,2018/05/12,4,""" 上菜很快，，"""
25,2018/05/12,3,"""太油太鹹，但出菜快"""
26,2018/05/12,4,"""不錯吃！"""
27,2018/05/12,3,"""菜色優，適合聚餐,菜色多樣，外帶也方便，"""
28,2018/05/12,4,"""平價熱炒cp值高但不算有特色，不過什錦炒麵有古早味，相當值得一試"""
29,2018/05/12,4,"""東西不錯吃 上菜速度快 """
