id,name,date,star,text
1,酒加菜平價海鮮熱炒,2016/05/12,3,"""平價好吃的熱炒店"""
2,酒加菜平價海鮮熱炒,2016/05/12,3,"""Ok還可以"""
3,酒加菜平價海鮮熱炒,2017/05/12,4,"""東西是好吃，但太貴了些"""
4,酒加菜平價海鮮熱炒,2017/05/12,3,"""常吃的熱炒店，小貴，口味ok。"""
5,酒加菜平價海鮮熱炒,2017/05/12,4,"""北投好吃熱炒"""
6,酒加菜平價海鮮熱炒,2017/05/12,3,"""平價快炒店"""
7,酒加菜平價海鮮熱炒,2017/05/12,5,"""菜色不錯又好吃，而且也不會貴。"""
8,酒加菜平價海鮮熱炒,2017/05/12,5,""" 吃了二三次印像都很好，還會繼續來吃，，"""
9,酒加菜平價海鮮熱炒,2017/05/12,5,"""師父手藝不錯"""
10,酒加菜平價海鮮熱炒,2017/05/12,4,"""紅甘頭味噌湯，必點，但不一定必有"""
11,酒加菜平價海鮮熱炒,2018/05/12,5,""" 好吃又便宜，，"""
12,酒加菜平價海鮮熱炒,2018/05/12,5,"""離家近…口味佳…平價飲食…營業時間長適合聚餐的好場合"""
13,酒加菜平價海鮮熱炒,2018/05/12,2,"""味道不算好吃、碗盤不淨、服務鬆散。"""
14,酒加菜平價海鮮熱炒,2018/05/12,4,"""環境乾淨適合，各類快炒應有盡有，營業到半夜１：３０，是晚上下班後，小酌2杯的好地方"""
15,酒加菜平價海鮮熱炒,2018/05/12,5,""" 好吃，，"""
16,酒加菜平價海鮮熱炒,2018/05/12,4,""" 料理好吃，，"""
17,酒加菜平價海鮮熱炒,2018/05/12,4,"""平價，氣氛好，營業時間長～"""
18,酒加菜平價海鮮熱炒,2018/05/12,4,""" 聚餐好地方。，，"""
19,酒加菜平價海鮮熱炒,2018/05/12,4,"""好吃但是份量有點少"""
20,酒加菜平價海鮮熱炒,2018/05/12,4,"""價錢菜色一切都OK"""
21,酒加菜平價海鮮熱炒,2018/05/12,5,""" A +，，"""
22,酒加菜平價海鮮熱炒,2018/05/12,4,"""平價好吃又不拘束………^^聚餐好去處"""
23,酒加菜平價海鮮熱炒,2018/05/12,5,"""熱炒店，尚可，價位便宜，飯可以吃到飽"""
24,酒加菜平價海鮮熱炒,2018/05/12,4,""" 好，，"""
25,酒加菜平價海鮮熱炒,2018/05/12,5,"""'"""
26,酒加菜平價海鮮熱炒,2018/05/12,5,"""好吃。新鮮。便宜"""
27,酒加菜平價海鮮熱炒,2018/05/12,2,"""口味還可"""
28,酒加菜平價海鮮熱炒,2018/05/12,4,"""經濟實惠喔！"""
29,酒加菜平價海鮮熱炒,2018/05/12,4,"""不貴，料實，服務親和。"""
30,酒加菜平價海鮮熱炒,2019/05/12,5,"""經濟實惠"""
31,酒加菜平價海鮮熱炒,2019/05/12,4,""" 快炒CP值高，，"""
32,酒加菜平價海鮮熱炒,2019/05/12,5,""" 好吃，，"""
33,酒加菜平價海鮮熱炒,2019/05/12,4,""" CP值高，，"""
34,酒加菜平價海鮮熱炒,2019/05/12,5,"""東西好吃，份量多，平價，而且老闆態度很佳，飯是吃到飽"""
35,酒加菜平價海鮮熱炒,2019/05/12,4,""" 大口喝酒大口吃肉，，"""
36,酒加菜平價海鮮熱炒,2019/05/12,5,"""口味好，飯飯無限吃到飽，歡樂相聚的好地方"""
37,酒加菜平價海鮮熱炒,2019/05/12,4,"""下班聚餐的好地方~~，“明太子雞腿排”大推！！"""
38,酒加菜平價海鮮熱炒,2019/05/12,5,"""菜色豐富，鹽烤草蝦好吃"""
39,酒加菜平價海鮮熱炒,2019/05/12,5,"""熱炒美味平價，而且店內白飯內用免費，推薦是個親友聚餐的好地方。離北投捷運站或復興崗捷運站都不遠，交通還算方便。"""
40,酒加菜平價海鮮熱炒,2019/05/12,4,"""食物價格還合理 快炒的技術也不錯"""
41,酒加菜平價海鮮熱炒,2019/05/12,5,""" 高CP，，"""
42,酒加菜平價海鮮熱炒,2019/05/12,4,""" 真的很好吃，乾淨，友好的服務！，，"""
43,酒加菜平價海鮮熱炒,2019/05/12,5,"""菜色選擇多，上菜速度很快，和一般熱炒一樣走的是重鹹重油的口味，店內有不用額外加價的白飯吃到飽，很適合三五好友下般後小聚，價錢平實 CP值高，缺點可能就是熱炒店必備的啤酒選擇性太少了 有點過於單調"""
44,酒加菜平價海鮮熱炒,2019/05/12,5,"""炒菜好吃，炒麵好吃。"""
45,酒加菜平價海鮮熱炒,2019/05/12,3,"""平價熱炒餐廳"""
46,酒加菜平價海鮮熱炒,2019/05/12,5,""" 味道很好。，，"""
47,酒加菜平價海鮮熱炒,2019/05/12,4,"""還可以！"""
48,酒加菜平價海鮮熱炒,2019/05/12,5,"""平價又好吃"""
49,酒加菜平價海鮮熱炒,2019/05/12,5,""" 好吃，，"""
50,酒加菜平價海鮮熱炒,2019/05/12,5,"""下午才開始，炒的菜不錯吃。"""
51,酒加菜平價海鮮熱炒,2019/05/12,5,"""好吃，不貴！"""
52,酒加菜平價海鮮熱炒,2019/05/12,5,"""東西好吃！讚！值得再來！"""
53,酒加菜平價海鮮熱炒,2019/05/12,5,"""很棒！菜色多樣味美！"""
54,酒加菜平價海鮮熱炒,2019/05/12,4,"""炒飯好吃喔"""
55,酒加菜平價海鮮熱炒,2019/05/12,5,""" 好吃，，"""
56,酒加菜平價海鮮熱炒,2019/05/12,4,"""吃不完的團圓飯丫.."""
57,酒加菜平價海鮮熱炒,2019/05/12,1,"""不預留位子給我，那我幹嘛定位？，有什麼困難嗎？"""
58,酒加菜平價海鮮熱炒,2019/05/12,4,"""東西好吃 但價錢有點貴"""
59,酒加菜平價海鮮熱炒,2019/05/12,3,"""吸菸區離門口很近，菸味太重，用餐環境不太好"""
60,酒加菜平價海鮮熱炒,2019/05/12,4,"""價值性高，服務不錯。"""
61,酒加菜平價海鮮熱炒,2019/05/12,5,"""平價  新鮮 用心 實在"""
62,酒加菜平價海鮮熱炒,2019/05/12,4,"""還不錯"""
63,酒加菜平價海鮮熱炒,2019/05/12,5,"""老闆女兒很可愛"""
64,酒加菜平價海鮮熱炒,2019/05/12,3,"""菜色新鮮 好吃"""
65,酒加菜平價海鮮熱炒,2019/05/12,5,"""好吃～CP值高！適合聚餐的地方"""
66,酒加菜平價海鮮熱炒,2019/05/12,5,""" 好吃又大碗。，，"""
67,酒加菜平價海鮮熱炒,2019/06/12,4,"""經濟實惠"""
68,酒加菜平價海鮮熱炒,2019/06/12,4,"""還不錯吃"""
69,酒加菜平價海鮮熱炒,2019/07/12,5,"""好吃，適合聚餐"""
70,酒加菜平價海鮮熱炒,2019/08/12,5,"""CP值還蠻高的，來吃第二次了！真的好吃！"""
71,酒加菜平價海鮮熱炒,2019/08/12,4,"""口味較重，但很好吃，炒牛肉，肉很少菜很多"""
72,酒加菜平價海鮮熱炒,2019/08/12,5,"""涼筍沙拉超好吃"""
73,酒加菜平價海鮮熱炒,2019/08/12,4,"""東西新鮮，平價"""
74,酒加菜平價海鮮熱炒,2019/08/12,5,"""東西實在，價格實在 北投在地好地方👍🏾👍🏾👍🏾"""
75,酒加菜平價海鮮熱炒,2019/09/12,4,"""好吃，建議早點來吃，晚來會沒位子"""
76,酒加菜平價海鮮熱炒,2019/09/12,5,"""他們的快炒海鮮料理很多，也有不同的選擇，賓客都可以吃得盡歡，實在很不錯"""
77,酒加菜平價海鮮熱炒,2019/09/12,4,"""東西不錯吃，菜略偏鹹，價格平實，是家人朋友聚餐聊天的好地方"""
78,酒加菜平價海鮮熱炒,2019/10/12,4,"""菜色普通價格偏貴"""
79,酒加菜平價海鮮熱炒,2019/10/12,5,""" 好吃 推推推，，"""
80,酒加菜平價海鮮熱炒,2019/10/12,5,"""東西好吃,價格合理"""
81,酒加菜平價海鮮熱炒,2019/11/12,4,""" 好吃，，"""
82,酒加菜平價海鮮熱炒,2019/11/12,5,"""好吃又評價~服務又好"""
83,酒加菜平價海鮮熱炒,2019/11/12,4,"""食材處理和味道不錯，口味較重 偏油"""
84,酒加菜平價海鮮熱炒,2019/12/12,2,"""不好停車"""
85,酒加菜平價海鮮熱炒,2019/12/12,4,"""每樣菜都不錯👍"""
86,酒加菜平價海鮮熱炒,2020/02/12,5,"""常來，北投聚餐优選"""
87,酒加菜平價海鮮熱炒,2020/03/12,4,"""口味偏鹹"""
88,酒加菜平價海鮮熱炒,2020/04/12,3,"""東西好吃 且多樣化 但是價格屬於中價位"""
89,酒加菜平價海鮮熱炒,2020/04/12,5,"""東西新鮮，味道好，價格也便宜，重點老闆超好，還送了3條炸魚"""
