id,name,date,star,text
1,金鱻熱炒,2017/05/12,3,"""平價熱炒 ，白飯10元吃到飽 。"""
2,金鱻熱炒,2017/05/12,2,"""東西不錯吃。不過，帳單常會多算（遇過兩次）。"""
3,金鱻熱炒,2017/05/12,4,"""平價熱炒，好吃；快速出菜..."""
4,金鱻熱炒,2017/05/12,5,""" 便宜大碗又好吃，，"""
5,金鱻熱炒,2017/05/12,5,""" 好吃，，"""
6,金鱻熱炒,2017/05/12,1,"""招牌菜炒羊肉千萬不要點，會吐出一堆嚼不動的筋，反映之後老闆娘連減個價也不會，其他還可以"""
7,金鱻熱炒,2017/05/12,4,"""平價好吃"""
8,金鱻熱炒,2017/05/12,2,"""餐點口味太重"""
9,金鱻熱炒,2017/05/12,4,"""好吃又實惠"""
10,金鱻熱炒,2017/05/12,3,""" 當地人外帶很多，海鮮似乎不錯，尤其蝨目魚肚在烤架上，令人垂涎，下次一定要試試。黑胡椒豆腐好吃。，，"""
11,金鱻熱炒,2018/05/12,2,""" 便宜，但不好吃，，"""
12,金鱻熱炒,2018/05/12,5,"""平價又好吃～熱炒類做得很好 就是地點比較隱密"""
13,金鱻熱炒,2018/05/12,3,"""東西還不錯吃，但偶有酒攤的客人就比較吵。"""
14,金鱻熱炒,2018/05/12,4,"""大部份的菜色百元起跳，份量大約兩、三拳頭大；白飯一人10元吃到飽，店內冰箱有汽水及啤酒供人選擇。適合做為家人一起吃飯的選擇之一，較不適合大群人聚餐。"""
15,金鱻熱炒,2018/05/12,5,""" 不錯，，"""
16,金鱻熱炒,2018/05/12,1,"""送餐時間過久"""
17,金鱻熱炒,2018/05/12,5,"""還𣎴錯吃哦"""
18,金鱻熱炒,2018/05/12,3,"""一般平價熱炒 ，口味普通 ，服務親切"""
19,金鱻熱炒,2018/05/12,4,"""肉絲炒飯+泡菜，不錯吃~魚片湯50還OK，不過炒青菜就有點太貴了..寫時價但今天80.."""
20,金鱻熱炒,2018/05/12,5,"""平價，用料實在，出菜速度快，又很好吃。，如果遇到尖峰時段，出菜速度會比較慢，但不失其味道。"""
21,金鱻熱炒,2018/05/12,5,""" 好吃，，"""
22,金鱻熱炒,2018/05/12,5,"""好吃！北投難得找到炒得那麼香的快炒店……大推！(￣∇￣)"""
23,金鱻熱炒,2018/05/12,4,"""不能推薦，怕太多人知道，以後排隊等很久。"""
24,金鱻熱炒,2018/05/12,3,""" 用餐，，"""
