id,date,star,text
1,2015/05/18,4,""" 如果你完全喜歡白米飯，來這裡，中式菜餚可以解開你想家的感覺。，，"""
2,2015/05/18,4,"""好吃，用餐最好先訂位！"""
3,2015/05/18,5,""" 超好吃!，，"""
4,2016/05/18,5,"""服務好，超級好吃"""
5,2016/05/18,4,""" 好吃，客人也很多，，"""
6,2016/05/18,4,""" 好吃的快炒，，"""
7,2016/05/18,5,"""北投捷運和北投國小中間;便宜又好吃，不油膩;有別於其他的小炒店;老闆煮菜很用心"""
8,2016/05/18,5,"""用心經營的小店，好吃喔!!"""
9,2016/05/18,2,"""根本就佔用到道路了！影響交通"""
10,2017/05/18,4,""" 家居風格，，"""
11,2017/05/18,5,"""炒飯炒麵都很好吃又便宜，不過如果要吃熱炒的話建議多人來吃，因為熱炒比較大份也比較貴唷！"""
12,2017/05/18,3,"""平價快炒小吃店"""
13,2017/05/18,4,"""晚上人多可能要排隊。停車場可考慮附近的北投捷運站"""
14,2017/05/18,4,"""每次經過附近都會吃的店；蔥蛋，醉雞，蝦子每次來都會點。"""
15,2017/05/18,5,""" 好吃，，"""
16,2017/05/18,5,"""好吃價格合理!"""
17,2017/05/18,5,"""份量足，口味溫和好吃"""
18,2017/05/18,4,"""夠味又不會過鹹 好吃 看到很多人都是特別來叫了好幾道 等了半小時時菜才來 吃約十分鐘 吃完就走，三杯雞很好吃 尤其薑蒜九層塔做得恰到好處"""
19,2017/05/18,5,"""好吃歐"""
20,2017/05/18,4,"""三杯口味都很不錯 。可是假日要等很久(一個小時) 。 平日星期一，17分鐘炒麵就上桌了 。"""
21,2017/05/18,4,""" 便宜好吃的快炒店，，"""
22,2017/05/18,4,"""便宜實惠，只是菜略油。白飯算人頭，吃到飽。，每次去，我都會點鹹蛋苦瓜，這道菜炒得不錯。"""
23,2017/05/18,4,"""好吃又平價"""
24,2017/05/18,4,"""隨然是快炒店但是用瓷盤感覺不錯。"""
25,2017/05/18,3,"""份量ok，出菜有點慢"""
26,2017/05/18,5,"""不落俗套的平價美味快炒"""
27,2017/05/18,5,"""好吃唷~不過人多的時候要等久一點...."""
28,2017/05/18,4,"""好吃只是吃飯時間人有點多"""
29,2017/05/18,3,"""快炒店的口味，還不錯，但上菜甚慢！"""
30,2017/05/18,3,"""經濟實惠，餐點服務ok!"""
31,2017/05/18,4,""" 菜色好吃，但是出菜速度慢，，"""
32,2017/05/18,5,"""好吃不算太貴～什錦炒飯料有點少⋯"""
33,2017/05/18,5,"""個人吃過的快炒店裡, CP值最高的一間~，東西好吃不在話下, 重點是價格還頗便宜!!! ，來北投必吃快炒沒有之二 :)"""
34,2017/05/18,5,"""老闆好用心在煮，有別於其他的快炒店，一試成主顧。"""
35,2017/05/18,5,"""燴飯的湯汁有夠厲害～～ 吃第一口就覺得是一種熟悉的傳統燴飯有的香味～～現場還有免費茶水  很不錯"""
36,2017/05/18,4,"""大都不錯吃唷！!(來前最好先訂位!)"""
37,2017/05/18,5,""" 好吃便宜又大碗，，"""
38,2017/05/18,4,"""快炒，好吃，平價"""
39,2017/05/18,4,"""人多時要等上一陣子"""
40,2017/05/18,1,"""住北投，吃過好幾次，但是昨晚吃完老婆腸胃炎，上吐下瀉，現在已經不敢再去光顧"""
41,2017/05/18,5,"""好吃便宜又實在，但生意很好需要等待。"""
42,2018/05/18,4,"""經濟實惠的熱炒，用餐時間都爆滿~好吃"""
43,2018/05/18,5,""" 好好味，CP值高，，"""
44,2018/05/18,4,"""平價，口味不錯。"""
45,2018/05/18,4,"""好吃熱情不貴"""
46,2018/05/18,3,"""好吃的料理，親切的店家，生意很好。如果不想排隊久候，記得先電話預定或早點來吃。"""
47,2018/05/18,2,"""假日候餐太久了，等了40分鐘才上菜，口味不ok，三杯花枝上菜時花枝還是白白的，沒有醬汁也不入味，炒青菜也太油了，不值得等這麼久吃這一餐。"""
48,2018/05/18,4,"""價格跟菜量正比，口味也不錯，喝酒的好地方"""
49,2018/05/18,4,"""菜色眾多，價格合宜，味道尚可，冷氣較少。"""
50,2018/05/18,4,"""快炒美食讚！"""
51,2018/05/18,4,"""典型家庭店，餐點風味很好，價錢公道。"""
52,2018/05/18,4,"""比之前好吃，服務親切，外帶特多，內用有等比較久。"""
53,2018/05/18,5,"""口味很好，cp值超高！，老婆跟老闆娘都很親切，北投又多了一個可以吃的店"""
54,2018/05/18,5,"""東西好吃"""
55,2018/05/18,3,""" 生意超好的快炒店，，"""
56,2018/05/18,4,""" 好吃，但速度太慢…，，"""
57,2018/05/18,1,"""爛透等了35分鐘一道菜都沒上連點的菜去詢問都搞不清楚只說快好了快了10分鐘一道都沒，上菜順序也沒照到的順序給"""
58,2018/05/18,4,"""口味不錯，配菜細心。市場附近唯一的熱炒店（？）。"""
59,2018/05/18,5,"""好吃便宜又大碗，生意太好有時等上菜會有點久"""
60,2018/05/18,5,"""好吃的熱炒店，最好先電話預約以免久候"""
61,2018/05/18,3,"""平價家常快炒店，還可以。"""
62,2018/05/18,1,"""菜色多，出菜快，非常好吃，價錢公道"""
63,2018/05/18,5,"""熱炒菜餚口味很不錯，店內環境乾淨明亮，老闆及人員都很禮貌服務很好，靠近捷運站停車也方便"""
64,2018/05/18,5,"""菜好吃又不會太貴"""
65,2018/05/18,5,"""好吃經濟實惠！"""
66,2018/05/18,3,""" 很慢...，，"""
