id,date,star,text
1,2017/05/18,4,"""店面雖不大，老闆的料理功夫卻了得，吮指的桂花蟹、Q彈的羊肉丸、香味四溢的羊肉爐、快火炒河蜆、鹹香的乾煸四季豆、鮮美的沙鍋魚頭…。老闆的私房菜，只有常連客才有口福喔！"""
2,2018/05/18,4,"""牛肉炒麵$80,蚵仔湯$60,口味都還不差。"""
3,2018/05/18,5,""" 好……吃又便宜。，，"""
4,2019/05/18,4,""" 好！，，"""
5,2019/05/18,5,"""好吃！價位平價。"""
6,2019/05/18,1,"""非常非常誇張的服務態度，只點一份炒青菜外帶被白眼回了句，「沒空」"""
7,2019/05/18,4,"""是個吃飯，喝酒聊天的好地方。"""
8,2019/05/18,3,"""沒有很特別的拿手菜，就一般的快炒嘍～環境還可以。"""
9,2019/05/18,1,"""人多時別去 態度很差"""
10,2019/07/18,5,"""讚讚讚😋😋"""
11,2019/07/18,5,"""就吃熱炒阿！不錯吃!"""
12,2019/07/18,5,"""不錯吃，味道很好"""
13,2019/09/18,1,"""老闆娘臉色非常非常臭！！！！"""
14,2019/09/18,5,"""就是早點去吃就對了 ……菜色cp值超高 ！"""
15,2019/10/18,4,"""聽說幾十年沒加價，但菜量越來越少，好吃不飽。"""
16,2019/12/18,4,"""好吃，新鮮，不油膩"""
17,2019/12/18,1,"""飯在炒三小全部爛在一起，不會有第二次消費"""
18,2020/01/18,5,"""CP值高，味道好的小炒，午夜12時關門"""
19,2020/04/18,5,"""雖然是老房子，但廚房很乾淨，排列整齊。重要的是，價格低廉又很好吃，其中鹽酥蝦，炒羊肉，炒螺肉是讓人百吃不膩！但車位不好停，可能要找一下！"""
20,2020/05/11,5,"""老闆，老闆娘很親切。東西好吃，CP值高。"""
21,2020/05/14,1,"""(我根本連一顆星都不想給)，頭一次消費，致電訂餐後，到店裏取餐，一進去，裡頭人員看電視的看電視，還有人員在趴睡？都沒人搭理我 …"""
