id,name,date,star,text
1,馬場台菜熱炒,2017/05/12,5,""" 好吃~!!!!!!!!，，"""
2,馬場台菜熱炒,2017/05/12,5,""" 真好吃，，"""
3,馬場台菜熱炒,2017/05/12,4,"""還不錯歐"""
4,馬場台菜熱炒,2017/05/12,3,"""菜色口味選擇性頗多，但味道口味上篇重，或許是因為熱炒店下酒菜關係，若口味覺得太重，可請店家稍作調整～味道頗重的口感！"""
5,馬場台菜熱炒,2017/05/12,5,"""好吃服務又好，很推薦..."""
6,馬場台菜熱炒,2017/05/12,5,"""東西新鮮好吃  服務很好  上菜速度也很快   環境也很整潔   全家都很滿意  推推^^!!!!!!"""
7,馬場台菜熱炒,2017/05/12,4,"""菜色多樣，上菜速度快，服務佳！"""
8,馬場台菜熱炒,2017/05/12,5,""" 亞洲最棒的海鮮餐之一，自2005年以來我們一直在這裡。龍蝦生魚片一般都會像生魚片一樣死去。煮熟的海鮮也很棒。一定要去 ！，，"""
9,馬場台菜熱炒,2017/05/12,5,"""食品好吃。龍珠不會炸得太老，吃起來很Q彈；每盤的份量不會太少，品質也不錯。"""
10,馬場台菜熱炒,2017/05/12,4,"""價格合理，空間、裝潢舒適"""
11,馬場台菜熱炒,2017/05/12,5,"""超好吃，老闆阿沙力會請小菜哦！"""
12,馬場台菜熱炒,2017/05/12,4,"""好吃好吃!但旁邊總有感覺很兇狠的人的樣子"""
13,馬場台菜熱炒,2017/05/12,3,"""一家有風格的餐廳"""
14,馬場台菜熱炒,2017/05/12,5,"""海產新鮮環境乾淨！"""
15,馬場台菜熱炒,2017/05/12,4,"""食物好 價錢合理"""
16,馬場台菜熱炒,2017/05/12,5,""" 好好又便宜，，"""
17,馬場台菜熱炒,2017/05/12,5,""" 好吃好吃位置很大，，"""
18,馬場台菜熱炒,2017/05/12,3,"""烤鹹豬肉是招牌, ，口感相當不錯，常點,可是品質不穩定"""
19,馬場台菜熱炒,2017/05/12,3,""" 台灣一般餐廳。它離炒黃瓜胡椒太遠了。有虎牌啤酒真好。，，"""
20,馬場台菜熱炒,2017/05/12,5,"""來才會發現，一來就愛上，菜好人情味更好"""
21,馬場台菜熱炒,2017/05/12,5,"""吃過最好吃的熱炒店  大力推薦"""
22,馬場台菜熱炒,2017/05/12,3,"""多元化的熱炒料理方式"""
23,馬場台菜熱炒,2018/05/12,5,"""親切"""
24,馬場台菜熱炒,2018/05/12,4,"""平價美食"""
25,馬場台菜熱炒,2018/05/12,2,""" 價格昂貴，食物味道一般，，"""
26,馬場台菜熱炒,2018/05/12,5,""" CP值高！，，"""
27,馬場台菜熱炒,2018/05/12,5,"""菜很好吃，二樓包廂環境很不錯，一人不用很多錢就可以吃很飽"""
28,馬場台菜熱炒,2018/05/12,2,""" C/P值低，，"""
29,馬場台菜熱炒,2018/05/12,5,"""方便，寬敞，好吃，態度佳"""
30,馬場台菜熱炒,2018/05/12,3,"""份量一般。口味還ok"""
31,馬場台菜熱炒,2018/05/12,4,"""是一個喝啤酒的好地方；梅子苦瓜、避風塘蝦味道都不錯；"""
32,馬場台菜熱炒,2018/05/12,3,"""菜色不錯，酒類眾多，要吃飽的人需多點幾份。"""
33,馬場台菜熱炒,2018/05/12,4,"""價位稍微高於一般的熱炒，有些菜的菜量不很多，整體用餐環境不錯，洗手間略嫌不足要改進。"""
34,馬場台菜熱炒,2018/05/12,4,"""很自在 很放鬆 不錯的地方"""
35,馬場台菜熱炒,2018/05/12,5,"""過去是「品酒棧」時就是私藏的美味餐廳，改革後的馬場，菜的調味、功夫仍舊是一流，像是在大館子裡吃的等級。老皮嫩肉，金沙中卷，海瓜子，秋刀魚，三杯米血，白飯免費吃，再加上三瓶18生啤。是與朋友喝酒聊天吃東西的好地方，希望能一直生意興隆～"""
36,馬場台菜熱炒,2018/05/12,4,"""高朋滿坐！食物新鮮！喝酒氣氛嘉！"""
37,馬場台菜熱炒,2018/05/12,2,""" 味道真的不行，，"""
38,馬場台菜熱炒,2018/05/12,2,"""很貴"""
39,馬場台菜熱炒,2018/05/12,4,"""東西好吃！梅子苦瓜超特別，室內室外的感覺都不錯"""
40,馬場台菜熱炒,2018/05/12,3,"""平價快炒店"""
41,馬場台菜熱炒,2018/05/12,5,"""很👍的用餐很舒適"""
42,馬場台菜熱炒,2018/05/12,5,""" 很好吃, 使用巷弄又有折扣, 很划算。，，"""
43,馬場台菜熱炒,2018/05/12,5,""" 週末由駐唱，東西好吃，，"""
44,馬場台菜熱炒,2018/05/12,4,"""好吃 便宜的熱潮店"""
45,馬場台菜熱炒,2018/05/12,2,""" 出菜快，口味普通，，"""
46,馬場台菜熱炒,2018/05/12,4,"""東西好吃"""
47,馬場台菜熱炒,2018/05/12,3,"""菜色口味有待進步，環境舒適"""
48,馬場台菜熱炒,2018/05/12,4,"""老闆娘親切"""
49,馬場台菜熱炒,2018/05/12,4,"""鐵板商業午餐只要$99，很超值！"""
50,馬場台菜熱炒,2018/05/12,2,"""味道不到位，有待改進"""
51,馬場台菜熱炒,2018/05/12,5,"""經濟實惠聚會處所"""
52,馬場台菜熱炒,2018/05/12,4,"""平價小吃 服務人員很熱誠"""
53,馬場台菜熱炒,2018/05/12,5,"""聚餐的好地方，食材新鮮，東西好吃"""
54,馬場台菜熱炒,2018/05/12,5,"""聚會喝酒好去處"""
55,馬場台菜熱炒,2018/05/12,4,"""商業午餐大推!  味增湯好喝"""
56,馬場台菜熱炒,2018/05/12,5,"""價格公道"""
57,馬場台菜熱炒,2018/05/12,5,"""菜新鮮好吃，服務態度好，CP值很高的炒菜店，不過建議點一般炒菜就好，比較貴的菜價值感沒那麼高"""
58,馬場台菜熱炒,2018/05/12,5,"""料理好吃、價格合理"""
59,馬場台菜熱炒,2018/05/12,3,"""上菜好快！菜還可以～"""
60,馬場台菜熱炒,2018/05/12,4,"""餐點不錯吃，越晚人越多。"""
61,馬場台菜熱炒,2018/05/12,4,"""服務態度很好"""
62,馬場台菜熱炒,2018/05/12,5,""" 好吃，，"""
63,馬場台菜熱炒,2018/05/12,5,""" 吃光光，，"""
64,馬場台菜熱炒,2018/05/12,4,""" 好吃，，"""
65,馬場台菜熱炒,2018/05/12,3,""" 快炒料理口味佳，，"""
66,馬場台菜熱炒,2018/05/12,3,"""菜色還好；設備有些簡陋…"""
67,馬場台菜熱炒,2018/05/12,5,"""這裡的熱炒超讚的 週五晚上還有現場演唱"""
68,馬場台菜熱炒,2018/05/12,3,"""廚房手藝尚可服務就……！！"""
69,馬場台菜熱炒,2018/05/12,3,"""不難吃但口味不太是你想像的味道，，煙味濃重，不吸煙的人多考慮。"""
70,馬場台菜熱炒,2018/05/12,4,"""氣氛佳  菜好吃   還有藝人駐唱"""
71,馬場台菜熱炒,2018/05/12,3,"""還好"""
72,馬場台菜熱炒,2018/05/12,5,""" 便宜好吃午餐，，"""
73,馬場台菜熱炒,2018/05/12,4,"""午餐熱炒99元很划算，飯 湯 冰淇淋吃到飽"""
74,馬場台菜熱炒,2018/05/12,3,"""今天可惜沒表演，菜色多且價格尚可"""
75,馬場台菜熱炒,2018/05/12,2,"""熱炒乏善可陳 每樣菜都只有鹹味 不會用糖去吊味平衡 並不是客人來熱炒店點菜都只是配酒 所以就每道菜都只加鹽 最簡單的蒜炒空心菜 沒用豬油蒜末也沒爆香 ，，本來以為這種熱炒店的熱炒功力都不錯的 沒想到踩雷 想說這種天氣 叫幾盤熱炒配啤酒應該是很舒服的 有點掃興。"""
76,馬場台菜熱炒,2018/05/12,3,"""聚餐好地點"""
