id,name,date,star,text
1,58快炒,2018/05/11,4,"""料理以這個價格來說還不錯，飯內用吃到飽免錢很划算，炸大腸好吃，只是松阪豬不像松阪豬，蝦球也都像圖一樣都在吃麵粉，建議這兩道不要點"""
2,58快炒,2019/05/11,5,"""東西好吃"""
3,58快炒,2019/05/11,5,""" 正台味，好吃又便宜，，"""
4,58快炒,2019/05/11,5,""" 好吃又便宜。，，"""
5,58快炒,2019/06/11,5,"""舊莊還不錯的聚餐選擇"""
6,58快炒,2019/10/11,5,"""價格實惠、口味不錯"""
7,58快炒,2019/10/11,4,""" 沒關係，，"""
8,58快炒,2019/10/11,3,"""上菜速度超。級。慢"""
9,58快炒,2019/10/11,5,"""適合聚餐的好地方"""
10,58快炒,2019/11/11,3,"""不錯吃！"""
11,58快炒,2019/11/11,4,"""老闆親切菜色不錯有空還會陪你呼達啦"""
12,58快炒,2020/02/11,5,"""平價好吃"""
13,58快炒,2020/02/11,5,"""不錯吃"""
14,58快炒,2020/02/11,4,"""菜品略超所值，飯也煮得不錯！，可惜京醬肉絲調味不對、肉絲太碎，雖然好吃，但恐怕與京醬肉絲四字偏差甚大"""
15,58快炒,2020/02/11,5,"""很棒 老版帥老闆娘美"""
16,58快炒,2020/04/11,3,"""食物跟價格兩極，有的菜好吃又便宜很值得，有的菜煮的沒有很好吃價格也略高，空間大客人不會很多很吵，也有戶外座位，老闆老闆娘較親切，一位大陸口音胖胖的男生態度就沒那麼好了，完全沒有服務生該有的禮貌。"""
