id,date,star,text
1,2012/05/13,5,""" 好吃，美味，，"""
2,2013/05/13,3,"""還好"""
3,2013/05/13,4,"""還不錯吃嚐嚐看保證愛上它"""
4,2013/05/13,3,"""好吃到翻掉～建議不要選用餐時間去……，份量有差，太趕"""
5,2013/05/13,4,""" 好吃，，"""
6,2013/05/13,3,"""進去點「牛、飯、湯」就對了"""
7,2015/05/13,3,"""漲價了喔！"""
8,2016/05/13,4,"""炒牛肉配白飯讚"""
9,2016/05/13,3,"""味道變了，可惜"""
10,2016/05/13,5,""" 在地好味道，，"""
11,2016/05/13,4,"""簡單的美食"""
12,2016/05/13,3,"""南部口味，好吃，但份量有點少，味增湯好喝！"""
13,2016/05/13,4,"""中午吃飯的好去處"""
14,2016/05/13,4,"""簡單的餐點！還不錯"""
15,2016/05/13,4,"""超簡單的餐廳，只有炒牛肉、炒羊肉、炒螺肉三種選擇，配白飯很好吃，味噌湯料好實在。"""
16,2016/05/13,4,""" 好吃，上菜速度快。中午人多常需等，，"""
17,2016/05/13,5,"""簡單幾道菜，口味都不錯，上菜也快!"""
18,2016/05/13,4,"""還不錯，味道稍鹹一點"""
19,2016/05/13,4,"""菜單精簡，每樣都不錯，連白飯都好吃!!"""
20,2016/05/13,2,"""肉量少，味道不是很喜歡"""
21,2016/05/13,3,"""越來越貴，東西卻越來越少，也沒特別好吃"""
22,2016/05/13,4,"""好吃!用餐時間人都很多"""
23,2016/05/13,4,"""不是只有牛肉可以吃羊肉也蠻好吃"""
24,2016/05/13,4,"""炒牛肉不錯吃"""
25,2017/05/13,5,"""料多味美，平價實在，真正啵兒棒!!"""
26,2017/05/13,4,"""南港還不錯的炒牛肉店"""
27,2017/05/13,4,"""簡單又好吃，味道蠻特別的"""
28,2017/05/13,4,"""好吃，偶然會來解饞"""
29,2017/05/13,3,"""每次路過聞到香味就想吃!!!那味道真讓人無法抗拒，很吸引人想再訪!(感覺跟泡麵有異曲同工之妙哈～)，可惜吃進嘴肉的質感差，醃料的美味大打折扣。十多年前還有肉片現在都是肉末肉渣，比空心菜還少(改名南港炒空菜?)"""
30,2017/05/13,4,"""超下飯"""
31,2017/05/13,3,""" 不錯，但只是小。再說牛肉或羊肉只有90只，所以它並沒有那麼糟糕。，，"""
32,2017/05/13,4,"""炒羊肉或炒螺肉都還不錯"""
33,2017/05/13,4,""" 好吃~good，，"""
34,2017/05/13,4,"""愛吃肉的人會喜歡，炒羊肉炒羊肉都不錯"""
35,2017/05/13,4,""" 好吃的老味道，，"""
36,2017/05/13,5,"""炒羊肉、炒牛肉和炒螺肉都好吃，，飯也煮的不錯，配上一碗湯剛剛好，，喜歡這樣簡單美味的料理。"""
37,2017/05/13,5,"""炒牛肉，羊肉，螺肉及鮮魚味增湯搭上一碗滿滿的白飯，看似簡單的菜單卻滿足了路人甲乙丙丁，更別提，來過的老饕一來再來，用餐時間會滿是很一般的常態，味道呢？來嚐嚐不會後悔地！辣與不辣間有香氣上的不同，留在舌尖的刺激也是美妙的快樂！還有準時休息是必要的，各味老闆們要看準嘿！"""
38,2017/05/13,5,"""好好吃，很下飯。"""
39,2017/05/13,2,"""味道倒是不錯啦，不管羊肉、牛肉或是螺肉越來越少但是越賣越貴"""
40,2017/05/13,4,"""便宜，下飯好吃"""
41,2017/05/13,4,"""平價好味道!"""
42,2017/05/13,5,"""老店，加點辣更美味，鮮魚肉味噌湯大推。"""
43,2017/05/13,5,""" 好吃，，"""
44,2017/05/13,5,"""好吃的味道，有點辣更下飯，不過牛肉絲有點細啊"""
45,2017/05/13,4,"""其實他的炒羊肉會比牛肉更好吃"""
46,2017/05/13,5,"""肉類有事先用中藥醃過，來南港不吃可惜，晚上7點後常賣光。"""
47,2017/05/13,4,"""老店 夠味"""
48,2017/05/13,3,"""便宜不錯吃,適合3-4人來一起吃!"""
49,2017/05/13,4,"""出乎意料的清爽 不油膩，白飯飽滿 甜美可口，可惜沒有別的小菜 意猶未盡"""
50,2017/05/13,3,"""口味偏鹹"""
51,2017/05/13,4,"""羊肉比較好吃 XD"""
52,2017/05/13,2,""" 量太少，，"""
53,2017/05/13,4,"""不錯吃"""
54,2017/05/13,2,"""曾經常買味噌湯，雖然料多，但曾親眼看過店家忙碌時手四處摸後，直接空手拿熟魚塊入湯，不是很衛生"""
55,2017/05/13,4,""" 好，，"""
56,2017/05/13,3,"""肉似乎越來越少了"""
57,2017/05/13,4,"""不錯吃就是有點貴"""
58,2017/05/13,5,"""好吃又平價，已光顧好多次"""
59,2017/05/13,3,"""不過就是口味很重很閒然後份量很少的炒牛肉？然後白飯還要加錢"""
60,2017/05/13,5,"""讚，好吃"""
61,2017/05/13,5,"""不錯吃，炒的很香"""
62,2017/05/13,3,"""味道不錯，湯裡面的料也很多！但是我吃完我覺得有種味素過敏的感覺。"""
63,2017/05/13,3,"""單調   但生意很好"""
64,2017/05/13,5,"""飯好吃 肉好吃  飯配肉超級好吃!"""
65,2017/05/13,4,"""重口味的好料理！但是以前肉很多，現在份量縮水很多耶"""
66,2017/05/13,2,"""不那麼好吃，牛肉不嫩，不香，湯還可以"""
67,2017/05/13,4,"""這沙茶、空心菜、牛肉，就是一個絕配，絕佳火候讓美味交融一起，配上白飯，超開胃。，簡單的美味，不簡單，搭配一碗味噌湯，WOW~~暖和了，排隊的名店，請你務必要嚐嚐。"""
68,2017/05/13,4,"""牛.羊.螺肉配白飯.魚湯，簡單的美味，現炒且上菜快速。"""
69,2017/05/13,4,""" 口味超棒，，"""
70,2017/05/13,5,"""我喜歡味增湯.料多湯甜又美味"""
71,2017/05/13,4,"""餐點簡單卻又美味，一飯一菜一湯，保證滿足"""
72,2017/05/13,5,"""覺得想吃頓超飽又好吃的飯又不想花太多錢嗎？，，南港炒牛肉，滿足你我的胃口，，真的夭壽好吃"""
73,2017/05/13,3,"""主菜有牛、羊、螺三種選擇；如果兩個人用餐，建議牛羊擇一即可，螺肉應該要試試。，不建議點湯，裡面經常有手指…"""
74,2017/05/13,3,"""沒特別驚豔 但卻是一個安全良好的用餐選擇"""
75,2017/05/13,4,"""推薦羊肉鮮軟好吃沒有腥味，空心菜選擇幼細品質新鮮帶脆，搭配起來讓人一口接一口。"""
76,2017/05/13,5,""" 超好吃，，"""
77,2017/05/13,4,""" 平民美食，，"""
78,2017/05/13,4,"""3樣都很好吃還有湯...讚"""
79,2017/05/13,3,"""口味還不錯。店內僅售炒牛肉、羊肉、螺肉，白飯，味噌鮮魚湯，簡簡單單拿不定主意的人好適合來。"""
80,2018/05/13,3,"""南港在地美食，享有盛名已久，有羊肉牛肉螺肉三種可以挑，都是炒空心菜，香味很濃，重口味，建議加一點辣更好吃"""
81,2018/05/13,5,""" 口味重，好吃，，"""
82,2018/05/13,5,"""真的很好吃，中辣口味滿足饕客"""
83,2018/05/13,1,"""服務態度差，讓人不想犯賤去吃"""
84,2018/05/13,5,""" 經濟，，"""
85,2018/05/13,4,""" 好吃，，"""
86,2018/05/13,5,""" 好吃，，"""
87,2018/05/13,4,"""炒肉還不錯吃！"""
88,2018/05/13,3,"""不算特別好吃，但生意一直不錯"""
89,2018/05/13,5,"""現炒牛肉羊肉超級下飯！"""
90,2018/05/13,5,""" 真的很好吃，，"""
91,2018/05/13,5,""" 非常好吃，，"""
92,2018/05/13,5,""" 老店 ! 好吃 !，，"""
93,2018/05/13,5,"""菜單簡單，口味不簡單"""
94,2018/05/13,4,"""空心菜炒牛，羊，螺肉，搭白飯，簡單好吃的平民美食。"""
95,2018/05/13,5,""" 超好吃! 炒牛肉,炒羊肉和炒牛肉都很好吃!，，"""
96,2018/05/13,4,"""菜單非常簡單。味道有其特殊之處，價格合理，值得推薦。"""
97,2018/05/13,3,"""配白飯不錯吃"""
98,2018/05/13,4,"""炒得很不錯 肉嫩度剛好, 菜也很脆"""
99,2018/05/13,5,"""簡單方便快速 好吃!"""
100,2018/05/13,4,"""稍貴"""
101,2018/05/13,3,"""還可以"""
102,2018/05/13,5,"""棒，動作快，好吃。"""
103,2018/05/13,3,"""夠味"""
104,2018/05/13,4,"""平價又好吃"""
105,2018/05/13,4,""" 吃了30年了，，"""
106,2018/05/13,4,"""加辣夠味"""
107,2018/05/13,4,""" 好吃，，"""
108,2018/05/13,5,"""好吃不貴"""
109,2018/05/13,3,"""可選擇的不多"""
110,2018/05/13,5,""" 好，，"""
111,2018/05/13,5,""" 好吃～，，"""
112,2018/05/13,5,"""口味好，鮮魚湯給的大器，中午人超級多"""
113,2018/05/13,5,""" 好吃啊，，"""
114,2018/05/13,3,"""生意很好 不錯吃 但因為有吃過更好吃的 就覺得還好"""
115,2018/05/13,5,"""好吃，一人一盤剛好。食量大白飯可以兩碗。二樓位子比較多。"""
116,2018/05/13,5,""" 好吃！，，"""
117,2018/05/13,3,"""湯及肉有時是冷的，做好放在那等，飯也太黏"""
118,2018/05/13,5,""" 這家餐廳的菜單小巧，吸引了很多當地人。它以炒牛肉和羊肉聞名。份量不大，但是盤子便宜，所以我會得到多個訂單。請注意，這家餐廳在午餐時段和晚餐時段之前於下午關閉。我是在下午3點來的，發現它已經關閉了，所以我不得不在下午5點回來。，，"""
119,2018/05/13,4,"""炒螺肉配九層塔，偏鹹不辣，非常下飯；炒羊肉配空心菜，辣度未調整相當辣、蓋掉羊肉味道，下次會想調整為小辣，應該更好吃，還是不錯吃的；鮮魚味噌湯，湯頭不錯喝、可惜魚肉偏硬較難以下嚥，相較之下喜歡快炒而不推魚湯，中午用餐人蠻多，室內部分座位吹不太到電風扇，吃辣的會噴汗。"""
120,2018/05/13,4,"""平價，好吃"""
121,2018/05/13,5,"""菜單單調，但好下飯的料理"""
122,2018/05/13,3,"""重口味快炒，味道不錯，但肉都是碎的"""
123,2018/05/13,5,"""開超久，好吃"""
124,2018/05/13,5,""" 非常好吃，，"""
125,2018/05/13,5,"""菜色選擇少，食材新鮮，味道好。"""
126,2018/05/13,4,"""味道獨特"""
127,2018/05/13,5,""" 棒棒棒棒，，"""
128,2018/05/13,5,""" 好吃，，"""
129,2018/05/13,5,"""平價美食"""
130,2018/05/13,1,"""品質越來越差"""
131,2018/05/13,5,"""價廉物美、CP值高、好吃、一試成主顧、空心菜抄、牛、羊、螺肉。美味。"""
132,2018/05/13,5,"""老闆娘很客氣，簡單的美味，好吃"""
133,2018/05/13,5,""" 好吃，，"""
134,2018/05/13,4,"""餐點好吃的無話可說，唯一美中不足就是營業時間太短"""
135,2018/05/13,2,"""鹹且份量少"""
136,2018/05/13,5,"""炒牛肉、炒羊肉跟炒螺肉都很下飯，另外也很喜歡這邊的旗魚味增湯，魚片多又沒刺，白味增湯頭淡淡甜甜的，豆腐也多，偶爾不想吃午飯來喝一碗湯就飽了"""
137,2018/05/13,3,"""飯份量太少～男生搭配一盤炒牛肉吃完還是會餓。"""
138,2018/05/13,5,"""熱鬧"""
139,2018/05/13,5,"""炒牛肉味道超讚！加點小辣更好吃，送餐也快，魚湯肉也很多，算是南港軟體園區附近好吃的餐廳。"""
140,2018/05/13,5,"""超牛肉好吃下飯，味增魚湯也不錯"""
141,2018/05/13,5,"""價錢合理，CP值高"""
142,2018/05/13,5,"""從小姐吃到媽媽，排隊美食"""
143,2018/05/13,5,"""好吃  一餐100打發"""
144,2018/05/13,5,""" 方便快速，好食，，"""
145,2018/05/13,5,"""每次經過就一定會被它的香味所吸引。"""
146,2018/05/13,3,"""一碗白飯10元，蠻好吃。"""
