id,date,star,text
1,2016/05/13,3,"""種類多樣!有鍋 有飯 有麵"""
2,2016/05/13,3,"""食材新鮮 清淡的口味"""
3,2017/05/13,3,"""普通，但可吃飽。"""
4,2017/05/13,3,"""親子蓋飯還不錯"""
5,2017/05/13,4,"""親子丼好吃"""
6,2017/05/13,1,""" 厚切咖哩豬排 沒厚度沒咖哩 讚讚讚買到賺到，，"""
7,2017/05/13,1,"""買飯不附綠豆湯 差評"""
8,2017/05/13,1,"""性價比不高 一份套餐內只有主菜 跟黃瓜 醬料佔一格配菜 在南港太貴"""
9,2017/05/13,1,""" 吃得很心累，，"""
10,2017/05/13,1,"""難吃"""
11,2017/05/13,3,"""還可以，推薦親子丼。"""
12,2017/05/13,3,""" 味道普通，，"""
13,2017/05/13,4,"""推薦打拋飯或雞腿親子丼飯 ，口味不錯 ！，和附近餐廳來比較 ，價位還算可以。"""
14,2017/05/13,3,"""蠻好吃的唷！"""
15,2018/05/13,5,"""來這裡只吃過打拋豬，吃一次就上癮，在南軟每週至少吃一次。"""
16,2018/05/13,3,"""以CP值而言有點小貴，畢竟是上班族省時果腹的食堂"""
17,2018/05/13,4,"""還不錯吃"""
18,2018/05/13,2,""" CP值太低，，"""
19,2018/05/13,4,""" 消化在南港這裡吃午飯的擁擠人群的大餐廳。因此，無需等待太久即可咬一口。但是價格和味道都處於平均水平。，，"""
20,2018/05/13,3,"""一盤蕉麻雞，一碗飯，一碗清湯。100，這在南港正常嗎⋯⋯"""
21,2018/05/13,4,"""早餐的起司蛋餅(不加，鹽跟醬)真心好吃，裡面的餐點，親子井，火鍋，豬排好吃。。"""
22,2018/05/13,4,"""覺得雞肉親子丼 100元，好吃實在，還附上一碗湯。"""
23,2018/05/13,5,"""早餐時段賣的的蛋餅和大陸餅好吃"""
24,2018/05/13,4,"""打拋豬好吃"""
25,2019/05/13,3,"""普通的簡餐店，，都是南港軟體園區的員工去吃，，中午很多人。，價位 100-200，有提供茶水"""
26,2019/05/13,5,"""打拋豬很好吃，最近推出牛肉河粉份量十足，常常來吃"""
27,2019/05/13,4,"""冬天限定的雞湯系列很不錯，配菜算是這一代比較不油膩的。"""
28,2019/05/13,4,"""早餐蛋餅好吃，但熱飲有很重塑膠味道。"""
29,2019/05/13,4,"""冬天的麻油雞套餐很不錯。"""
30,2019/05/13,1,"""軍爺覺得很難吃    老闆娘態度不好"""
31,2019/05/13,3,"""多樣化選擇上餐速度快"""
32,2019/05/13,4,"""除了拉麵…其它還可以點…"""
33,2019/05/13,5,"""上菜迅速，餐點算有特色。"""
34,2019/05/13,3,""" 普通，，"""
35,2019/05/13,4,"""上菜快，東西也還不錯吃，價格適中，服務也不錯"""
36,2019/05/13,4,"""外帶了豚骨拉麵110，麵口感很好，湯頭也夠濃，對得起110，但是肉只有小小三片，整體量偏少，吃不飽"""
37,2019/06/13,1,"""椒麻雞100元 cp值低的"""
38,2019/07/13,4,"""拋肉飯好香"""
39,2019/08/13,4,"""蠻不錯吃的 但要點對自己胃口的"""
40,2019/08/13,4,"""上菜速度快，桌次多味道不錯"""
41,2019/09/13,3,"""吃粗飽的好店，上餐速度快，份量適中。"""
42,2019/09/13,5,"""番茄拉麵120元，湯頭超棒，份量大碗，女生吃會超級飽碗比臉大"""
43,2019/12/13,3,"""椒麻雞很普通而且沒配菜，要價100"""
44,2020/02/13,5,"""價格合理，服務親切"""
45,2020/03/13,5,"""便宜大碗，以後應該會常吃"""
