id,name,date,star,text
1,宗有快炒,2018/05/13,1,"""店內空氣有股強烈的刺鼻消毒藥水味，燴飯類的味道非常詭異，過多太白粉的芡汁，單調的沙茶味混著冰箱冰很久的不新鮮肉片!"""
2,宗有快炒,2018/05/13,4,"""東西好吃!!"""
3,宗有快炒,2018/05/13,4,"""東西挺好吃的"""
4,宗有快炒,2018/05/13,3,""" 有很多人和幾個人在一起吃飯。，，"""
5,宗有快炒,2018/05/13,5,"""他的炒飯很好吃"""
6,宗有快炒,2019/05/13,4,"""老闆人很好"""
7,宗有快炒,2019/05/13,5,""" 美味的食物，，"""
8,宗有快炒,2019/05/13,4,"""吃過豬肉炒飯和燴飯，燴飯的蔬菜比較多，但用了沙茶醬調味，對我而言味道比較重。炒飯有股料酒的香氣而且不油膩，是這一帶賣炒飯的店家裡最清爽好吃的。，，店裡有一鍋免費的熱湯，料很多味道也不錯，但似乎是用了烹大師調味，對我來說稍微鹹了一點。"""
9,宗有快炒,2019/05/13,4,"""餐點好吃~"""
10,宗有快炒,2019/08/13,5,""" 食物真的很好吃！愛他們所有人！，，"""
11,宗有快炒,2019/09/13,5,"""炒飯很好吃"""
