id,name,date,star,text
1,家常熱炒,2017/05/11,5,"""有麵有飯，現炒現做。也有熱炒食物，種類繁多。提供烈酒。"""
2,家常熱炒,2018/05/11,5,"""喜歡這裡的食物"""
3,家常熱炒,2018/05/11,5,"""好吃，喜歡他的炒泡麵，可惜只在非假日提供"""
4,家常熱炒,2018/05/11,1,"""買控肉便當裡的青菜竟然是酸的，第一次吃到以為是意外，幾天後又再度吃到....."""
5,家常熱炒,2019/05/11,5,"""老闆娘親切 菜都現點現做，連便當附的青菜都現炒 超推薦"""
6,家常熱炒,2019/05/11,5,"""炒飯 炒麵份量十足價格實在 以台北市的物價來說cp值很高"""
7,家常熱炒,2019/05/11,5,"""前往南港山縱走吃飯好據點，炒飯優，土雞甜，價格適中"""
8,家常熱炒,2019/05/11,1,"""控肉飯肉，肉石頭一樣 又硬又老 一個滷蛋一個豆干 這樣要買80塊 我是覺得有點貴 如果好吃就算了重點 不好吃 吃幾口就走了 還有一個歐巴桑高高的 口氣很差 服務態度有待加強"""
9,家常熱炒,2019/05/11,5,"""平價又份量多 好吃😋"""
10,家常熱炒,2019/05/11,5,"""每一道菜的份量都滿多的 相對來講就非常划算 菜的口味偏重適合下酒~~~ 唯一的缺點是收餐桌的速度慢了點 讓剛進去的顧客不知道可以坐哪"""
11,家常熱炒,2019/06/11,5,"""味道還不錯喔！"""
12,家常熱炒,2019/07/11,4,""" 可以，，"""
13,家常熱炒,2019/09/11,3,"""好吃平價"""
14,家常熱炒,2019/10/11,3,""" 普普，，"""
15,家常熱炒,2019/10/11,4,"""附近最好的餐廳！"""
16,家常熱炒,2019/11/11,5,"""海鮮與食材新鮮 火候掌握到位"""
17,家常熱炒,2020/02/11,3,"""簡單又有菜色的小吃店，還有外帶便當不錯吃喔"""
18,家常熱炒,2020/02/11,5,""" 很家常的小吃，好吃！，，"""
19,家常熱炒,2020/03/11,5,"""好吃平價親切"""
20,家常熱炒,2020/04/11,5,"""第一次來用餐，口味好"""
21,家常熱炒,2020/04/11,4,"""價格合理"""
22,家常熱炒,2020/04/11,4,"""很好，菜色多，價錢公道。"""
23,家常熱炒,2020/04/13,5,"""超水準巷口美食 宮保蝦仁很特別"""
