id,date,star,text
1,2012/05/09,4,"""上菜速度還算不錯，菜色幾乎沒有地雷，滿適合上班族晚上聚餐喝啤酒~"""
2,2012/05/09,5,"""美味又消費平價"""
3,2013/05/09,5,""" 聚餐的好地方...，，"""
4,2013/05/09,2,"""每到菜都沒到位，魚下巴是精典。"""
5,2013/05/09,3,"""這兩年品質水準有下降的趨勢..."""
6,2013/05/09,3,""" 非常適合一群想要大聲喝酒聊天的人......，，"""
7,2014/05/09,2,"""店員態度差訂位還規定人數全到才能進去用餐"""
8,2014/05/09,4,""" 上菜速度快，，"""
9,2015/05/09,5,"""超級好吃!  上菜速度也超快的~"""
10,2016/05/09,5,"""菜量有點少……"""
11,2016/05/09,3,"""還行，只是份量小"""
12,2016/05/09,4,"""算是北市的熱炒名店，但因空間狹小，所以感覺上比一般熱炒店更熱鬧吵雜。"""
13,2016/05/09,3,"""一般熱炒店的水準。，沒有特別的優缺點，還可以。"""
14,2016/05/09,1,"""沒特色 重鹹重油 詢問店員有無開水洗過鹹的炒螺肉 竟然從他喝過寶特瓶那一區隨便倒給我一罐開過的 服務態度級差"""
15,2016/05/09,3,"""菜色還算可以，口味太重"""
16,2016/05/09,3,"""聚會很好，可以聊天。食物普普通通但是交通方便啊"""
17,2016/05/09,4,"""聚會消夜好地方"""
18,2016/05/09,4,"""很適合喝點啤酒的熱炒店"""
19,2016/05/09,3,"""菜色好吃，服務人員親切，只是煙味太重"""
20,2016/05/09,5,"""慢跑完必吃的平價美味熱炒店 店員服務好很積極幫我們把失物找回來 👍🏻"""
21,2016/05/09,3,"""上菜蠻有效率的，，菜色尚可"""
22,2016/05/09,3,""" 好吃，，"""
23,2017/05/09,4,"""喜歡重口味的朋友可以試試"""
24,2017/05/09,4,"""五分埔出名的熱炒，口味相當到地"""
25,2017/05/09,4,"""氣氛熱鬧"""
26,2017/05/09,4,"""氣氛熱鬧，東西還不錯吃，份量比較小一點點"""
27,2017/05/09,3,"""就是一般熱炒店，但是生意不錯。"""
28,2017/05/09,5,"""好久沒來"""
29,2017/05/09,5,""" 好吃，，"""
30,2017/05/09,3,"""是個非常熱門的海產店，但是他們的價格與份量反差越來越大了(就是越來越不划算了)。"""
31,2017/05/09,4,""" 好吃，，"""
32,2017/05/09,4,"""不錯，店家人也很好"""
33,2017/05/09,3,"""交通方便，價格還算實惠，至於菜色就普普"""
34,2017/05/09,5,"""好吃 便宜 適合朋友聚餐"""
35,2017/05/09,5,"""熱炒滋味好，值得回鍋"""
36,2017/05/09,5,""" 好吃，，"""
37,2017/05/09,4,"""味道不錯，重點是啤酒種類多"""
38,2017/05/09,5,""" 好旺場的一間食肆，夥計們熱情招待，還有特別推介。差不多有位時，他們會給你菜單先點菜，然後就差不多有位，上菜十分快。那天他們推介了白玉貝，似蛤蜊的一種貝類食品，比蛤蜊小，但很鮮甜，汁多，好吃！他們亦推介了深海魚，魚名未知，有人話但似池魚，魚味特別。個人特別喜歡三杯雞，我連薑蔥都食埋。仲有鮮蝦粉絲煲，微辣，蝦肉鮮彈牙，粉絲充滿了蝦的鮮甜味道。飲品，白飯，都要自己拿自己盛。氣氛超熱鬧，愛熱鬧的不要錯過！，，"""
39,2017/05/09,3,"""價格中高  口味尚可"""
40,2017/05/09,4,""" 美味 快捷，，"""
41,2017/05/09,2,"""有點貴，太吵"""
42,2017/05/09,5,"""有歡樂的氣氛"""
43,2017/05/09,4,"""便宜好吃適合聊天"""
44,2017/05/09,4,""" 非常適合與朋友會面，，"""
45,2017/05/09,4,"""常常客滿的熱炒店"""
46,2017/05/09,2,"""便宜台菜適合聚會，但有一次吃完回家拉肚子就再也不去了"""
47,2017/05/09,3,"""個人喜好，我覺得東西不怎麼好吃."""
48,2017/05/09,3,""" 便宜，，"""
49,2017/05/09,3,"""不錯吃，常常客滿。"""
50,2017/05/09,3,"""是一個朋友聚會的好地方   旁邊就是捷運站  消費價格普通   """
51,2017/05/09,4,"""平價熱炒"""
52,2017/05/09,4,"""不錯，好吃，價格合理"""
53,2017/05/09,3,"""菜色普通，CP值稍嫌低了一點，但是交通方便"""
54,2017/05/09,3,""" 交通方便，，"""
55,2017/05/09,3,"""適合人多的聚會，餐點一般"""
56,2017/05/09,3,"""1.)離捷運後山埤站走路緊2分翁, 過馬路就到了, 這是它的優勢: 你不用開車!，2.)各種台式下酒菜,  炸類居多, ，3.)因此適合搭配你的罐裝啤酒，4.)有多位酒促妹在場, 滿足您選購需求!，5.)適合同事下班聊八卦, 老闆請員工吃飯, 談生意小酌等，6.)現場氣氛熱鬧, 要詳療事情恐怕還是不合適!"""
57,2017/05/09,3,""" 菜色普通，位置小，，"""
58,2017/05/09,3,"""酒促妹很親切  氣氛熱絡  平實的價格"""
59,2017/05/09,4,""" 菜色多也好吃,上菜速度快，，"""
60,2017/05/09,4,""" 與朋友聚會的好地方。，，"""
61,2017/05/09,5,"""菜色有多樣化的選擇，老闆娘服務非常親切，五分埔一帶的熱炒店首選；因此已造訪無數次了"""
62,2017/05/09,3,"""價錢合理 地點方便"""
63,2017/05/09,5,"""上菜速度快 菜色口味也幾乎都不錯"""
64,2017/05/09,2,""" 有些菜色不是很好吃，，"""
65,2017/05/09,1,"""店裡面一堆客人在抽煙，店家不管"""
66,2017/05/09,2,"""每道菜色都偏鹹"""
67,2017/05/09,5,""" 便宜好吃，，"""
68,2017/05/09,5,"""很熱鬧的熱炒店，非常適合上班族下班來吃吃喝喝。"""
69,2017/05/09,4,"""好吃但貴且量少"""
70,2017/05/09,3,"""還行"""
71,2017/05/09,5,"""便宜又新鮮"""
72,2017/05/09,3,"""適合聚會 上菜速度快  味道普普"""
73,2017/05/09,4,"""好吃便宜的快炒店，適合三五好友一起聚餐、聊天、小酌…"""
74,2017/05/09,4,"""地點很方便，東西也不錯很適合配酒"""
75,2017/05/09,4,"""餐點價位平實"""
76,2017/05/09,2,"""菜色品質比較參差不齊，鹹蜆仔太不新鮮了，腥味重，常吃海鮮的人都不一定敢吃，炸龍珠跟三杯中卷不錯，雞湯的雞肉有點小塊，那天點了炸豆腐跟鐵板豆腐，店家說有特殊處理過，但我們一群人只覺得是我們無法接受的酸味"""
77,2018/05/09,4,"""聚會的好地方"""
78,2018/05/09,4,"""分量不多口味還可以 適合喝酒熱鬧一下"""
79,2018/05/09,4,""" 好吃，，"""
80,2018/05/09,1,"""超爛用餐環境（4個人小桌就算了，還給你擺在跟別桌擠在一起）"""
81,2018/05/09,1,"""等超久，常常上錯菜，而且環境感覺很髒"""
82,2018/05/09,5,""" 上菜速度快，也很好吃，，"""
83,2018/05/09,2,"""台式現炒，但量偏少且油，座位被排在太外面就會吸到二手煙"""
84,2018/05/09,4,"""好吃的熱炒店"""
85,2018/05/09,4,"""價格親民，美味可口~"""
86,2018/05/09,3,""" 普通，，"""
87,2018/05/09,5,"""東西好吃"""
88,2018/05/09,4,"""不錯吃"""
89,2018/05/09,3,""" 有很多當地人。未經許可，將飲料從冰箱中取出，最後收集起來解決。到目前為止，它可能不是一個受歡迎的商店，但是從日本的感覺來說，它既便宜又美味。這家商店很吵。，，"""
90,2018/05/09,3,""" 生意很好，菜色口感普通，，"""
91,2018/05/09,4,"""聚會閒聊還不錯的店，不過人多的時候會比較吵 (熱炒店的特性)"""
92,2018/05/09,3,""" 好吃、人多，，"""
93,2018/05/09,5,""" 就，很多人呵呵呵呵，，"""
94,2018/05/09,3,"""食物普通，喝酒聊天可以，環境就是比較吵些，去了幾次，有稍微退步，因為食材成本漲了嗎？"""
95,2018/05/09,5,"""交通方便。店員熱情菜好吃"""
96,2018/05/09,5,"""有18天，有足夠的座位，這樣就夠了！"""
97,2018/05/09,4,"""不要點五更腸旺"""
98,2018/05/09,4,"""CP值高，在台北算不錯。"""
99,2018/05/09,3,""" 普普通通，，"""
100,2018/05/09,5,"""好吃、實惠，國外朋友贊不絕口"""
101,2018/05/09,5,"""和一般的熱炒店比，口味不會太重且份量較多，很適合朋友聚會及家庭聚餐"""
102,2018/05/09,4,"""捷運站出口旁，非常方便，口味普普"""
103,2018/05/09,5,"""氣氛好適合聚餐"""
104,2018/05/09,5,""" 好吃，，"""
105,2018/05/09,5,"""好吃，近捷運交通方便"""
