id,date,star,text
1,2017/05/13,1,"""男老闆炒什麼你就點甚麼，別點跟他正在炒的東西不一樣，不然很容易造成彼此的用餐不愉快，而且你點的他未必想炒。非常需要有耐心久候。炒麵、燴飯是另一個女的炒，會比較快也會照你想吃得去炒。湯便宜好喝。"""
2,2017/05/13,3,"""炒飯超香,有點油，要等很久，最好跟其他客人點一樣口味的會比較快!或炒麵比較快"""
3,2018/05/13,3,"""炒飯，炒麵味道算不差，比起以兩年前進步很多，晚上六點之後客人變多，這家店缺點是炒的速度不快。"""
4,2018/05/13,5,""" 好吃，，"""
5,2018/05/13,2,"""動作超慢就算了，記憶力不好也不寫單，每次都忘客人點的東西，狂漏單，給餐的順序亂七八糟，後到的先給。麵類還算好吃，不過黑胡椒加超多很辣。炒飯不要點，老闆一次同時炒太多份都炒糊了"""
6,2018/05/13,1,"""動作慢，炒飯又難吃！更糟糕的是拿到的跟你點的經常不一樣"""
7,2018/05/13,3,""" 普通，，"""
8,2018/05/13,1,"""男老闆很有個性，但開店做生意不能菜單上有，點了又不想炒。問他什麼東西比較快炒，他還回嗆我不知道，有點扯…"""
9,2018/05/13,1,"""男老闆動作超慢，且態度差。若和女生點炒麵會快些，且也不錯吃。"""
10,2018/05/13,5,"""大推""羊肉燴飯""...不過人太多...我等了半小時"""
11,2019/05/13,3,"""推綜合湯 其他普通"""
12,2019/05/13,2,"""以前很喜歡吃這間， 但人變多買之後老闆就做效率而已，一次炒6-7份同樣的。，如果你只是要隨便吃，跟大家點一樣的很快，如果一點特殊的東西你可能等很久甚至漏單不做你的。 年初讓我等快一小而且還把我那份做錯還賣給別人"""
13,2019/05/13,4,"""食物算好吃，調味比較重"""
14,2019/05/13,2,"""我沒點湯莫名其妙送一碗湯,我以為是送的,喝完結果是要錢,傻眼"""
15,2019/05/13,1,"""只能點老闆想炒的，明明說不要的東西，他會偷塞在炒飯裡面，，，點培根炒飯，裡面被偷塞肉絲，我看是想省成本吧，，極度不推，不會再來"""
16,2019/05/13,4,"""炒飯現炒好吃但用餐時客人太多需要等候，他的湯每日限定都不一樣，每日湯品都有一定的水準"""
17,2019/05/13,1,"""炒麵、炒烏龍炒出來都一堆黑黑的鍋垢～吃到一半聞到煙味想說趕快吃完離開～結果竟然是兩位廚師邊炒邊抽煙！太不專業了！永遠不會再光顧！"""
18,2019/05/13,3,"""生意好的時候要等很久，口味還可以。"""
19,2019/05/13,5,"""好好吃的炒飯推薦"""
20,2019/05/13,4,""" 我並不覺得老闆態度差，炒飯炒麵各具特色，滿滿一大盤才85，加上每日不同好喝的例湯，出外人的好選擇啊！ ！，，"""
21,2019/05/13,1,"""老闆態度很差，沒有待客之道，可能是生意太好吧，說不覺得態度差的，等你被嗆就知道了XD我本來也是常客XDD"""
22,2019/05/13,2,"""等了40分鐘 很多比我慢的人都已經拿到了 😭應該是慢炒店"""
23,2019/05/13,3,"""很貴 但蠻好吃"""
24,2019/06/13,5,""" 好吃，，"""
25,2019/09/13,4,"""生意很好，老闆抽煙也不會在店裡抽，讓我感到欣慰，當初沒看評價就來了，害怕煙味，動作很快，相信客人都感受到了，羊肉燴飯好吃，可惜油煙會往店裡面飛，希望可以改善"""
26,2019/09/13,4,"""炒飯真的好吃雖然有點稍油，生意超好，要等要有耐心"""
27,2019/10/13,3,"""不錯吃，不過用餐環境悶熱"""
28,2019/10/13,3,"""賣相不錯，可惜味精多了點，生意很好"""
29,2019/11/13,5,"""假日只提供炒飯跟綜合湯"""
30,2020/01/13,4,"""多年以前常吃，老闆很有個性。如果不想等太久，可以直接問老闆現在訂單最多的是哪一道。炒飯如果是四五個同時炒，通常會比較油。湯的部分只點過大鍋湯，通常也很美味。燴飯或其他湯品部分，大部分是老闆娘烹煮。至於味道見人見智，如果以炒飯口感，過力行橋後棚下的炒飯A與過全家後某店面的炒飯B相比，飯粒口感硬度B>快炒>A。炒飯炒得太軟濕潤其實不好吃，太油則是吃到最後會很膩。"""
31,2020/02/13,4,"""什錦炒麵好吃"""
32,2020/02/13,1,"""味道一般，態度像斷條腿。"""
33,2020/03/13,4,"""整體最喜歡和他們的湯，湯非常的清甜好喝，炒飯很香但口感偏軟，炒烏龍麵條偏軟但味道很棒，炒飯和湯對女生來說都算偏大的份量，，算平常路過不知道要吃什麼的好選擇"""
