id,name,date,star,text
1,桂花香 快炒屋,2017/05/14,4,"""這家的炒飯功夫不錯。，多餘的油都有燒掉，如果來到這附近活動，這家的炒飯應該不會讓你踩到地雷。，價位上還過得去，大概就是台北市便當價格60以上。"""
2,桂花香 快炒屋,2017/05/14,5,"""餛飩麵好吃"""
3,桂花香 快炒屋,2017/05/14,5,"""炒飯好吃！ 還有想不到樸實的蛋花湯也超級好喝！"""
4,桂花香 快炒屋,2017/05/14,4,"""炒飯、便當都還不錯，阿姨服務也很親切。"""
5,桂花香 快炒屋,2017/05/14,5,"""老闆娘親切，餐點便宜好吃"""
6,桂花香 快炒屋,2017/05/14,5,""" 哈哈哈！想不到有這樣的評價。謝謝你們啦!，，"""
7,桂花香 快炒屋,2017/05/14,4,"""好吃，是附近的上班族及居民的好夥伴，推薦炒飯類食物"""
8,桂花香 快炒屋,2017/05/14,4,"""蛋炒飯便宜又好吃"""
9,桂花香 快炒屋,2017/05/14,5,""" 好好吃，，"""
10,桂花香 快炒屋,2017/05/14,4,"""價格很實惠"""
11,桂花香 快炒屋,2017/05/14,3,"""經濟實惠，快速解決一餐。"""
12,桂花香 快炒屋,2017/05/14,4,"""老闆娘超熱情，食物平價且CP值高"""
13,桂花香 快炒屋,2017/05/14,5,""" 好吃，，"""
14,桂花香 快炒屋,2018/05/14,4,"""飯量多，價格不算太高"""
15,桂花香 快炒屋,2018/05/14,4,"""老闆娘很熱情 , 各式炒飯加上異國風味辣椒醬十分美味喔"""
16,桂花香 快炒屋,2018/05/14,3,""" 便宜好吃。，，"""
17,桂花香 快炒屋,2018/05/14,3,"""飯的味道不喜歡 , 羊肉炒飯騷味太重 , 飯麵炒飯都吃過但味道普普 , 價位不貴要吃飽很簡單 , 太陽蛋不錯 , 老闆娘相當熱情"""
18,桂花香 快炒屋,2018/05/14,3,""" 好，，"""
19,桂花香 快炒屋,2018/05/14,4,"""老闆娘親切熱情，炒飯還不錯 cp值高！"""
20,桂花香 快炒屋,2018/05/14,4,""" 好吃便宜，，"""
