id,date,star,text
1,2019/05/10,5,"""菜都蠻好吃的，而且老闆娘蠻熱情招呼的，場地也不會太狹窄，下次有機會應該會再來嘗試別的菜色"""
2,2019/05/10,5,"""東西好吃 場地寬敞 有兒童餐椅 上菜速度可加快 老闆娘很親切"""
3,2019/05/10,5,"""菜好吃又便宜！店員漂亮又親切！"""
4,2019/05/10,5,"""好地方, 偶然路過試試, 口味好, 環境佳. 下次還會來."""
5,2019/05/10,3,"""門口沒有設立菜單讓人不知道裡面賣些什麼，入口要再進去轉彎才看的到餐廳內部，買過一次外帶並不會想再次嚐試。"""
6,2019/05/10,5,"""老闆非常親切，菜色多樣又好吃，價格實在，重點是非常乾淨!!!!，推薦"""
7,2019/05/10,5,"""服務態度良好，空間寬敞不侷促，也有室外區"""
8,2019/05/10,5,"""老闆娘服務態度親切，菜點好吃便宜，服務員超正推推推"""
9,2019/05/10,4,"""價格實在。服務熱情。食材鮮美"""
10,2019/05/10,4,"""新鮮，很多菜色的料理功夫了得。"""
11,2019/05/10,5,"""非常好吃，價錢合理，Cp值高"""
12,2019/05/10,3,"""空間舒適，好吃，但量還好，服務不錯。"""
13,2019/05/10,5,"""東西好吃又新鮮，超喜歡老闆娘已經來了好幾次💕CP值超高的熱炒店，推薦的花鯧魚跟大蝦超好吃大推👍🏻燒烤類都超新鮮的！"""
14,2019/05/10,4,"""還不錯吃啦～"""
15,2019/05/10,4,"""座位寬敞，食物可口，高貴不貴。"""
16,2019/05/10,4,"""新鮮好吃 價錢合理 老闆很親切"""
17,2019/05/10,4,"""東西好吃,略顯小盤一點"""
18,2019/05/10,5,"""附近最好吃的熱炒店，份量也比其他熱炒店多一些，店裡環境也不錯，很乾淨。店員很親切，服務很好。(店員妹妹長滿漂亮的^_^)"""
19,2019/05/10,5,"""食物美味，地點方便"""
20,2019/05/10,5,"""好吃 老闆娘很客氣！ 而且味道很好！ 服務很熱心！"""
21,2019/05/10,5,"""蟹黃豆腐必點 超級下飯"""
22,2019/05/10,5,"""宵夜聚會好所在"""
23,2019/05/10,5,"""數息"""
24,2019/05/10,4,"""菜色多，味道不錯，老板娘很熱情。想小酌兩杯的好地方"""
25,2019/05/10,5,"""價格非常實在,不油,不鹹, 雖然是熱炒店, 味道跟環境卻是餐廳的水準!"""
26,2019/05/10,3,"""還好……一道菜三人份量有特殊的拿手菜要問老闆"""
27,2019/05/10,4,"""員工親切 美麗，唯一的缺點是老闆太大方了"""
28,2019/05/10,4,"""熱炒店，食物很好吃，適合聚餐的地方。"""
29,2019/05/10,5,"""好吃的熱炒不會油"""
30,2019/05/10,5,"""各方面都不錯，缺點是燈光很暗"""
31,2019/05/10,5,""" 好吃，，"""
32,2019/05/10,4,"""菜色多，味道好，招待有禮，聞香下馬，不虛此行。"""
33,2019/05/10,4,"""優點：，1.價錢公道。，2.坐位寬敞舒適。（高桌，椅），3.捷運方便，後山埤下，往永吉路50公尺。，4.安靜，不喧嘩。，缺點：，1.開車，停車不便。，2.有點鹹，可要求淡點。"""
34,2019/05/10,5,"""第一次來吃，太好了！每道菜都可吃到師傅的用心，鳳梨蝦球太美味好吃、龍珠酥脆、炒飯好吃、金沙玉米筍好香、蔥爆牛ㄋㄜˋ、服務也很好哦！很讚！一定會再來"""
35,2019/05/10,4,"""菜味道中上，服務親切"""
36,2019/05/10,3,"""新開的，不錯吃"""
37,2019/05/10,5,"""聚餐的老點了~"""
38,2019/05/10,5,"""好吃，比較不會太油，重點是服務人員態度很讚唷"""
39,2019/05/10,5,"""剝皮辣椒雞湯好喝濃郁！！，無骨雞腿排鮮嫩多汁！！，金沙豆腐軟嫩好吃 鹹蛋炒的恰到好處 ！！，蛤仔粒粒飽滿！！，鳳梨蝦球的蝦子是一整隻！！，重點服務人員親切熱心又漂亮❤️"""
40,2019/05/10,5,"""沒遇過這麼好吃的熱炒店"""
41,2019/05/10,4,"""環境乾淨，味道佳"""
42,2019/05/10,5,"""食物很好吃，店員親切又熱情，位子也寬敞，值得再來的一家店喔～"""
43,2019/05/10,5,"""點了8道菜完全選不出最好吃的，每一道都太讚了！料多實在又便宜，真的是必須收在口袋名單"""
44,2019/05/10,5,"""環境乾淨寬敞舒適 服務態度良好"""
45,2019/06/10,5,"""服務親切，食物好吃，雖然價錢比其他熱炒店稍微高一點，但是吃過的熱炒店裡no1"""
46,2019/06/10,4,"""味道好，價格低廉"""
47,2019/06/10,4,"""好吃 菜色豐富 單價便宜 老闆娘服務親切"""
48,2019/06/10,5,"""今天初次造訪，因為帶兒子去諾貝爾眼科檢查。無意間發現這家店，店家很親切！，老闆娘跟女兒都很漂亮，乍看之下像姐妹。，，熱炒非常好吃！，我點了八道菜都沒有任何地雷！，，我認為這裡是南港區最棒的一家快炒店！"""
49,2019/06/10,5,"""平價美味，座位寬敞"""
50,2019/06/10,5,"""便宜好吃 五道菜+一瓶18天 700出頭  場地大 唯一不便是白飯要請工作人員裝"""
51,2019/06/10,5,"""雖然價格比起一般熱炒店還貴，但真的好吃，脆皮肥腸乾爽不肥膩，配上生洋蔥很好吃，川燙花枝也很新鮮Q彈，雖然一盤200但是物有所值，而且服務也很好人都很親切，推薦的好店！"""
52,2019/06/10,5,"""餐點很好又便宜"""
53,2019/06/10,3,""" 便宜好吃，，"""
54,2019/06/10,2,"""東西普遍太鹹，不是說不可以有下飯的料理，可是當每一道菜都鹹，而且鹹到蓋過其他風味的時候，那就更難以入口。偏偏此家熱炒店，白飯與各類飲料，包含水都需要另外購買，價格也都不是相當實惠。最後，份量也不算大，總之我認為不太像熱炒，若要賣這個份量這個大小這個價格，就必須讓每道菜更精緻一點。"""
55,2019/07/10,5,"""東西好吃，服務好，要記得訂位，我們入席後很快就客滿囉"""
56,2019/07/10,5,"""沒有一般熱炒店過油過鹹的通病，蛤蜊又大又新鮮，鹹酥蝦也好好吃"""
57,2019/07/10,5,"""服務好，好吃，真心推薦，記得提早打電話預定位置，容易滿"""
58,2019/07/10,5,"""老闆娘熱情，女兒很有禮貌，東西也好吃，只是有時候稍微鹹了點。（建議豬肝切小片一點，好大片感覺好恐怖像在吃牛舌，怕怕的感覺😂），但整體真的很不錯，已經去了3.4次了"""
59,2019/07/10,4,"""每一樣菜都很下飯，味道不錯，品質穩定！，而且還有兒童座椅唷！，缺點就是生意太好了，還要先訂位才保險😂"""
60,2019/07/10,4,"""跟好朋友、好同事一起吃飯、小酌一下，感覺很好，十分滿意。"""
61,2019/07/10,4,"""上菜快速，好吃！店員親切！"""
62,2019/07/10,5,"""與一般熱炒比較，菜色比較好，味道也棒，沒有一些墊底的東西，滿滿的美味菜點。老闆娘熱忱服務，物美價廉，值得推薦。"""
63,2019/07/10,4,"""場地寬敞、明亮、店家親切，唯桌位不多。"""
64,2019/07/10,4,""" 口味不同，，"""
65,2019/07/10,5,"""脆腸很好吃，價錢也不貴~，昨天吃得很開心~~"""
66,2019/07/10,3,""" 好，，"""
67,2019/07/10,4,"""東西都還不錯吃，口味也不會太鹹，坐位有分裡面外面，不過室內冷氣兩台都裝在同個地方，導致冷氣下面的位子有點太熱，吃完都滿頭大汗的有點狼狽，不過地理位置相當好，就在捷運出口的對面。"""
68,2019/08/10,5,"""空間寬敞，不吵雜"""
69,2019/08/10,5,"""令人滿意的料理 不錯吃"""
70,2019/08/10,5,"""海鮮新鮮"""
71,2019/08/10,5,"""好吃，服務好，老闆人客氣，老闆女兒漂亮"""
72,2019/08/10,5,"""服務態度好，料理十分美味，但可能要先打電話預約"""
73,2019/08/10,5,"""住後山埤這麼久竟然不知道這邊有一間這麼好吃的熱炒店...每道菜都好吃...在熱炒店我必點炒豬血糕...但每次吃完都是...嗯..喔..好..豬血糕...😥😥😥😥😥...但轉角的炒豬血糕...哇....太驚豔了...開心...😄😄😄😄😄還有雞軟骨...沒吃過這麼佛心的雞軟骨...軟骨週圍還帶有嫩雞肉...價格真超實惠...雖然每道菜比百元熱炒都多20-50元...但份量應該有百元熱炒的兩倍...服務也是一級棒的...老闆娘跟女兒兩位美女總是笑臉迎人...且又 …"""
74,2019/08/10,5,"""老闆娘熱情招待，中等價位，食物蠻好吃，走過可嘗試看看...."""
75,2019/08/10,4,"""寬敞     親切     菜也好吃"""
76,2019/09/10,5,"""東西好吃"""
77,2019/09/10,5,"""交通很方便，靠近後山埤捷運站1號出口，店家門外還有機車停車格，超方便，口味適中，注意飲酒不開車不騎車唷。"""
78,2019/09/10,3,""" 我認為......好吧......但是一切都太鹹了。，我甚至不知道我有什麼.....，但也許對於那些喜歡這種餐館的人來說可能對他們沒問題。，，"""
79,2019/09/10,5,"""菜色豐富，美味可口，交通方便，空間寬敞，是聊天小酌的好地方…"""
80,2019/09/10,5,"""松山區難得的好店，很挑如我，我希望這家店可以一直有這樣的品質跟水準，不會因為生意的起伏而有所變質，我真的很挑不信去看我評論，希望這間店不斷進步維持初衷。"""
81,2019/09/10,5,"""好吃喔，經濟實惠"""
82,2019/09/10,5,"""好吃，空間夠寬"""
83,2019/09/10,4,"""菜色不錯 不過座位大小跟安排有待加強"""
84,2019/09/10,5,"""環境優雅乾淨的熱炒店 當然店內不能吸菸 四季豆爆炒的好吃"""
85,2019/09/10,4,"""服務親切,平價消費..."""
86,2019/10/10,5,"""東西好吃分量也夠，服務親切價格實在，而且老闆娘和女兒都是美女喔。不過建議炒菜的油可以稍微減量，這樣就更完美了"""
87,2019/10/10,4,"""還不錯~"""
88,2019/10/10,5,"""老闆娘一家人超好，還有獨特菜色，超好吃，氣氛又歡樂，隨時注意我們的需求，服務超讚👍"""
89,2019/10/10,2,"""普普通通啦, 不同於一般的熱炒店是 白飯要另外收費"""
90,2019/10/10,5,"""老闆娘一家人很親切，尤其是女兒小的那個，為人實在👍"""
91,2019/10/10,5,"""老闆親切，熱炒也很棒，已經吃很多次了"""
92,2019/10/10,3,""" 普通，，"""
93,2019/10/10,3,"""就是一般熱炒店"""
94,2019/10/10,5,"""服務態度佳，食物好吃😋"""
95,2019/10/10,5,"""經過二次都沒預定一位難求，第三次運氣好終於吃到，食材料理的都不錯吃，應該算這周遭最優的一間，路邊有停車格(容易滿)但還是座捷運比較方便，值得一次嚐喔。"""
96,2019/10/10,5,"""好吃，肚子餓的時候，來一盤很止餓並且感覺很美味"""
97,2019/11/10,5,"""與老同事小酌，環境好整潔乾淨，老闆娘的確是大家所稱道的親切，櫃檯據說是老闆娘女兒一樣親切美麗，下次還會再來！"""
98,2019/11/10,4,""" 好吃，，"""
99,2019/11/10,4,"""熱炒店裡面算很有誠意，不會每道菜調味都一樣，而且份量也蠻多的，價格也很合理。"""
100,2019/11/10,5,"""環境乾淨空間也寬敞，菜色份量不算多但屬於精緻。"""
101,2019/11/10,5,"""用餐環境乾淨，餐好吃，食材新鮮，老闆親切，老闆女兒漂漂"""
102,2019/11/10,4,"""就是熱炒店"""
103,2019/11/10,4,"""好吃，傳統中帶有創意的台式熱炒，好吃，就是偏鹹了點，很下飯"""
104,2019/11/10,4,""" 菜好吃，，"""
105,2019/11/10,5,"""超親切的服務，客人絡繹不絕，事先訂位較為妥當！"""
106,2019/11/10,4,"""菜色是150-250左右價位，份量算足，口味好吃。重點是不同菜色不同調味，不會像有些店一堆菜都沙茶味，不然就是一堆菜都勾芡。，當日叫了12道菜吧！11道好吃。只有一道菜不能說好吃，蚵仔酥粉裹太厚了些，吃不到蚵仔味。，2瓶啤酒加2瓶飲料總共2000出頭一點點。，推薦!朋友小聚，經濟實惠"""
107,2019/12/10,4,"""聚餐好地點"""
108,2019/12/10,5,"""在台北有cp值那麼高的熱炒店真難得，每道菜都好吃。"""
109,2019/12/10,4,"""有別餘一般熱炒店~，較乾淨"""
110,2019/12/10,5,"""室內環境舒適，上菜速度偏慢，但是好吃便宜"""
111,2019/12/10,5,"""每道菜都很好吃！老闆娘也很親切，很優質的一家店~"""
112,2019/12/10,5,""" 好吃😋，，"""
113,2019/12/10,4,""" 快炒下酒菜，，"""
114,2019/12/10,5,"""東西好吃 可以改進的地方就是稍微油了些些，除了這點，味道都很棒 ，服務很親切，推薦值得來的熱炒店👍🏼"""
115,2019/12/10,4,"""這家熱炒店有別於一般的熱炒，每份菜餚都有用心料理。，店家上菜速度很快，而且有分室內與室外場區。客人也有遵守室內部禁菸的規定。重點是老闆娘和她的女兒服務都很親切又隨和。，是一家會讓人再去品嘗的店家~"""
116,2019/12/10,5,"""菜好吃，冬天點一鍋雞湯配啤酒很讚！"""
117,2020/01/10,5,"""出乎意料的舒適熱炒店，又很划算，菜很好吃，蛤仔湯非常新鮮煮的很好，空間很寬敞，位子跟餐桌都很舒服，很推，附近交通也方便，有停車場也剛好在捷運口（4號）對面，很推金沙豆腐、蛤仔湯、醬燒茄子、鹽酥蝦，後山埤的好店！"""
118,2020/01/10,5,"""口味都不錯，菜色調味都很適宜不是隨便做做，份量也都很足，價錢也很合理，CP值超高。。。，，就是燈光太昏暗了，然後蚊子可能因為隔壁是賣花的，蚊子有點多，如果外面桌次在抽煙可以把門真正關起來好好了，坐裡面偏外側都一直聞到煙味。"""
119,2020/01/10,5,"""服務態度很好，菜色不死鹹也不會爛爛的，很推喔👍👍👍"""
120,2020/01/10,5,"""味道適中"""
121,2020/01/10,3,"""老闆娘和櫃檯人員很親切！"""
122,2020/01/10,5,""" 菜好吃~，，"""
123,2020/01/10,3,"""離捷運站出口近，東西還不錯。"""
