id,name,date,star,text
1,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""甜點略甜，出餐速度很快，總體餐點不錯"""
2,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""環境優 氣氛佳"""
3,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,5,"""服務人員會因應顧客的需求，有沙發區以及餐桌區可以選擇，吃完飯還可以到隔壁花園拍照，好不愜意。"""
4,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,3,"""吃氣氛 食物一般"""
5,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,3,"""場地寬敞舒適，也有戶外庭園。"""
6,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""舒服放鬆的地方，適合和朋友一起來喝下午茶"""
7,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""情人節約會"""
8,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""美式的餐點，口味都還不錯～價格中等偏高一點點。，環境舒適寬敞，音樂選得不錯。，適合家庭或多人聚餐～"""
9,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,3,"""還算可以"""
10,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,3,"""用餐環境大，舒服美式感覺"""
11,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""很有渡假設計風格的地方，餐點價格貴了點。，還是一個適合全家享受假日悠閒的好去處。"""
12,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,5,"""週末假日爬完陽明山後，很好的休憩空間，不過有用餐時間限制"""
13,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""餐點及環境無可挑剔，只是平日19：00結束點餐，20：00打烊，似閒太早無法從容用餐"""
14,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,5,"""餐點ok,服務人員態度良好，環境舒適，令人放鬆舒服的地方"""
15,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,5,"""很棒的環境美味的餐點"""
16,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,5,"""用餐空間很舒適，外面很好拍照"""
17,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,2,""" 套餐份量太少，，"""
18,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,3,"""寬敞明亮"""
19,BRICK YARD 33 1[斜槓]3美軍俱樂部,2019/05/18,4,"""整體設計餐廳氣氛不錯，適合三五好友聚會聊天。餐點尚稱OK，服務也上軌道。"""
