id,name,date,star,text
1,全成土雞城,2015/05/18,4,"""沒來過著……一吃中標……土雞肉，太棒了……"""
2,全成土雞城,2016/05/18,5,""" 好吃，，"""
3,全成土雞城,2016/05/18,5,"""材料新鮮天然又美味"""
4,全成土雞城,2016/05/18,4,"""好吃，舒適的環境，聚餐的好地方。"""
5,全成土雞城,2016/05/18,5,"""東西好吃，家庭聚餐的不錯選擇，但要先預"""
6,全成土雞城,2017/05/18,5,""" 好吃!，，"""
7,全成土雞城,2017/05/18,4,"""炒麵好吃，香氣帶著一股統一肉燥麵的味"""
8,全成土雞城,2017/05/18,4,"""土雞好吃，烤肉也不錯，整體料理口味佳。但是上菜速度很慢，上完一道等好久等不到下一道，另外衛生水準可以再加強。不過服務態度很好，親切。"""
9,全成土雞城,2017/05/18,5,"""讚！"""
10,全成土雞城,2017/05/18,5,""" 奇妙的雞肉，，"""
11,全成土雞城,2017/05/18,4,"""土雞好吃"""
12,全成土雞城,2017/05/18,4,"""招牌白斬雞首推，各式野菜料理也都簡單滋味優，風景宜人，附近有水圳步道，可健康體會"""
13,全成土雞城,2017/05/18,3,"""白斬雞不錯半隻400，青菜稍貴100-150，鱒魚450,芥菜雞450,適合家庭組合踏青聚餐。"""
14,全成土雞城,2017/05/18,2,"""門口的景色比食物吸引人…"""
15,全成土雞城,2017/05/18,4,""" 好吃，，"""
16,全成土雞城,2017/05/18,4,"""白斬雞必點"""
17,全成土雞城,2017/05/18,5,"""好吃，不貴。Cp值很高"""
18,全成土雞城,2017/05/18,5,"""土雞好吃啊！"""
19,全成土雞城,2017/05/18,5,"""遠離塵囂,天冷的時候,來鍋熱熱的雞湯吧! 消費滿4000元,KTV唱到飽"""
20,全成土雞城,2017/05/18,4,"""料理不錯吃"""
21,全成土雞城,2017/05/18,5,"""食物好吃老闆娘又親切，好像回到鄉下阿嬤家的廚房"""
22,全成土雞城,2017/05/18,4,"""山產新鮮 鱘龍魚非常好吃"""
23,全成土雞城,2018/05/18,4,"""風景怡人，菜色好吃。"""
24,全成土雞城,2018/05/18,5,"""料理好吃平價風景漂亮 聚餐的好場所"""
25,全成土雞城,2018/05/18,4,""" 超值美味!，，"""
26,全成土雞城,2018/05/18,5,"""每道菜都好吃, 也不會有味精導致口乾的情形, 老闆老闆娘態度很親切."""
27,全成土雞城,2018/05/18,3,"""招牌白斬雞有時好吃、有時很材難以咀嚼，運氣運氣。"""
28,全成土雞城,2018/05/18,4,"""包廂可以唱歌"""
29,全成土雞城,2018/05/18,5,"""老闆ㄧ家人真的讓人感動。在這裏昨晚我吃了一碗超溫馨好吃的麵。陽明山大縱走後腳有點傷行動緩慢，雨夜在產業道路迷了路，錯過公車，老闆好心讓我躲雨休息一下，家人還煮一碗麵，隨後開車送我去捷運站，感恩這家人。"""
30,全成土雞城,2018/05/18,1,"""適合郊區用餐地點"""
31,全成土雞城,2018/05/18,4,"""這麼會有這麼好吃的雞肉"""
32,全成土雞城,2018/05/18,5,"""很好 滿意"""
33,全成土雞城,2018/05/18,5,"""非常好吃的土雞"""
34,全成土雞城,2018/05/18,4,"""雞肉超好吃～，菜大盤～CP值很高。"""
35,全成土雞城,2018/05/18,4,"""口味不錯價格實在，只是有點偏僻"""
36,全成土雞城,2018/05/18,3,"""生意很好，態度可，食物可！"""
37,全成土雞城,2018/05/18,4,"""東西不錯吃"""
38,全成土雞城,2018/05/18,5,"""走完步道後用餐休息好所在，料理好吃，山菜可口"""
39,全成土雞城,2018/05/18,5,""" 菜好好吃，，"""
40,全成土雞城,2018/05/18,5,"""開心好吃的的山上土雞城"""
41,全成土雞城,2018/05/18,5,"""經濟實惠，景觀環境好"""
42,全成土雞城,2018/05/18,4,"""還不錯"""
43,全成土雞城,2018/05/18,3,"""白斬雞很好吃"""
44,全成土雞城,2018/05/18,3,"""老闆很古意，自家種植的蔬菜，如山茼蒿，珠蔥，地瓜葉等，吃起來就是跟平地不一樣。"""
45,全成土雞城,2018/05/18,4,"""實惠 好吃!"""
46,全成土雞城,2018/05/18,5,"""好特別的土雞城！有活鱒魚可吃！"""
47,全成土雞城,2018/05/18,4,"""經濟實惠"""
48,全成土雞城,2018/05/18,4,""" 好吃！好吃！，，"""
49,全成土雞城,2018/05/18,3,"""環境自然，視野開闊！"""
50,全成土雞城,2018/05/18,5,"""東西新鮮，價格實在"""
51,全成土雞城,2018/05/18,4,""" 好吃，，"""
52,全成土雞城,2018/05/18,4,"""料理好.平價"""
53,全成土雞城,2018/05/18,5,""" 土雞，超好吃，山菜，甘藷，鱒魚現宰，菜色超級讚，下次一定再回去吃，，"""
54,全成土雞城,2018/05/18,5,"""老闆很好客東西好吃"""
55,全成土雞城,2018/05/18,5,""" 好吃，，"""
56,全成土雞城,2018/05/18,3,"""環境，口味及價格OK，路邊車位不多，假日客人多。201804。"""
57,全成土雞城,2018/05/18,5,"""親切有禮"""
58,全成土雞城,2018/05/18,4,""" CP值高，，"""
59,全成土雞城,2018/05/18,4,"""位於外雙溪的土雞城～個人喜歡酥皮口味～炒山蘇～山茼蒿～炸地瓜～炒溪蝦～高山鱒魚（帶小孩沒吃過）…蠻不錯的地方…"""
60,全成土雞城,2018/05/18,5,"""A級美食！！"""
61,全成土雞城,2019/05/18,2,"""一般吃飯的地方"""
62,全成土雞城,2019/05/18,5,"""服務態度很好，食物美味，價錢也公道。"""
63,全成土雞城,2019/05/18,2,"""就 ..... 還好 .... 但假日還是事先預訂較妥~"""
64,全成土雞城,2019/05/18,5,"""雲霧繚繞，風景超讚的地方！雖是土雞城但是也有提供素食的料理，素菜真是好吃，那是個葷素皆宜的好地方。"""
65,全成土雞城,2019/05/18,4,"""空氣好、風景美"""
66,全成土雞城,2019/05/18,4,"""環境舒適，價格合理，唯入口山路較小條，會車需注意安全。"""
67,全成土雞城,2019/05/18,4,"""白斬雞好吃不油膩  份量多  價廉物美  老闆人很親切"""
68,全成土雞城,2019/05/18,4,"""環境舒適，雞肉肉質鮮嫩好吃，各類山菜蔬食也都非常新鮮。服務態度親切良好，是個不可多得的好店家，超推薦。"""
69,全成土雞城,2019/05/18,5,"""陽明山縱走完，土雞特別好吃。"""
70,全成土雞城,2019/05/18,2,"""服務態度佳"""
71,全成土雞城,2019/05/18,4,"""價格公道，家常口味好吃，地瓜葉必點"""
72,全成土雞城,2019/05/18,1,"""菜很普通啦、沒什麼特色。"""
73,全成土雞城,2019/05/18,4,"""物美價廉 好停車 清潔舒適 風景優美 白斬雞是必吃餐點"""
74,全成土雞城,2019/05/18,5,"""是我在台北吃到最好吃的雞肉"""
75,全成土雞城,2019/05/18,4,"""白斬雞，鱒魚，手工饅頭，山蘇，好吃。"""
76,全成土雞城,2019/05/18,4,"""老闆客氣親切，價格平事，送菜優惠，價款零頭省略，有機會還想再去。"""
