id,date,star,text
1,2017/05/12,3,"""炒飯還不錯"""
2,2017/05/12,3,"""不錯吃的快炒"""
3,2017/05/12,1,"""價目表上和實際不符，付帳時才知道要多付，感覺真的很差，真的再也不會去吃"""
4,2017/05/12,4,""" 以前常常吃的店，，"""
5,2017/05/12,3,"""味道還可以，價格也不貴!"""
6,2017/05/12,5,"""好吃！媽媽的味道。"""
7,2017/05/12,5,"""家鄉平價美食！"""
8,2017/05/12,3,"""羊肉炒飯普通，蚵仔湯便宜。"""
9,2018/05/12,3,"""輪椅使用者可以入內用餐。"""
10,2018/05/12,4,"""平價"""
11,2018/05/12,4,"""薑絲羊肉湯很夠味，七十元不算貴只是羊肉量沒想像多，蝦仁炒飯部分料算不少，蝦仁蠻給力的"""
12,2019/05/12,5,"""很好吃 羊肉處理非常厲害  沒有羊騷味"""
13,2019/05/12,3,""" 份量很大，口味稍淡，，"""
14,2019/05/12,4,"""東西好吃，可惜小間了點，位置不多"""
15,2019/05/12,5,"""價格公道百吃不膩"""
16,2019/05/12,4,""" 可以在五分鐘內炒好香辣夠味的牛肉炒麵！份量多，價格也很便宜！ ！ ！，，"""
17,2019/05/12,3,"""味道很淡，要另外說口味重一點、炒辣，不然幾乎淡而無味。"""
18,2019/05/12,5,"""價錢公道，口味不油不膩。"""
19,2019/05/12,3,"""就在稅捐處對面，很好找。現炒的麵，好吃，價錢又實惠。雖然店面舊了點，但是餐點算不錯，適合外帶。"""
20,2019/06/12,5,"""非常道地的台灣口味！"""
21,2019/06/12,4,"""麵條很新鮮，自己做，味道很好。 你必須試著來這裡"""
22,2019/07/12,5,"""價錢公道，食物好吃"""
23,2019/08/12,5,"""闆娘炒飯一流"""
24,2019/08/12,5,""" 量多，很好吃，，"""
25,2019/09/12,3,"""還不錯吃，口味適中分量較多，經濟實惠。"""
26,2019/10/12,4,"""菜色豐富價格公道的自住餐店，有免費的熱湯和飲料ㄛ"""
27,2019/10/12,4,"""店面乾淨 老闆娘客氣"""
28,2019/10/12,2,"""羊肉炒飯不ok"""
29,2019/11/12,5,"""價格公道,吃過好幾次了,覺得買湯超划算,蛤子湯50元料超多的,又鮮又好喝!如果點蚵子湯裡面還有加九層塔非常香,青菜蛋花湯裡面的蛋很多而且青菜很嫩!下水湯的話,食材也都很新鮮!另外湯裡姜都放超多哈哈,天氣冷的時候喝一碗超滿足，炒麵或炒飯通常還會有跟青菜一起炒,加點小辣更有滋味,吃過肉絲的蝦仁的跟羊肉的,都不錯不過羊肉比較重口味:)，老闆娘做生意非常客氣!!讓人舒服的店家"""
30,2020/02/12,5,"""羊肉炒麵和羊肉湯很好吃！"""
31,2020/03/12,4,"""炒三鮮還不錯"""
32,2020/03/12,3,"""這一家是我以前蒸便當會來的店。"""
33,2020/03/12,1,"""怎麼變得這麼難吃，是因為換了老闆嗎? 每樣菜都吃不下去只好拿去倒廚餘，然後再去買麥當勞填肚子，慘。"""
34,2020/04/12,4,""" 尼斯，，"""
35,2020/04/28,1,"""點了羊肉燴飯和炒劍筍都覺得難吃，明明是很不一樣的兩道菜吃起來調味卻差不了多少，都沒什麼味道，吃了一次不會想再來第二次。"""
36,2020/05/06,3,"""炒什麼都有"""
