id,date,star,text
1,2017/05/12,4,""" 好！，，"""
2,2017/05/12,4,"""平價，好吃"""
3,2018/05/12,1,"""點燴飯沒有飯  點麻油羊肉麵線沒麻油 還要多收$20 太扯了吧"""
4,2018/05/12,4,"""從小吃到大的牛肉炒麵，一大盤才70元，相當划算，值得推薦~~"""
5,2018/05/12,5,"""大推的高CP值小吃店，因為現在寫第三次累了...不知google和iphone 何時才能和平相處orz"""
6,2018/05/12,5,"""便宜好吃又多樣😋"""
7,2019/05/12,1,"""店門口一堆蟑螂屍體，衛生條件不佳"""
8,2019/05/12,3,"""店面看起來很不起眼，賣的東西倒是非常多樣話，有便當和一些燴飯炒飯麵線等，也有一些湯可以配，店內在夏天的時候會有冷氣，所以不用滿身大汗的吃熱騰騰的東西，另外店內也有提供一些飲料可以喝，還有電視可以看，店內座位目測可以坐十到二十人左右，當天去的時候，感覺外帶的人比較多，比較少人會內用，便當菜色的選擇也是蠻多的，有約略十幾種菜可以做選擇，主菜從魚類雞腿到豬腳也算是海陸空都有可以選，另外交通停車的話機車比較方便附近找找一下就有空位了，炒飯的部分當天是點綜合炒飯，鮭魚加牛肉到100元 …"""
9,2019/05/12,4,"""價格實惠"""
10,2019/05/12,5,"""$20一碗的滷肉飯油香滿滿，配上桌上提供的辣汁非常棒。"""
11,2019/05/12,4,"""魯肉飯比較像是中南部的控肉飯少了控肉，跟我小時候回草屯阿嬤家吃的一模模一樣樣，而且只要20元又大碗，CP值非常高。，肉絲炒飯就有點不推，整體過油肉絲也偏肥，味道也不太夠，可能要自備辣椒醬會更好吃，但60元的大份量其實也沒什麼好挑剔的。"""
12,2019/07/12,4,"""知高飯焢肉多，肉質肥而不膩，瘦肉也不會乾柴，65元實在cp高。，不過牛肉飯就普通😅"""
13,2019/07/12,1,"""每次經過店外人行道一堆蟑螂老鼠！"""
14,2019/11/12,4,"""#店家公告，109年元旦起，知高飯調漲到70元；，#炒飯、炒麵份量足，CP值高；，#飯類自選三樣配菜，配菜種類較一般自助餐少，魚類主菜較其他店便宜；，#品質不甚穩定，偶爾會被雷到…。"""
15,2019/12/12,1,"""老闆娘態度超差，好像是我在賺她的錢一樣^ _ ^"""
16,2020/04/12,5,"""餐點多動作快，價格親民！"""
