id,date,star,text
1,2014/05/14,3,"""價格平實，生啤酒很好喝。"""
2,2014/05/14,3,"""可以把酒言歡又沒有負擔的店"""
3,2016/05/14,4,""" 整體環境不錯，酒吧氣息濃厚，，"""
4,2016/05/14,4,""" 喝點飲料和台灣“酒吧食物”的好地方，，"""
5,2016/05/14,3,"""僅存的啤酒屋"""
6,2016/05/14,3,"""味道有一定的水準！"""
7,2017/05/14,3,"""菜色不錯 可惜室內有人抽煙"""
8,2017/05/14,4,"""好吃又不貴"""
9,2017/05/14,5,"""心中第一名的熱炒店！"""
10,2017/05/14,4,""" 便宜又友好。雖然食物質量不太好。，，"""
11,2017/05/14,4,"""菜色多元好吃😋，店家女老闆親切風趣🙈"""
12,2017/05/14,4,""" 當地台灣美食與人群。，，"""
13,2017/05/14,4,"""菜色多樣選擇!聚餐的好地方!"""
14,2017/05/14,5,"""便宜又好吃 老闆娘很好"""
15,2017/05/14,5,"""忠誠路剩下少數的啤酒屋了"""
16,2017/05/14,5,"""溪蝦、椒鹽臭豆腐好吃，一年四季都很熱鬧的啤酒屋"""
17,2017/05/14,4,"""台式百元熱炒，菜色多樣，食材鮮，口味佳"""
18,2017/05/14,5,"""一個字讚"""
19,2017/05/14,4,"""只支持客棧，看生意就知道了，來這邊就是要大口喝啤酒啊！"""
20,2017/05/14,4,"""台式百元熱炒，適合帶外國朋友來"""
21,2017/05/14,3,"""菜色多元，口味大眾化，雖然徧重但因是啤酒屋配啤酒就剛好，氣氛溫暖！"""
22,2017/05/14,4,"""30幾年老店，有些已經少見的台菜這裡仍有，還有隱藏版私房料理，一道皮蛋拌店家自己醃的蘿蔔乾挺絕。口味重鹹飲品會喝很兇，適合和朋友搏感情的地方。"""
23,2017/05/14,5,"""因為推薦來吃，味道不錯，食物好"""
24,2017/05/14,5,"""氣氛很好"""
25,2018/05/14,5,"""適合聚餐的好地方"""
26,2018/05/14,4,"""一好吃親切乾淨."""
27,2018/05/14,5,""" 炒麵 三杯雞 半天花 蝨目魚肚 等等說不完的菜色口味一流，價格實惠又新鮮，，"""
28,2018/05/14,3,"""還不錯吃"""
29,2018/05/14,5,"""好吃，上菜又快，吃完回家不會口渴，讚!"""
30,2018/05/14,4,"""東西好吃"""
31,2018/05/14,4,""" 愛這個地方。很好的食物，啤酒和氣氛。，，"""
32,2018/05/14,5,""" 好地方，，"""
33,2018/05/14,4,"""十多歲吃到五十多，忠誠路啤酒屋"""
34,2018/05/14,4,"""菜色多樣，口味還不錯，每盤份量不多，適合聊天聚餐"""
35,2018/05/14,4,""" 聚餐的好地方，，"""
36,2018/05/14,5,"""炒的很香，東西好吃"""
37,2018/05/14,4,"""好吃但是冷氣不涼吃得滿身大汗"""
38,2019/05/14,4,"""東西好吃,服務親切"""
39,2019/05/14,4,"""東西好吃，氣氛很熱絡！"""
40,2019/05/14,5,"""新鮮，美味且價格合理，令人懷念的啤酒屋文化"""
41,2019/05/14,4,"""三個人點了五道菜，每道都出乎意料的好吃，入味又下飯，搭著啤酒又是一絕，掃光光，吃飽飽"""
42,2019/05/14,4,"""服務不錯~口味讚"""
43,2019/05/14,3,"""味道不錯可再去一次。"""
44,2019/05/14,2,"""味道不突出，失敗。收一成服務費，出餐慢，失敗。菜最後也沒上齊，失敗中的失敗。"""
45,2019/05/14,5,"""服務好"""
46,2019/05/14,4,"""很好吃 但份量偏少 價格普普 是天母地區算很有競爭力的快炒店"""
47,2019/05/14,5,"""東西好吃，工作人員服務也親切"""
48,2019/05/14,4,"""忠誠路上碩果僅存的兩家啤酒屋之一"""
49,2019/05/14,4,"""和朋友喝酒聊天的好地方，好吃又不貴。"""
50,2019/05/14,5,"""超棒的啤酒屋，連廁所都乾淨"""
51,2019/05/14,4,"""選擇多，高CP值，每道菜都好吃完全無地雷，吃完不口乾舌燥，可放入口袋名單，會常去光顧的一家店"""
52,2019/05/14,4,"""適合家庭聚會，朋友相聚用餐"""
53,2019/05/14,4,""" 台灣美食的熱門地方，，"""
54,2019/05/14,5,"""這點要說明白不是客棧啤酒屋而是紅蕃啤酒屋才對！紅蕃啤酒屋他們的菜色到服務都堪稱是非常棒的啤酒屋，記得是紅蕃啤酒屋絕對不是客棧啤酒屋因為他們的經營管理與精神全然不同我和紅蕃啤酒屋這麼多年以來我一直看到他們的改變客人非常的多幾乎去過的人都對於他們稱讚有嘉!"""
55,2019/05/14,5,""" 這裡的食物美味可口。侍應生很友善。他們講的是很多英語，對遊客非常有幫助。，，"""
56,2019/05/14,5,"""好吃，價格好"""
57,2019/05/14,5,""" 美食，，"""
58,2019/05/14,4,"""菜色豐富好吃"""
59,2019/05/14,4,"""解悶紓壓的好所在"""
60,2019/05/14,5,""" 好，，"""
61,2019/05/14,3,""" 普普通通，，"""
62,2019/05/14,5,""" 好吃，，"""
63,2019/05/14,5,"""推薦，食材新鮮，菜色用心，用餐氛圍十分愉悅。"""
64,2019/05/14,3,""" 這是一家當地便宜又美味的商店，，"""
65,2019/05/14,4,"""在台北市是相當難得的座位空間寬敞舒適，環境乾淨，下酒菜相當道地且CP值頗高的啤酒屋"""
66,2019/05/14,3,"""氣氛好菜色外便宜"""
67,2019/05/14,5,"""氣氛不錯，餐點滿好吃的，之後聚餐會再次列為一個選項"""
68,2019/05/14,5,"""物超所值的食物，服務親切的老闆"""
69,2019/05/14,1,"""工作人員臉很臭"""
70,2019/05/14,5,"""很好吃 老闆熱情"""
71,2019/05/14,4,"""輕鬆和三兩好友聚聚的所在"""
72,2019/05/14,4,"""類似快炒店, 很多菜色可以選擇, 價錢合理, 有時會有公司小聚會, 若是人多, 最好事先訂位"""
73,2019/05/14,4,"""服務好，聚餐的好選擇"""
74,2019/05/14,5,"""平價好吃的地方"""
75,2019/05/14,3,"""平價熱炒，人好多氣氛好"""
76,2019/05/14,5,""" 朋友聚餐小酌的地方，，"""
77,2019/05/14,3,"""一般熱炒店，菜色一般，價格稍微貴些。"""
78,2019/05/14,4,""" 好吃，，"""
79,2019/05/14,5,"""菜色美觀又好吃，根本沒空照相…，烤透抽酥脆，水煮蝦甘甜，真好吃啊！，(可惜要開車，沒有酒喝…)"""
80,2019/05/14,3,"""忠誠路啤酒屋"""
81,2019/05/14,3,"""實惠"""
82,2019/05/14,4,"""聊天聚會好場所"""
83,2019/05/14,5,"""好吃又不貴，推薦鐵板牛柳，三杯肥腸，喝酒的好地方"""
84,2019/05/14,5,""" 與家人共度快樂晚餐，，"""
85,2019/05/14,1,"""漏單 東西不好吃 下次打死都不來"""
86,2019/05/14,5,""" 東西鮮又好吃！，，"""
87,2019/05/14,5,"""炒飯超好吃！"""
