id,date,star,text
1,2016/05/12,2,"""非常非常慢，前面兩組客人都等不下去先走了，炒飯普通偏清淡，牛雜湯根本不是牛雜湯"""
2,2017/05/12,3,"""不到五星。但是有3.4星。人多的時候，真的要有耐心。至少，有涼爽的冷氣吹，不要苛求了！"""
3,2017/05/12,3,"""好吃，稍嫌貴了一點"""
4,2017/05/12,4,"""經濟美味!"""
5,2017/05/12,5,""" 好吃😋，，"""
6,2017/05/12,4,"""很好吃只是稍微貴了點，量也不多，最推薦“蔥蛋”。"""
7,2017/05/12,5,"""👍🏻"""
8,2017/05/12,4,"""炒牛肉的鼎鑊香氣迷人"""
9,2018/05/12,5,""" 好吃，便宜。，，"""
10,2018/05/12,5,"""牛肉炒得很好吃，還有他們的兩種炒蛋，超好吃"""
11,2018/05/12,4,"""炒麵跟牛雜湯還不錯，燴飯就有點普通。"""
12,2018/05/12,4,"""炒牛肉不錯吃"""
13,2018/05/12,3,"""價位親民，口味適中，但這次的牛雜湯的騷味很濃，沒處理好嗎？"""
14,2018/05/12,2,"""價格普通，份量少。牛肉品質不穩定，有時會吃到牛味很重的料理。旁邊是霓虹燈很多的老人卡拉ok,有時會看到喝醉的老人來吃飯。"""
15,2018/05/12,4,"""炒牛肉鑊氣足有中藥香，由於現炒，人多時必須稍待片刻。"""
16,2018/05/12,2,"""以前老闆不做頂讓就沒以前好吃了，出餐慢，香味不夠，蔥花蛋也老了"""
17,2018/05/12,3,"""餐點一般價位適合上班族及家庭用餐 環境上可 出入方便"""
18,2018/05/12,5,""" 碳香味炒牛肉，好吃！，，"""
19,2018/05/12,3,""" 家常快炒，牛肉略柴。，，"""
20,2018/05/12,5,"""價格優惠，菜色好吃"""
21,2018/05/12,3,"""好吃，但是等太久了，炒功強大。"""
22,2018/05/12,4,"""以牛肉為主的小店，菜量適合二人共餐，價格尚實惠，食物烹調夠水準"""
23,2019/05/12,1,"""等個炒麵等了快一小時。問他要上菜沒他只會說應該快好了，然後再等半小時。而且這是常態。隔壁桌和我同時來的客人也等到了同樣的下場。，然後這個3.9的評價。看看最下面那些給五顆星的，都是人頭帳號洗出來的。上面那些才是真實的評價。"""
24,2019/05/12,3,"""還不錯吃"""
25,2019/05/12,3,"""現抄牛肉好吃。"""
26,2019/05/12,5,"""好吃的現炒牛肉"""
27,2019/05/12,4,"""平價美食"""
28,2019/05/12,4,"""炒羊肉裡的空心菜很多，不用再叫青菜，配牛雜湯跟白飯，好吃"""
29,2019/05/12,5,""" 好吃，，"""
30,2019/05/12,3,"""把一般快炒的攤販模式縮進店面裡，保留小攤位的風味卻有著餐廳的整潔度，非常良好的用餐環境！，菜色頗多，喜歡吃內臟類菜色的人肯定會喜歡，招牌炒牛肉內含大量空心菜，非常下飯，值得推薦！"""
31,2019/05/12,5,"""小份炒牛肉90、白飯一碗10，一人分量剛剛好。炒牛肉好吃喔👍！因為是現炒，客人多，只有一位師傅在炒，需要有等待的心裡預備，可以早點來避開人潮。（18：00的時候就說沒有炒飯了）"""
32,2019/05/12,4,""" 好吃，，"""
33,2019/05/12,5,"""很實在:好吃"""
34,2019/05/12,4,"""老闆人很好，好吃～"""
35,2019/05/12,4,""" 好吃，，"""
36,2019/05/12,5,""" 好吃！，，"""
37,2019/05/12,3,"""上菜速度偏慢，可能是老闆信奉慢工出細活。口味與一間新店區的黃牛肉相近。"""
38,2019/05/12,4,"""好吃，但上菜慢，老闆娘個性直"""
39,2019/05/12,5,""" 在地好味道，，"""
40,2019/06/12,4,"""整體表現不錯👍🏻難得天母有平價好吃的"""
