id,date,star,text
1,2019/05/18,5,"""環境優美、如同進入台北市的世外桃源"""
2,2019/05/18,5,"""風景優美，好停車，好吃的美食！"""
3,2019/05/18,5,""" 好吃，好喝，好享受，，"""
4,2019/05/18,5,"""咖啡☕️好好喝，餐點美味好吃😋，老闆很用心佈置環境👍👍👍"""
5,2019/05/18,5,"""環境優雅、很美的富士櫻花，非常非常舒服的地方，餐點非常豐富、非常好吃，公司包場、家庭聚餐、朋友約會的好地方"""
6,2019/05/18,5,"""好吃的多國料理。環境優美。"""
7,2019/05/18,5,"""食物質感好，氛圍很舒服！大推武藏野焦糖乳酪、馬來西亞風味亞參咖哩龍蝦海鮮、綜合水果鬆餅"""
8,2019/05/18,3,"""先點的奶茶竟然比後來加點的鬆餅後上，而鬆餅本身端上來時，就不是熱的了，甚至是有點冷。，比較優秀的應該是飲料，奶茶雖然等很久，但焦糖味很濃，一倒出來就可以聞到焦糖香。，整體而言，店家的時間掌控要再加油，還有鬆餅上來的時候應該要是熱的，但是飲料味道還不錯。"""
9,2019/05/18,5,"""優美的氣氛.景色.裝潢，搭配一份可口好吃的冰淇淋麻糬鬆餅🥞，一邊享受下午茶，一邊觀賞戶外風景❤️，It’s sweet moment😍，很適合朋友.閨蜜.情侶.家庭來聚餐的好地方🥰"""
10,2019/05/18,5,"""室內空間典雅舒服，室外老闆說種了40幾棵落羽松，四季變化會有不同景色，今天吃剝皮辣椒豬五花燉飯非常好吃，鹹豬肉義大利麵太有特色，連主廚濃湯都太美味了，非常讚值得推薦朋友"""
11,2019/05/18,5,"""一見鐘情想陽明山🥰，，環境、美食令人印象深刻～，🌲整排落羽松非常的有fu。，🐾之後必定是打卡熱點。，，🥘剝皮辣椒燉飯很特別喔，第一次吃到這種口味的燉飯。，🍮焦糖起士蛋糕也非常的好吃，完全是甜點愛好者的心頭好。，推薦這間用心經營的餐廳，值得一來再來呦。"""
12,2019/05/18,5,"""鬆餅好吃，環境乾淨舒服適合聚餐和拍照，是個適合聚餐的好去處！"""
13,2019/05/18,5,"""莓果冰沙大推👍，鬆餅也很好吃！環境很適合拍照"""
14,2019/05/18,5,"""推-武藏野的焦糖乳酪、冰烤舒芙蕾、紅醬海鮮比薩、水果茶、咖啡，真的很愛~真的很好吃耶!!"""
15,2019/05/18,1,"""首先，等了非常久餐點才來。其次，麻糬鬆餅吃到異物，店員的處理態度令人失望，感覺欠缺訓練。"""
16,2019/05/18,5,"""菜單樣式豐富，美味可口，景色漂亮，老闆很用心，有質感!!"""
17,2019/05/18,5,"""餐點好好吃，服務也很貼心，裝潢很美麗"""
18,2019/05/18,5,"""環境很好，餐點也不錯！服務人員也都很親切😊"""
19,2019/05/18,5,"""環境舒適 餐點飲料都不錯 服務ok 繼續加油！"""
20,2019/05/18,5,"""👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻"""
21,2019/05/18,5,"""優質的店家👍🏻👍🏻"""
22,2019/05/18,5,"""用餐環境很舒服，餐點好吃份量又足，咖啡飲品有相當水準，會再前往消費，是和家人朋友聚餐約會的好地方～大推👍"""
23,2019/05/18,5,"""食物好吃環境漂亮，值得一去再去👍🏻"""
24,2019/05/18,5,"""食物選擇種類很多，景色優美環境佳，值得一來在來，來了十次也吃不完。"""
25,2019/05/18,2,"""剝皮辣椒五花肉燉飯，梗硬好吃，但醬汁口味有點單調，沒什麼層次感，雖然份量大，但味道很普通。，拿鐵很苦，沒有甜味。，焦糖乳酪從5度吃到0度，由硬轉軟，口感的變化很有趣，又不會太膩。"""
26,2019/05/18,5,"""餐點好吃，各式料理一次滿足！還可以帶寵物！"""
27,2019/05/18,5,"""這裡有精緻的裝潢、美味的餐點，甜點必點富士山🗻果礦蛋糕🍰，環境清幽，建築透過黃、白顏色襯托出美式風格拍照起來別有一番風味，視覺味覺的雙重享受，是適合好友&家庭聚餐的好地方😋"""
28,2019/05/18,2,"""假日限時兩小時，點餐上菜花了一小時。服務生很有禮貌，但無解於行政的紊亂，這是經理人的錯。，餐點價格與實物不符，大約多了三成。戰斧豬排只能算迷你戰斧；火鍋食材還好不算新鮮；燉飯偏硬沒有入味。，環境不錯，也就環境不錯。"""
29,2019/05/18,5,"""菜色多樣結合多國料理，鬆餅裡還有麻糬很好吃，舒適的環境 還有停車場非常方便，服務人員也都很熱心"""
30,2019/05/18,5,"""餐點很不錯吃，都是真材實料，而且沒有添加讓人吃了會不舒服的人工香料，所以吃完不會嘴澀口渴，也不會覺得身體有負擔。環境讓人覺得很舒適放鬆，上菜也很迅速，服務人員都很有禮貌。停車也很方便是一大加分，一定還會再來喔！"""
31,2019/05/18,5,"""甜點好吃"""
32,2019/05/18,5,"""燉飯義大利麵超好吃！咖啡麵包很有水準！椅子也好好坐可以坐很久推薦！"""
33,2019/05/18,5,"""晚上氣氛很好...主食義麵跟燉飯好吃，甜點很吸引人（推焦糖乳酪）"""
