id,name,date,star,text
1,景福館正宗韓國料理,2016/05/18,4,"""山上平價韓國料理～ 可以兩人吃部隊鍋，份量很足😁，，缺點是裡面有的悶悶的，尤其是人多的時候。雖然冬天室外冷，但室內不流動的空氣還是會讓人有的不舒服～，，另外，習慣配冷飲用餐的人可以另外帶，店內只提供熱茶～ （我是因為環境太悶，會想喝點冰涼的東西，當然垃圾要自己帶走比較好😅）"""
2,景福館正宗韓國料理,2016/05/18,4,"""景福館韓國料理不錯吃"""
3,景福館正宗韓國料理,2017/05/18,4,"""口味不錯"""
4,景福館正宗韓國料理,2017/05/18,5,"""好吃!!!老闆娘服務態度超親切，小菜無限供應!!"""
5,景福館正宗韓國料理,2017/05/18,5,""" 非常好吃😋，，"""
6,景福館正宗韓國料理,2017/05/18,3,"""口味尚可，某些食材給予較少。"""
7,景福館正宗韓國料理,2017/05/18,3,"""還好"""
8,景福館正宗韓國料理,2017/05/18,4,"""濕冷的時候，湯鍋熱飯暖心暖胃，泡菜好吃，平價"""
9,景福館正宗韓國料理,2017/05/18,4,""" 小菜很好吃，，"""
10,景福館正宗韓國料理,2017/05/18,3,"""口感,以價位來說還可以."""
11,景福館正宗韓國料理,2017/05/18,5,"""平價好吃"""
12,景福館正宗韓國料理,2017/05/18,4,""" 便宜，，"""
13,景福館正宗韓國料理,2017/05/18,4,"""食物好吃!! 確實是正宗韓國料理!❤❤❤"""
14,景福館正宗韓國料理,2017/05/18,4,""" 好吃道地，，"""
15,景福館正宗韓國料理,2018/05/18,5,""" 好吃，，"""
16,景福館正宗韓國料理,2018/05/18,5,""" 好吃好吃小菜也好吃，，"""
17,景福館正宗韓國料理,2018/05/18,5,""" 推！文大人必吃，，"""
18,景福館正宗韓國料理,2018/05/18,5,"""老闆是道地韓國人，東西好吃"""
19,景福館正宗韓國料理,2018/05/18,5,"""食物好吃～～份量很夠  老闆娘人很親切😊  內用小菜可以續  也有茶可以喝  很平價的韓式餐廳👍"""
20,景福館正宗韓國料理,2018/05/18,4,"""不錯好吃"""
21,景福館正宗韓國料理,2018/05/18,4,"""讀華岡時期很愛的韓國餐廳，雖然價格還行，但味道正宗，今天吃完才發現有湯飯！！可惜了，在台灣要吃到好吃的韓國湯飯不容易呀😭😭，沒有冰水只有熱茶，水在冰箱要另外購買。"""
22,景福館正宗韓國料理,2018/05/18,4,"""豬軟骨湯飯好吃啊，在燉久一點會更好，其他餐點也都便宜好吃"""
23,景福館正宗韓國料理,2018/05/18,5,"""石鍋拌飯（豬）是目前心目中排名前三的好吃菜單！價格親民，附贈的小菜好吃可免費續盤"""
24,景福館正宗韓國料理,2018/05/18,5,""" 好吃喔！，，"""
25,景福館正宗韓國料理,2018/05/18,5,"""煎餅料多好吃酥脆~~~"""
26,景福館正宗韓國料理,2018/05/18,4,"""石鍋拌飯很好吃，有小菜，，不過之前點炸醬麵 沒什麼料還要100"""
27,景福館正宗韓國料理,2018/05/18,5,""" 好吃便宜，，"""
28,景福館正宗韓國料理,2018/05/18,4,"""蠻好吃的韓式料理 ，而且相當平價"""
29,景福館正宗韓國料理,2018/05/18,3,""" 正宗，，"""
30,景福館正宗韓國料理,2019/05/18,5,"""如果兩個人吃點部隊鍋保證吃很撐又很好吃，烤肉飯也是CP值高，好吃有附飲料和兩道小菜"""
31,景福館正宗韓國料理,2019/05/18,4,"""不錯吃"""
