id,name,date,star,text
1,晶棧熱炒,2017/05/13,5,"""士林夜市的B1美食區20號攤位"""
2,晶棧熱炒,2017/05/13,3,"""特地來吃冠軍炒飯，炒飯其實不錯吃，雖然是意料之外的濕式炒飯，但味道還不錯。不過碗筷感覺沒洗乾淨，摸起來滑滑黏黏，扣了一顆星"""
3,晶棧熱炒,2018/05/13,1,"""90元炒飯 CP值超低 味道不怎樣"""
4,晶棧熱炒,2018/05/13,5,"""蝦仁炒飯的蝦子真的很新鮮，吃的到整隻鮮蝦，讓人回味無窮的炒飯，配上一碗花枝羹真滿足，來士林夜市固定要品嚐的小吃"""
5,晶棧熱炒,2018/05/13,5,"""還不錯囉"""
6,晶棧熱炒,2018/05/13,2,"""1.冠軍炒飯好吃、濕潤的口感、90元有6隻完整新鮮的蝦仁。2.花枝羹不新鮮、不好吃、花枝數量少、用筍塊充數，一碗80好貴。3.蚵仔煎油耗味重，可惜了大粒飽滿的蚵仔與醬汁。"""
7,晶棧熱炒,2018/05/13,5,""" 在台北傳統市場反對炒飯比賽中，油炸蝦油炸冠軍美味店。，，除蝦炒飯外，還有很多美味的菜單，如小籃球，餛飩湯，油炸蟹炒，鹽烤雪橇等。，，"""
8,晶棧熱炒,2019/05/13,1,"""實品和照片相差相差很多非常騙，生炒花枝羹竟然只有一個飯碗大小跟照片上完全不一樣"""
9,晶棧熱炒,2019/05/13,3,"""餐點普通 .. 原來照片美實品還好"""
10,晶棧熱炒,2019/05/13,4,"""還不錯"""
11,晶棧熱炒,2019/05/13,4,""" 蛋炒飯普通，吃不出冠軍水準。，，"""
12,晶棧熱炒,2019/05/13,5,""" Good2019-2-5，，"""
13,晶棧熱炒,2019/06/13,1,"""味素加過多 鹹到瘋掉的炒麵"""
14,晶棧熱炒,2019/08/13,3,""" 便宜！，，"""
15,晶棧熱炒,2019/09/13,2,""" 普通的很平均，，"""
16,晶棧熱炒,2019/09/13,1,"""態度非常差，強制賣了兩碗麵，又在吃飯時用很差的態度打擾，雷。"""
17,晶棧熱炒,2019/11/13,4,""" 炒牡蠣（NT $ 60），炒臭豆腐（NT $ 50），炒紅薯葉/ Karashina（每隻新台幣50元），炒蛤蜊泥（新台幣200元），蝦仁炒飯（新台幣80元），油炸我點了一個水蓮花碗（NT $ 150）。畢竟，油炸的紅薯是最好的，接下來是油炸的水蓮花泥，接下來是一個略帶臭的油炸豆腐。 SautéedSorashina很美味，但個人並不是炒紅薯葉的敵人。，，"""
18,晶棧熱炒,2019/12/13,2,"""點了四樣，僅炒飯還好，其它炸蝦，花枝羹，滷肉飯，明顯的不太新鮮。招纜客人很熱情，吃完後，冷淡。"""
19,晶棧熱炒,2019/12/13,4,"""很久沒來吃了，換到地下室第一次來，也都忘了小時候常吃的是哪幾家了，今天難得來，吃的是兒時的記憶😋"""
20,晶棧熱炒,2020/02/13,1,"""有強迫推銷行為有點貴"""
21,晶棧熱炒,2020/02/13,3,"""蚵仔煎：一般平平，臭豆腐： 外表酥脆 但咬開後沒香氣 僅外表好吃，滷肉飯：滷肉醬汁ok      飯超級不行 像隔夜飯 咬到一半有硬塊，抄手：只是用沙茶調味 辣油增辣....."""
22,晶棧熱炒,2020/02/13,5,"""蝦仁炒飯好吃！，花枝羹也很推薦點來吃！"""
23,晶棧熱炒,2020/05/17,4,"""蔥和洋蔥都有，蝦仁飽滿，飯有醬油，蛋沒黑色，飯偏濕軟，價位90，我覺得還可以。"""
