id,date,star,text
1,2013/05/12,3,"""簡單的快炒店，交通方便。"""
2,2014/05/12,4,"""服務生水準尚可須改進,檸檬片原本免費現在一盤變要50元,很失望,因為住附近很常去吃,現在改吃711"""
3,2015/05/12,4,""" 好，，"""
4,2016/05/12,4,"""服務態度可，美味程度中上，份量尚可，在訪率中上，比一般的熱炒店稍微好一點"""
5,2016/05/12,5,"""水準中上的熱炒店"""
6,2016/05/12,3,"""菜還不錯，服務尚可"""
7,2017/05/12,5,"""加湯免費"""
8,2017/05/12,3,"""餐點新鮮好吃～消費不貴，營業時間有到很晚。"""
9,2017/05/12,4,"""可以放心點菜不用擔心消費金額的熱炒店，價格便宜，餐點好吃，唯一問題是鄰桌客人音量太大時可能影響你們聊天，喜歡熱鬧的人可以光顧。"""
10,2017/05/12,2,"""剛開始覺得好吃 份量又多 但是今天去真的踩一個大雷 蚵酥粉超厚又硬 完全吃不到鮮美，糖醋排骨粉超厚 皮又硬 骨頭多 肉很乾 醬難吃，鐵板豆腐上菜好香 但是吃起來沒有美味，怎麼回事？換廚師嗎？超不用心煮，食材又不新鮮！！"""
11,2017/05/12,4,"""餐點佳，價格公道~"""
12,2017/05/12,3,"""就熱炒店"""
13,2017/05/12,5,""" 朋友小聚的好地方，，"""
14,2017/05/12,2,"""口味上實在是差強人意，當天點了帶骨牛小排、水蓮菜、絲瓜蛤蜊、鮮魚湯，炒飯和五更腸旺。海鮮類新鮮度ok，但腸旺的部分鴨血明顯沒入味，水蓮和湯的部分也偏淡，帶骨牛小排6塊200，吃起來卻像牛肉乾... 只能說適合吃粗飽和想速戰速決的"""
15,2017/05/12,3,"""東西不錯吃"""
16,2017/05/12,3,"""口味中性，稍微比較沒特色"""
17,2017/05/12,4,""" 好吃又便宜，，"""
18,2017/05/12,4,"""份量有點小"""
19,2017/05/12,3,"""便宜份量還ok"""
20,2017/05/12,3,"""第一次吃，還算不錯"""
21,2017/05/12,2,""" 普普通通，，"""
22,2017/05/12,4,""" 口感普通，量微少，上菜速度尚可，，"""
23,2017/05/12,4,"""價格不高，料理口味還不錯。"""
24,2017/05/12,4,"""煙味太重了些，白飯不用錢自取吃到飽很棒"""
25,2017/05/12,4,"""價格合理出餐速度快東西也好吃"""
26,2017/05/12,4,"""很好吃份量也不錯，差在有點不乾淨"""
27,2017/05/12,5,"""東西物超所值，讚啦"""
28,2017/05/12,5,"""這家比較好吃=v="""
29,2017/05/12,5,""" 有趣的地方來獲取食物。在年輕人群中非常流行。好啤酒和美味的食物，，"""
30,2017/05/12,4,"""氣氛很好"""
31,2017/05/12,4,"""不錯 但種口味"""
32,2017/05/12,5,"""價格便宜，飯免費吃到飽"""
33,2017/05/12,4,"""空間滿寬敞的，出菜很快"""
34,2017/05/12,3,"""桌數不多，口味普普"""
35,2017/05/12,4,"""整體而言還不錯"""
36,2017/05/12,4,"""出菜速度快口味不錯"""
37,2018/05/12,5,"""百元熱炒，不馬虎，不過記得點一些青菜搭配，不然多是重口味哦"""
38,2018/05/12,3,"""不錯吃"""
39,2018/05/12,5,""" 好吃，，"""
40,2018/05/12,3,"""菜色普通偏上，室內抽煙煙味重，位子擁擠。"""
41,2018/05/12,3,"""水準算是中上的熱炒店，交通便利。"""
42,2018/05/12,5,""" 菜量足，上菜快，，"""
43,2018/05/12,1,"""服務生態度很差！"""
44,2018/05/12,4,""" 聚餐好地方，，"""
45,2018/05/12,5,"""東西好吃又不貴，大推乾煎豬肝"""
46,2018/05/12,3,"""平價的菜單，平價的環境衛生"""
47,2018/05/12,5,"""喜歡他不馬虎的重口味，可以吃很多碗白飯"""
48,2018/05/12,3,"""氣氛OK，但冷氣不足，天熱會比較悶"""
49,2018/05/12,3,"""整體來說還OK, 不過客家小炒還有很大的進步空間. 炸雞翅雖然外脆內嫩 不過裡面有些部份沒有完全熟. 乾煎豬肝不錯吃, 高麗菜吃起來很甜很脆."""
50,2018/05/12,3,""" 聊到聚餐方便吃都很Ok，，"""
51,2018/05/12,3,"""還不錯吃，但不抽煙的人可能要選位才不會被二手菸燻到"""
52,2018/05/12,4,""" 好吃！，，"""
53,2018/05/12,4,"""鹹蛋苦瓜，金沙魷魚，好吃"""
54,2018/05/12,4,"""好吃，好聊，近捷運。"""
55,2018/05/12,4,"""還不錯吃，但是炸的沒很好吃"""
56,2018/05/12,5,"""喝啤酒聊天的地方,但一定酒後不開車,我都座捷運,因為芝山捷運站很近."""
57,2018/05/12,5,"""店長人美心也美，不錯不錯"""
58,2018/05/12,4,"""適合多人聚餐"""
59,2018/05/12,5,"""菜式種類多樣，適合好友相聚，離捷運站近，交通方便"""
60,2018/05/12,4,"""價格合理、適合同事或朋友聚會"""
61,2018/05/12,4,"""餐點份量偏少"""
62,2018/05/12,4,"""宮保雞丁好吃，小缺點是裡面味道不太好聞.."""
63,2018/05/12,1,"""室內菸味重 不喜歡👎👎"""
64,2018/05/12,5,""" 好旺角之角，，"""
65,2018/05/12,3,"""便宜，一般快炒口味，想喝點小酒，聊聊天可以來這裡"""
66,2018/05/12,2,"""味道不怎麼樣又貴的快炒，環境也不怎麼樣…"""
67,2018/05/12,4,"""近芝山站，平價好吃，老闆爽快，值得。"""
68,2018/05/12,4,"""十分常見的熱炒店，交通方便"""
69,2018/05/12,4,"""離家走路5分鐘左右就到。時間允許情況下，可以抽菸。"""
70,2018/05/12,5,"""熱炒種類多，口味適中，不會太重口味，很適合全家人和親朋好友聚餐來這兒吃上一頓。"""
71,2018/05/12,4,""" 好！，，"""
72,2018/05/12,5,"""芝山最棒的海產店，便宜又大碗且好吃"""
73,2018/05/12,4,"""還不錯吃，聊天喝酒的好去處"""
74,2018/05/12,3,""" 好，，"""
75,2018/05/12,2,"""普通 價錢平民"""
76,2018/05/12,1,"""出菜超級慢。"""
77,2018/05/12,4,""" 一個可靠的地方 - 都很好。本地，現實生活台北。孩子們，商人，學生，飲酒者，喝茶者......你在這裡得到很多東西。正確的由mrt和許多巴士.😊，，"""
78,2018/05/12,4,"""老闆很好客"""
79,2018/05/12,1,""" 交通方便朋友聚餐,高麗菜很好吃,煎豬肝雖然有些硬,但嚼勁及口味反而喜歡,同行朋友說這次，所有的菜是最不鹹的。最大缺失是~煙害防制法,餐廳是禁煙的,居然放任店內客人大大方方抽煙,真的討厭這種沒公德心的人。 (同行朋友說以前來都一直有人抽煙),給1星,我下次不來這種只為賺錢,漠視其它客人權益的店。，，"""
80,2018/05/12,4,"""平價高CP值 快炒店，跟健康均衡飲食無緣"""
81,2018/05/12,5,"""就是讚"""
82,2018/05/12,1,""" 廚房週邊衛生非常差，，"""
83,2019/05/12,4,"""熱炒價位算合理而且份量不少，炸類或者肉絲用量也實在不會裹一堆粉或者調味料結果吃不到多少東西。離捷運站又近，要聚餐喝酒聊天方便不用怕不能回家。不過廁所實在很臭需要改進。"""
84,2019/05/12,3,""" 人很多，生意很好，但不合我胃口。，，"""
85,2019/05/12,3,"""適合多人聚餐，價格很便宜"""
86,2019/05/12,3,"""這家快炒店，位於芝山捷運站附近，停車方便，口味中上略帶重鹹辛辣，畢竟鹹辣會刺激客人對啤酒飲料的需求，價位不貴也不便宜，適合年輕人歡暢飲酒，但由於用餐處比較擁擠，吵雜聲音不絕於耳，喜歡寧靜的客人較不適合來此用餐。"""
87,2019/05/12,3,"""朋友聚餐好去處"""
88,2019/05/12,1,"""只能說沒吃過這麼難吃的，東西不新鮮，海瓜子是縮的還不熱，中卷有消毒水的味道，感覺菜都是煮熟等著然後要上菜時才放在鍋裡抄幾下加熱，大家可以去試試看然後回覆心得"""
89,2019/05/12,1,"""畢生沒吃過這麼難吃的熱炒。，炒空心菜：像水煮一樣，不油亮就算了，菜還爛爛的。，炒海瓜子：肉都縮起來，口感溫涼，好像炒好擺很久。，薑絲大腸：還算可以。，牛肉油條：以為是炒菜，結果是燴的，口感普通沒特色。，麻辣魷魚：這道我和男友只吃三條，整盤作廢，沒麻辣，外加超級濃厚噁心消毒水味，都要吐了。，要不是一極鮮熱炒客滿肚子快餓扁，我應該要堅持不進這間店的決心。熱炒就是要有鍋氣，請用心經營拜託。"""
90,2019/05/12,3,"""希望推銷員店家稍微趕一下吧很解嗨...，炸物跟烤魚好吃"""
91,2019/05/12,4,"""賣場不夠明亮，菜色普通"""
92,2019/05/12,5,""" 超便宜又好吃，，"""
93,2019/05/12,4,"""喝酒，朋友一起吃飯的好地方！"""
94,2019/05/12,5,"""生鮮，趣味，旺角生猛海鮮"""
95,2019/05/12,5,"""從國中吃到現在，味道非常不錯，雖然現在份量變少滿有感，但還是不錯喔"""
96,2019/05/12,1,""" 口味不好吃，，"""
97,2019/05/12,5,""" 好吃 上菜快速，，"""
98,2019/05/12,4,""" 還不錯，，"""
99,2019/05/12,3,"""地點近捷運但是空間太小不舒服"""
100,2019/05/12,1,"""真的是不愧對網友們的評價，有夠難吃，懶得解釋了，真的不能不信邪"""
101,2019/05/12,1,"""跟男友兩人去吃，點了鳳梨炒飯、泰式檸檬魚跟味噌松阪豬，只有炒飯味道還可以，檸檬魚吃起來不熱也不新鮮，味噌松阪豬調味很甜，肉質也要熟不熟的，吃起來很噁心🤮"""
102,2019/05/12,5,"""餐點好吃，服務佳。"""
103,2019/05/12,3,"""朋友晚上聚餐的選擇處，還算可以，但未來應該不會特地過來用餐，畢竟熱炒店的選擇太多，不過如果人在附近還算可列入考慮"""
104,2019/05/12,5,""" 食物美味，，"""
105,2019/05/12,5,"""東西好還蠻好吃的"""
106,2019/05/12,5,"""東西好吃"""
107,2019/05/12,5,"""環境輕鬆,菜好吃,是個喝小酒聊天的好地方"""
108,2019/05/12,4,"""平價熱炒，口味略鹹，正好下酒"""
109,2019/05/12,4,"""老闆人很好~吃的普通"""
110,2019/05/12,4,"""真是吃熱炒的好地方"""
111,2019/05/12,3,"""還不錯"""
