id,date,star,text
1,2014/05/18,4,"""蒜頭味十足，連牛肉湯也是有淡淡蒜頭味。服務也是讚！"""
2,2015/05/18,5,"""重口味牛肉乾麵，推綜合"""
3,2015/05/18,2,"""缺點：太鹹，豆干也很普通，優點：老闆老闆娘服務好，，同樣是蒜味牛肉麵，推薦竹北的老兄牛肉麵，大勝牛肉拌麵。"""
4,2015/05/18,5,"""還不錯吃…文化人的回憶  哈哈"""
5,2015/05/18,5,"""怎麼最近都沒開門?  電話打去也沒人接聽?  倒了嗎?"""
6,2016/05/18,5,"""平價 好吃 份量足 豆干超嫩 棒"""
7,2016/05/18,5,""" 湯我能喝一桶😊，，"""
8,2016/05/18,5,"""國中同學開的店，一定要推的"""
9,2016/05/18,3,"""大蒜很多，推薦喜歡大蒜的人"""
10,2016/05/18,3,"""牛肉拌麵還不錯吃，免費的湯也不錯"""
11,2016/05/18,4,"""評價牛肉我也愛"""
12,2016/05/18,5,"""好吃CP值超高的牛肉麵店"""
13,2016/05/18,5,"""個人獨家吃法：店內的大骨湯裝一碗倒進麵裡再加上酸菜拌一拌，鹹淡適中又好吃～"""
14,2016/05/18,5,"""麵很Q，湯底也很香，來文大必吃的美食"""
15,2016/05/18,1,"""很鹹"""
16,2016/05/18,4,"""喜歡大量的蒜跟蔥味會很愛！店內空間小太晚去需要排隊，但流動很快"""
17,2016/05/18,5,"""喜歡大蒜的人絕對不能錯過！CP值超高的牛肉拌麵，自取的大骨湯也不錯。"""
18,2016/05/18,5,""" 很好吃！量也很足，，"""
19,2016/05/18,5,"""口味很獨特的乾拌麵。可以點綜合(牛肉+肉絲)拌麵一次享受2種美味。"""
20,2016/05/18,4,"""銅板美食"""
21,2016/05/18,5,""" 好，，"""
22,2016/05/18,5,"""夠味"""
23,2016/05/18,5,"""好吃好吃、陽明山必吃"""
24,2017/05/18,4,""" 好吃，，"""
25,2017/05/18,5,"""看起來很不起眼的一碗麵, 但真的超級夠味! 熱愛蒜香的人兒一定要來嘗嘗!! 還有牛大骨清湯可以自取, 超棒"""
26,2017/05/18,4,""" 好吃，，"""
27,2017/05/18,4,""" 重口味，，"""
28,2017/05/18,5,"""好吃的拌麵"""
29,2017/05/18,4,"""拌麵蒜味濃厚，大骨湯好喝，數量有限賣完為止~"""
30,2017/05/18,4,"""好吃的麵"""
31,2017/05/18,4,"""好吃的拌麵"""
32,2017/05/18,5,"""回味無窮的學生滋味！"""
33,2017/05/18,4,"""老闆娘和老闆很愛鬥嘴 呵呵"""
34,2017/05/18,5,"""懷念好滋味，過了20年再上山吃，一樣香氣四溢的牛肉湯，特殊的酸菜"""
35,2017/05/18,5,"""文化大學旁的老店美食，以前唸書時可以吃完大碗的麵，這次竟然吃不完，建議一人可以點小碗，兩人點大碗剛好。牛肉與肉絲豆乾兩種口味都不錯吃。"""
36,2017/05/18,5,"""推薦牛肉拌麵，肉絲比較鹹。，有大骨湯可以喝。"""
37,2017/05/18,5,"""不是大陸麵店呦～是右邊隔壁那家～"""
38,2017/05/18,3,""" 好吃，，"""
39,2017/05/18,5,"""可以無限加蔥....超爽der..."""
40,2017/05/18,5,"""味道沒變，充滿回憶的味道，讚"""
41,2017/05/18,5,"""吃不膩"""
42,2017/05/18,1,"""據說不衛生"""
43,2017/05/18,5,"""到文化大學附近逛逛, 不來這家老店吃一次蒜味牛肉拌麵, 實在太可惜了!"""
44,2017/05/18,5,"""文大必試美食，每天大排長龍"""
45,2017/05/18,5,"""重口味，我喜歡。不要蒜味的可以先講，湯真的可以喝到飽。"""
46,2017/05/18,5,""" 簡單又美味，，"""
47,2017/05/18,5,""" 好吃，便宜，，"""
48,2017/05/18,4,"""還不錯的地方"""
49,2017/05/18,5,"""從大學吃到現在,從老老闆吃到小老闆,以前吃的是美味,現在吃的是懷念!"""
50,2017/05/18,4,""" 上山必吃，，"""
51,2017/05/18,5,""" 好吃，大推。，，"""
52,2017/05/18,4,"""建議肉泡一下熱湯之後吃會很軟，豆干好吃！"""
53,2017/05/18,5,"""蒜味拌麵夠味獨特。好吃。老闆夫妻人很好"""
54,2017/05/18,5,"""店家打入大量蒜頭熬煮而成的醬汁遠近馳名，撒入大量蔥花，配上軟嫩的牛肉，如果喜愛吃牛肉麵，文化大學的牛肉乾拌麵，是來到這裡不可錯過的店家。"""
55,2017/05/18,4,"""牛肉綜合拌麵好吃，牛骨湯喝到飽！"""
56,2017/05/18,4,"""蒜味濃，好吃。學生愛店"""
57,2017/05/18,4,"""大骨熬煮的牛肉湯 味道純正"""
58,2017/05/18,3,"""好吃，蒜味及份量足。小碗麵份量大概是一般麵店的1.5～2倍"""
59,2017/05/18,2,"""普普，沒有以前好吃，還越來越貴。"""
60,2017/05/18,4,""" 好吃，，"""
61,2017/05/18,4,""" 好吃，，"""
62,2017/05/18,4,"""懷念的古早味小吃，蒜味濃厚配上大骨湯，小碗麵已經是大份量，非常有飽足感。"""
63,2017/05/18,5,""" 蒜味超棒，，"""
64,2017/05/18,3,"""文化大學唯一還可以吃的美食"""
65,2017/05/18,4,"""懷念的強蒜味"""
66,2017/05/18,5,""" 味道太棒了，，"""
67,2017/05/18,3,"""不錯，牛肉清湯免費喝"""
68,2017/05/18,5,"""上山走走前小吃第一選擇"""
69,2017/05/18,5,"""好吃大碗，親切蔥花，大骨無限吃"""
70,2017/05/18,4,"""好吃的牛肉拌麵，大骨湯也很好喝!"""
