id,name,date,star,text
1,玖柱海鮮熱炒,2019/05/12,3,"""天母忠誠路上新開的熱炒店，成為忠誠路上的第三間熱炒店，店面佔地頗大，裡面裝潢很意外的是使用工業風風格，缺點是裡面的柱子稍多，讓餐廳內有點阻隔的感覺，還是就是這個原因店名取為玖柱？ …"""
2,玖柱海鮮熱炒,2019/05/12,1,"""味道普通，價錢偏高，量還不多，五個人11道菜有飯有麵還吃不飽，吃完還要買宵夜吃，cp低"""
3,玖柱海鮮熱炒,2019/05/12,5,"""真材食料好吃！海鮮更是新鮮！"""
4,玖柱海鮮熱炒,2019/05/12,4,"""好吃 食材新鮮"""
5,玖柱海鮮熱炒,2019/05/12,5,"""清蒸紅條！漁獲非常鮮，非常好吃😋"""
6,玖柱海鮮熱炒,2019/05/12,4,""" 好吃！，總體而言，味道鮮美，扇貝特別好吃。一氣之下！，，它只是新的和乾淨的！，我不明白，因為我沒有離開。，我問周日晚上，但是在18:30滿了。，，我想盡快再問一次。，，"""
7,玖柱海鮮熱炒,2019/05/12,5,"""氣氛環境不錯 東西也好吃"""
8,玖柱海鮮熱炒,2019/05/12,5,"""澎湃的海鮮熱炒店，聚餐喝掛的好去處"""
9,玖柱海鮮熱炒,2019/05/12,1,"""我.到.底.吃.了.什.麼..........，，原本很開心天母終於新開了一家熱炒店，，約了一群朋友，敲定時間就決定到餐廳用餐，，當天店內高朋滿座，想說一定是很好吃，生意才會那麼好.....，，沒想到，我錯了.........，，味道實在有夠給他超級失望的，，一來，是根本沒有其他評價的人說的，有附贈下酒菜，，二來，我們吃完以後，根本不知道到底吃了什麼....，，炒青菜，油，蔥爆牛肉，青蔥/牛肉好少....洋蔥卻意外的多 …"""
10,玖柱海鮮熱炒,2019/05/12,5,"""餐點美味、服務態度好。是適合親朋好友相聚的好地方！！非常推薦~~"""
11,玖柱海鮮熱炒,2019/05/12,5,"""餐點非常好吃 服務態度非常之好 ☺️，聚餐活動好地方 缺點 停車位不好找😌"""
12,玖柱海鮮熱炒,2019/05/12,5,"""食材新鮮 平價  服務又好 台北難得一見好去處"""
13,玖柱海鮮熱炒,2019/05/12,4,"""東西好吃、服務好，親朋好友聚餐好去處，天母新據點！"""
14,玖柱海鮮熱炒,2019/05/12,5,""" 好吃，，"""
15,玖柱海鮮熱炒,2019/05/12,5,"""超好吃的，CP值高、吃過會想再來的餐廳"""
16,玖柱海鮮熱炒,2019/05/12,4,"""餐點還不錯精緻"""
17,玖柱海鮮熱炒,2019/05/12,3,"""價格比較高就覺得份量少了，出菜很快，味道適合下酒"""
18,玖柱海鮮熱炒,2019/05/12,4,"""東西不錯吃 離捷運有點距離"""
19,玖柱海鮮熱炒,2019/05/12,5,"""不錯"""
20,玖柱海鮮熱炒,2019/05/12,4,"""新開幕，食物新鮮、好吃"""
