id,name,date,star,text
1,百家班活蝦 (外雙溪店),2016/05/18,3,""" 打牙祭的地方，，"""
2,百家班活蝦 (外雙溪店),2017/05/18,5,""" 好吃，，"""
3,百家班活蝦 (外雙溪店),2017/05/18,4,"""餐點還OK，但價格有點高！"""
4,百家班活蝦 (外雙溪店),2017/05/18,4,"""好去處，好吃！"""
5,百家班活蝦 (外雙溪店),2017/05/18,3,"""份量變小,價錢貴。10隻蝦左右要五六百"""
6,百家班活蝦 (外雙溪店),2017/05/18,4,"""OK! 菜單換新！"""
7,百家班活蝦 (外雙溪店),2017/05/18,4,"""環境不錯，餐食也不錯味道好!"""
8,百家班活蝦 (外雙溪店),2017/05/18,5,"""餐食主菜跟其餘菜餚都很好吃！"""
9,百家班活蝦 (外雙溪店),2017/05/18,2,"""價高卻量少，味道還可以，胡椒鳳螺要650"""
10,百家班活蝦 (外雙溪店),2017/05/18,5,""" 這裡的胡椒蝦很多人吃 但是個人覺得還是點別的口味好了 胡椒蝦味道可能很重 其他的海鮮都不錯 小菜也可以，，"""
11,百家班活蝦 (外雙溪店),2017/05/18,4,"""好吃,價位中高"""
12,百家班活蝦 (外雙溪店),2017/05/18,4,"""好吃，不貴"""
13,百家班活蝦 (外雙溪店),2017/05/18,5,"""服務好 餐點不錯 推檸檬蝦!!"""
14,百家班活蝦 (外雙溪店),2017/05/18,4,""" 食物也很美味，，"""
15,百家班活蝦 (外雙溪店),2017/05/18,4,"""懷古料理簡單好吃"""
16,百家班活蝦 (外雙溪店),2017/05/18,4,""" 好吃，，"""
17,百家班活蝦 (外雙溪店),2017/05/18,4,"""用餐環境不錯，料理的方式和食材也都有水準之上，可惜菜色份量比較小，坐滿桌7-8人會不夠吃，適合3-4人一桌"""
18,百家班活蝦 (外雙溪店),2017/05/18,5,"""蝦子種類多種選擇"""
19,百家班活蝦 (外雙溪店),2017/05/18,5,"""有兒童遊戲區"""
20,百家班活蝦 (外雙溪店),2017/05/18,5,"""活蝦料理非常好吃，連我這不愛吃吃蝦的人第一次吃他們的檸檬蝦就深深愛上了那美味，而且服務人員個個都很親切。"""
21,百家班活蝦 (外雙溪店),2018/05/18,5,"""氣氛佳，服務佳，菜色好吃"""
22,百家班活蝦 (外雙溪店),2018/05/18,3,""" 食物一般，，"""
23,百家班活蝦 (外雙溪店),2018/05/18,5,"""東西不錯吃"""
24,百家班活蝦 (外雙溪店),2018/05/18,1,"""蝦頭沒蝦膏乾巴巴又小 結帳還加成服務費。 一樣的價位要吃的更好吃CP高又不收服務費 本人大推承德陸6段那家老店“金海岸活蝦”。"""
25,百家班活蝦 (外雙溪店),2018/05/18,5,"""很不錯吃的泰國蝦...."""
26,百家班活蝦 (外雙溪店),2018/05/18,3,"""東西好吃，口味很到味，服務也很好，唯獨菜單價位偏高，２人吃１千初沒吃飽，建議多人吃，多分攤價格"""
27,百家班活蝦 (外雙溪店),2018/05/18,4,"""雖然價格比同類型餐廳可能稍稍偏高。但是料理味道很道地。"""
28,百家班活蝦 (外雙溪店),2018/05/18,4,"""停車方便 菜餚好吃"""
29,百家班活蝦 (外雙溪店),2018/05/18,3,"""覺得到附近釣蝦場裡吃蝦料理，口味、口感較佳絕不會輸百家班，感覺這裡的嚇像冰凍過的，沒有Q彈感."""
30,百家班活蝦 (外雙溪店),2018/05/18,4,""" 餐廳以中國古代風格裝飾，在湖邊擺放著新鮮的海鮮，味道鮮美。，，"""
31,百家班活蝦 (外雙溪店),2018/05/18,4,"""好吃的活蝦料理"""
32,百家班活蝦 (外雙溪店),2018/05/18,4,"""有團歺2000"""
33,百家班活蝦 (外雙溪店),2018/05/18,4,"""胡椒蝦好吃、燒酒蝦是全酒要讓酒精揮發掉、我才比較敢吃。我們6人吃4種蝦，胡椒蝦2鍋、燒酒蝦、檸檬蝦、櫻花蝦高麗菜、雞米豆腐煲、清炒空心菜、油雞共四千多，個人覺得價格偏高點、但味道很不錯，還可以。"""
34,百家班活蝦 (外雙溪店),2018/05/18,5,"""東西不錯吃，路邊好停車。"""
35,百家班活蝦 (外雙溪店),2018/05/18,4,"""蝦料理"""
36,百家班活蝦 (外雙溪店),2018/05/18,5,"""適合家庭聚餐，還附有兒童遊戲間"""
37,百家班活蝦 (外雙溪店),2018/05/18,3,"""香菇瓜仔雞湯很鹹，都是瓜仔的味道，肉也很少"""
38,百家班活蝦 (外雙溪店),2018/05/18,5,"""服務親切，讚啦"""
39,百家班活蝦 (外雙溪店),2018/05/18,5,"""餐點美味，服務佳，值得推薦喔！"""
40,百家班活蝦 (外雙溪店),2018/05/18,5,"""蝦子很新鮮，菜好吃，服務人員很親切~"""
41,百家班活蝦 (外雙溪店),2018/05/18,5,"""超好吃！！！愛吃蝦的一定要來！"""
42,百家班活蝦 (外雙溪店),2018/05/18,5,"""店長依舊親切，蝦子讚啦"""
43,百家班活蝦 (外雙溪店),2018/05/18,5,"""讚啦"""
44,百家班活蝦 (外雙溪店),2018/05/18,4,"""好吃的蝦蝦"""
45,百家班活蝦 (外雙溪店),2018/05/18,5,"""好吃，服務親切"""
46,百家班活蝦 (外雙溪店),2018/05/18,5,"""特別來吃蝦，好吃，服務超貼心"""
47,百家班活蝦 (外雙溪店),2018/05/18,5,"""蝦子好吃，環境舒適"""
48,百家班活蝦 (外雙溪店),2018/05/18,5,"""泰國蝦新鮮好吃、口味道地、服務親切👍"""
49,百家班活蝦 (外雙溪店),2018/05/18,5,"""超好吃 超超超超推 蒜頭蝦美味～"""
50,百家班活蝦 (外雙溪店),2018/05/18,5,"""難忘的美食--吃蝦首選--蝦以外的料理也很優--餐廳環境服務不錯--是一個享受用餐的好地方---"""
51,百家班活蝦 (外雙溪店),2018/05/18,5,"""餐點好吃 蝦新鮮"""
52,百家班活蝦 (外雙溪店),2018/05/18,5,"""服務親切!打卡送小菜"""
53,百家班活蝦 (外雙溪店),2018/05/18,5,"""生日聚餐，讚啦"""
54,百家班活蝦 (外雙溪店),2018/05/18,5,"""生日聚餐，服務超貼心"""
55,百家班活蝦 (外雙溪店),2018/05/18,3,"""味ˇ道還不錯"""
56,百家班活蝦 (外雙溪店),2018/05/18,5,""" 蝦子很新鮮 很大隻 肉質彈牙 頭里滿滿的蝦子 其他的菜也很好吃 大師傅手藝不錯 清炒高麗菜火候正好 香腸也很好吃 好評，，"""
57,百家班活蝦 (外雙溪店),2018/05/18,4,"""吃活蝦的好地點。"""
58,百家班活蝦 (外雙溪店),2018/05/18,1,"""服務很差。，大約當天10點訂中午的位，一到餐廳店員就告知如果後面有「他們的客人」來就要請我們走，要我們盡快用餐，用餐到尾聲有些人站著有些人還坐在餐桌，店員就過來要清桌子了。吃的很趕，感覺店家硬接了我們的單又不服務到位，服務非常差。並且訂位時有特別強調要一份素食，上菜時店員卻說我們早上才訂的也沒說要素食，讓吃素的長輩等很久才有湯麵吃。，如果店家要做我們的生意就應該一視同仁，不能接就不要硬接。我們並不是吃霸王餐，我們有付錢，應該也是「他們的客人」吧？"""
59,百家班活蝦 (外雙溪店),2018/05/18,1,"""服務態度差，菜色普通，蝦子沒有很新鮮，雖然有兒童遊戲區但不乾淨，不好停車。"""
60,百家班活蝦 (外雙溪店),2018/05/18,3,"""還好！"""
61,百家班活蝦 (外雙溪店),2018/05/18,4,"""不錯吃"""
