id,name,date,star,text
1,益源熱炒,2017/05/12,5,"""愛店。老顧客一枚"""
2,益源熱炒,2017/05/12,4,"""好吃實在的熱炒店，當地人可以吃。用餐時段生意很好，需提早電話訂餐。"""
3,益源熱炒,2018/05/12,4,"""好吃，招牌蛋有特色！裡面有九層塔、洋蔥、蚵仔、蝦仁～ """
4,益源熱炒,2018/05/12,2,"""覺得普通，餐點製作時間過長"""
5,益源熱炒,2018/05/12,1,"""點蛋包飯跟我說很忙，現場明明沒啥人，只想賣熱炒就對了～"""
6,益源熱炒,2018/05/12,5,"""料好實在，炒飯好吃。"""
7,益源熱炒,2018/05/12,1,"""老闆娘臉超級臭，問問題臉會垮掉，說不好意思我要炒辣，臉會再垮掉 嫌煩的感覺，重點是現場目前不是忙碌時間，不會想來第二次。"""
8,益源熱炒,2018/05/12,5,"""價格實惠，口味清爽，可以自選油與鹽量，加辣用生辣椒炒，小辣就蠻辣，內用環境乾淨。，炒飯乾鬆粒粒分明，推薦。"""
9,益源熱炒,2018/05/12,3,"""傳統熱炒店 小朋友們很貼心 幫忙上上下下的端菜上桌"""
10,益源熱炒,2019/05/12,4,"""吃原味的小館 絕對不加味素"""
11,益源熱炒,2019/05/12,5,"""餐廳級的功力，老闆非常勁，人手不足會需要等，要提前去呀~"""
12,益源熱炒,2019/05/12,4,"""店裡忙到需要小幫手幫忙啊！"""
13,益源熱炒,2019/05/12,4,"""小家庭的服務。平價 有溫度的小吃。"""
14,益源熱炒,2019/05/12,1,"""肉整個打槍，木瓜粉醃太重，沒肉感，也沒香味，也不鹹...高麗菜還可以，叫了幾樣肉真的全部都是雷...一顆心都覺得太多，問啤酒多少，態度口氣超級差....，小朋友幫忙很親切是唯一優點而已..."""
15,益源熱炒,2019/05/12,1,"""我下次絕對不會再來"""
16,益源熱炒,2019/05/12,3,"""標榜不加味素，熱炒口味上是算比較清淡的，炒飯欠缺火候味不香，外帶可以先打電話才不用等太久。"""
17,益源熱炒,2019/05/12,5,"""好吃的炒飯炒麵和許多小菜，價格也是非常合理的，但要早點來 不然生意太好 很快就沒飯、麵"""
18,益源熱炒,2019/05/12,1,"""菜真的很多都不ok，味道也不行，份量非常少我們10個人來吃，，一道菜吃不到一口，，但小朋友上菜很有禮貌，"""
19,益源熱炒,2019/05/12,5,"""平價好吃的地區性熱炒"""
20,益源熱炒,2019/05/12,4,"""肉絲炒飯蠻不賴的，生意很好，通常都要現場等候15分鐘以上，算是平價的巷弄小吃~"""
21,益源熱炒,2019/05/12,1,"""點了蔥爆牛肉，吃完拉了肚子，還有點想吐，不知是否是食物中毒。"""
22,益源熱炒,2019/08/12,2,"""東西少又貴 態度不會說很好"""
23,益源熱炒,2019/08/12,5,""" 好吃又便宜，，"""
24,益源熱炒,2019/09/12,4,"""熱炒有一定水準，價格實惠，常見老闆的可愛兒女在店內幫忙，讓人覺得貼心：)"""
25,益源熱炒,2019/10/12,5,"""東西好吃，生意不錯，我最常吃蛋包飯跟炒麵"""
26,益源熱炒,2019/11/12,5,"""好吃！服務的小妹妹很有禮貌 不過要吃要早點來！"""
27,益源熱炒,2020/01/12,5,"""餐點好吃 ，服務人員親切有禮貌，兩三人想吃個熱炒，這裏份量剛好，不會份量太大也不會貴，可以點好幾樣分著吃，菜單還可以選擇少油少鹽等，已經吃好幾次了，會繼續光顧，支持有良心的小店👍"""
