id,date,star,text
1,2016/05/18,4,""" 還不錯 老闆娘親切 菜色還可 我常去消費，，"""
2,2016/05/18,4,""" 很吵雜！不過菜的味道還可以！推銷啤酒小妹挺漂亮！，，"""
3,2017/05/18,4,""" 好的價格與美味的食物，，"""
4,2017/05/18,5,""" 非常棒的啤酒屋 !!!，，"""
5,2017/05/18,5,"""讚～～忠誠路上碩果僅存 非常棒的啤酒屋 !!"""
6,2017/05/18,5,"""時間來到民國70幾年左右 忠誠路最老的啤酒屋 忠誠路上碩果僅存的兩間啤酒屋"""
7,2017/05/18,5,""" 還不錯 老闆娘親切 菜色還可 我常去消費，，忠誠路上碩果僅存的兩間啤酒屋,直到今日，只剩以下兩家經得起考驗，紅番啤酒屋 歷久不衰，霓虹燈招牌依然閃耀在每個醉人的夜晚。，，"""
8,2017/05/18,5,""" 當人們談論台灣食物時，他們會經常提起ReCao AKA Hot Fry。這是一家餐廳，這家餐廳以優惠的價格提供最好的台灣美食，還提供一流的服務和精美的啤酒選擇;我的意思是台灣啤酒和聖米格爾。我從15歲開始就去那裡，一直到我死去。我最喜歡的地方之一。，，"""
9,2017/05/18,3,""" 台式居酒屋，，"""
10,2017/05/18,5,""" 好吃！ ！ ！，，"""
11,2017/05/18,1,"""說熱炒100 結果基本盤通通200以上，以為跟平常熱炒店有所差異，但口味普通 份量甚至比外面100的還少，這裡白飯一碗20還要10%服務費，吃三道基本菜在外面只要300，這裡要660，哪天我錢多到沒地方花也不會想踏進來"""
12,2018/05/18,3,"""食物還不錯，但是覺得好貴... Orz"""
13,2018/05/18,5,"""適合聚餐的好地方"""
14,2018/05/18,5,"""東西好吃"""
15,2018/05/18,5,""" 簡單。便宜的啤酒。很棒的當地食物。，，"""
16,2018/05/18,4,"""服務親切"""
17,2018/05/18,5,""" 好吃 又便宜，，"""
18,2018/05/18,1,"""覺得太貴，我們點的菜明明沒有ㄧ道菜是超過200，大約十道菜，卻被算2000多，覺得有點誇張"""
19,2018/05/18,3,""" 推薦太多食物，，"""
20,2018/05/18,4,"""親切 餐點不錯"""
21,2018/05/18,4,""" 便宜好吃，，"""
22,2018/05/18,4,""" 老闆親切，東西不錯吃，，"""
23,2018/05/18,5,"""服務很好 ，非常親切菜色也不錯，很適合全家光臨。"""
24,2018/05/18,5,""" 菜好吃，，"""
25,2018/05/18,5,""" 古色古香 。口味好棒，，"""
26,2018/05/18,5,"""菜色不錯。平價消費"""
27,2018/05/18,5,"""好吃 非一般熱炒店可比擬"""
28,2018/05/18,5,"""老闆服務超級親切"""
29,2018/05/18,5,""" 台灣小酒館，它位於許多外國人居住的地區。，它不含酒精，而且很開胃。，它可以運行到很晚。，，"""
30,2018/05/18,5,"""三五好友相聚的好地方，口味道地，份量很多，價格蠻平價，碩果僅存的台式啤酒屋。。"""
31,2018/05/18,5,"""炒蚋，白斬雞，白帶魚米粉超級好吃。平價消費很棒的餐廳。。"""
32,2018/05/18,2,"""還好，跟以前差很多"""
33,2018/05/18,5,""" 這是一個台灣菜，但有很多食物品嚐韓國口味。，好的地方來和你認識的人一起喝酒，，"""
34,2019/05/18,5,""" 朋友聚餐的好地方，，"""
35,2019/05/18,5,"""平價好吃的熱炒，口味清淡"""
36,2019/05/18,4,"""用餐氛圍不錯，平價消費"""
37,2019/05/18,5,"""超好吃，每一樣"""
38,2019/05/18,1,"""極度不優，酒酣耳熱後結帳時一定要對帳單，店家會趁機灌水，19000多元的酒水+餐，結帳可以誤差5000多元，要求看對帳單時老闆態度更不佳會說已經複算過了，發現唬不了後會再把“老闆招待”全部加進去，老店不老實"""
39,2019/05/18,5,"""好友聚會的好地方，經濟實惠，有卡拉ok,同事相聚不錯的選擇⋯⋯"""
40,2019/05/18,5,"""好吃、好友相聚的好地方、經濟實惠好棒"""
41,2019/05/18,5,""" 好友聚會的好場所。經濟好吃又環境舒適。 。 。，，"""
42,2019/05/18,3,""" 碩果僅存的啤酒屋，說是啤酒屋還不如說是熱炒店，上菜速度很快，但不是每道菜味道都到位，和印像中的啤酒屋有段距離。，，"""
43,2019/05/18,1,"""學生聚餐 份量極少，很坑錢！一桌10人 要收2000$，平均一人只吃到一口！"""
44,2019/05/18,1,""" 礦店，，"""
45,2019/05/18,1,"""坑店，當我們是盤子膩"""
46,2019/05/18,2,"""菜量少吃不飽啦，但是服務態度不錯"""
47,2019/05/18,1,"""超級貴 不懂貴的資格在哪"""
48,2019/05/18,1,"""CP值真的不高，餐點普通，不推"""
49,2019/05/18,1,"""上菜速度慢且份量少，ㄧ瓶蘋果西打60元，建議自備飲料"""
50,2019/05/18,1,"""太貴。吃聚餐一人兩百四，二十個人一桌只給五人份的菜。"""
51,2019/05/18,2,"""店家對於團體用餐，餐點份量應多一點會更好"""
52,2019/05/18,1,""" 都會在門口紅線違停泊車 佔地為王，，"""
53,2019/05/18,5,"""菜色好吃，古色古香，經濟便宜，適合多人聚餐"""
54,2019/05/18,5,"""不多說，很棒"""
55,2019/05/18,5,"""這裡有各式各樣的口味東西新鮮服務親切！"""
56,2019/05/18,5,"""全天母最好吃的熱炒 Best ever👍👍"""
57,2019/05/18,5,"""老闆娘親切"""
58,2019/05/18,5,"""好吃，氣氛佳，價格便宜。"""
59,2019/05/18,3,"""吵雜的啤酒屋，適合喜歡猛灌生啤酒的人"""
60,2019/05/18,5,""" 我們可以在這裡敬拜，，"""
61,2019/05/18,5,""" 美味的食物和氛圍！友好的員工，，"""
62,2019/05/18,5,"""好吃便宜氣氛佳"""
63,2019/05/18,1,"""上菜速度超慢，份量少難吃又貴，一份清蒸蝦居然要280（12隻），要不是隔壁沒位子才不會來，不會再光顧"""
64,2019/05/18,5,""" 這是一個由當地人推薦的日式房屋。，，"""
65,2019/05/18,4,"""交通方便（門口就是公車站）但自駕停車可是較困難。菜色不錯，老闆提供保溫瓶的泡茶，待人親切。"""
66,2019/05/18,3,"""沒想像好"""
67,2019/06/18,5,""" 超好吃又很便宜 ～～～，尤其是炒蚋仔 很ㄙㄨㄚˋ嘴👍👍，，"""
68,2019/08/18,5,"""螺肉蒜真的很家常，吃完會想家"""
69,2019/09/18,1,"""炸豆腐酸掉.豬肉有臭味.蛤蠣都是沙...."""
70,2019/09/18,5,""" 棒，，"""
71,2019/09/18,4,"""聚餐好地點，老店了....."""
72,2019/10/18,5,""" 很好啊，，"""
73,2019/11/18,5,"""餐點還不錯吃！"""
74,2019/11/18,1,"""會趕人走，一顆星剛剛好，真得很離譜"""
75,2020/01/18,1,"""剛叫熊貓外送，少了一個菜，回報了也沒消息，以後不會再吃紅番了，感覺真差"""
76,2020/02/18,5,"""很多食材都很新鮮好吃"""
77,2020/03/18,5,""" 改良，，"""
