id,date,star,text
1,2016/05/18,4,"""很特別的菜色，和一般平地餐廳不太一樣。"""
2,2017/05/18,4,"""很棒！推薦。"""
3,2017/05/18,3,"""好吃的士雞，蟳龍魚，野生溪蝦，野菜"""
4,2017/05/18,4,"""菜色好吃，雞湯很補，打卡有送小禮物喔！"""
5,2017/05/18,5,"""好停車，又好吃。"""
6,2017/05/18,4,"""價格實惠，味道不錯，假日最好先訂位，推薦菜餚-白切鷄，豬肘子，溪蝦，當季野菜！"""
7,2017/05/18,5,"""好吃！白斬雞很棒，很多蔬菜也很棒！人多的話，可以試試鱘龍魚多吃！"""
8,2017/05/18,4,"""野菜及山雞都不錯"""
9,2017/05/18,5,""" 好吃，所有野菜都好青脆！，，"""
10,2018/05/18,5,"""料好實在，台北郊區好去處！"""
11,2018/05/18,4,""" 不錯，，"""
12,2018/05/18,5,"""多年來從他爸爸到現兒子接手。味道一樣。好吃"""
13,2018/05/18,5,"""雞肉或鱸魚都很好吃～"""
14,2018/05/18,5,"""半山腰上的美食饗宴"""
15,2018/05/18,5,"""野菜好吃，雞湯美味，料理技術一流。"""
16,2018/05/18,4,"""簡單美味的山產料理，雞肉是招牌菜。"""
17,2018/05/18,4,"""還不錯，便宜好吃"""
18,2018/05/18,3,"""假日的下午2點到，大部份的人都用餐完畢，員工正在收桌面，沒人招呼要自己看情況入座，點了香酥土雞、山豬肉、高麗菜跟炸豆腐，感覺菜是再加熱而不是現炒現炸的，只有表面熱裡面是溫的！所以料理也偏油，雖然牆上有諸多名人簽名，不過還是算了。也可能是我們去的時間不對吧~"""
19,2018/05/18,4,""" 好，，"""
20,2018/05/18,5,"""老闆娘親切，東西好吃，價位不貴。"""
21,2018/05/18,5,"""雞肉非常好吃"""
22,2018/05/18,4,""" 山野菜鮮嫩可囗，鱘龍魚清蒸鮮美，三杯小卷香濃，麻油麵線味道佳，是聚會好地方。，，"""
23,2018/05/18,5,""" 好吃，，"""
24,2018/05/18,4,"""美味又實惠"""
25,2018/05/18,4,"""風景美，環境優美"""
26,2018/05/18,3,"""偶爾會來吃，雞湯覺得一般"""
27,2018/05/18,4,"""味道不錯，價格實惠"""
28,2018/05/18,3,"""餐點，環境及價格OK。只是很多椅子都斑駁生繡，椅面褪色。路邊車位不多。201803。"""
29,2018/05/18,5,"""好吃，也可以享受田野風光"""
30,2019/05/18,3,"""陽明山國家公園冷水坑景點"""
31,2019/05/18,4,""" 好，，"""
32,2019/05/18,3,"""健走的山友蠻多的，可預約，鄉下居家式的餐館，點個菜、點個雞，開喝還不錯。"""
33,2019/05/18,4,"""這裡的景觀很漂亮，看著山景用餐很是舒服，餐廳的料理好吃，很推薦竹筍沙拉，價位合理，很不錯的的餐廳，下次會再來。"""
34,2019/05/18,2,"""服務可菜色平常價格可以接受"""
35,2019/05/18,3,"""環境好，餐點普通。"""
36,2019/05/18,4,"""雞肉、鱘龍魚好吃啊！"""
37,2019/05/18,5,"""現撈龍魚，新鮮野菜!人也親切"""
38,2019/05/18,4,"""環境清幽，雞肉好吃，野菜好吃，餐廳外面路邊可停車"""
39,2019/05/18,5,"""中式餐廳食材新鮮好吃，環境乾淨整潔，風景佳，氣氛好，用餐愉快"""
40,2019/05/18,4,""" 好吃，，"""
41,2019/05/18,4,"""爬完山後吃飯的首選"""
42,2019/05/18,5,"""鱘龍魚 清蒸 香酥 都非常的可口 有來的 一定不能錯過"""
43,2019/05/18,4,"""台北市近郊往風櫃嘴必經之路，菜色多樣，食材新鮮，是到附近爬山或慢跑丶騎單車時，不錯的用餐地點。"""
