id,date,star,text
1,2015/05/18,5,"""炒羊肉好棒好便宜，鯊魚煙五味醬好棒，客家小炒好棒，豆鼓鮮蚵好棒，丁香花生好棒，那次的地瓜葉好鮮嫩，，低價位的是60元左右，大部分菜色落在150左右，，只是憑印象"""
2,2016/05/18,5,"""太好吃了，人親切，服務態度又好，重點是老闆的女兒超正的！！！"""
3,2016/05/18,1,""" 太氣人的一次消費…本來衝著他們家炒羊肉去的，去到店裏點餐完老闆好像覺得我消費太少看不上一樣就沒給過好臉色…同伴發現了老闆態度不好就讓我去改外帶好了…跟老闆要求外帶後，她衝著廚房喊“現在又要外帶了”也不知道是什麼意思…還把食物往桌子上丟給我們…買單付款的時候也從來沒有正眼瞧過我們一次！，，"""
4,2016/05/18,4,"""適合聚會吃，價格稍高"""
5,2016/05/18,4,"""2016-04-03 用餐，炒羊肉 CP 值超高的，一盤才 60 元，不過最近菜價太高，是用豆芽菜炒羊肉，炒飯和炒麵也很好吃，每一項熱炒都很下飯  XD"""
6,2016/05/18,4,"""用料實在，份量也很大"""
7,2017/05/18,4,"""物美價廉，但是服務人員臉都沒啥表情"""
8,2017/05/18,4,"""味道不錯，價格便宜"""
9,2017/05/18,5,"""炒羊肉 + 白飯= 羊肉燴飯 超值~~ 油雞很棒"""
10,2017/05/18,3,"""經濟實惠"""
11,2017/05/18,4,"""經濟實惠"""
12,2017/05/18,5,"""東西很好，口味不錯，店家稍忙態度會比較一般。"""
13,2017/05/18,4,"""份量夠，口味佳"""
14,2017/05/18,3,"""炒羊肉超值很大份，味道普普，服務態度尚可"""
15,2017/05/18,5,"""好吃份量多又平價"""
16,2017/05/18,5,"""炒羊肉一絕"""
17,2017/05/18,4,"""加麵10元 跟小山一樣高"""
18,2017/05/18,5,""" 炒羊肉很便宜，，"""
19,2017/05/18,3,"""爬山下來常去用餐的地方。算是不錯的熱炒店。"""
20,2017/05/18,5,"""幫店家平反一下，忙成這樣也很難有笑容"""
21,2017/05/18,5,"""炒高麗菜與菜圃蛋非常好吃  但是價格稍貴"""
22,2017/05/18,5,""" 很棒，，"""
23,2017/05/18,5,""" 好吃 炒羊肉，，"""
24,2017/05/18,3,"""熱炒好吃哦 炒羊肉 推推"""
25,2017/05/18,4,""" 好吃～，，"""
26,2017/05/18,5,"""山上好吃的熱炒店"""
27,2017/05/18,5,"""物美價廉 好吃的熱炒 可以來試試看"""
28,2017/05/18,1,"""服務態度其差無比，上菜次序雜亂無帳"""
29,2017/05/18,3,""" 便宜又大碗，，"""
30,2017/05/18,4,"""讚～"""
31,2017/05/18,5,"""超好吃 推薦一群人去"""
32,2017/05/18,5,""" 送餐快速，，"""
33,2017/05/18,1,"""服務態度差到極點"""
34,2017/05/18,5,"""炒羊肉+白飯+菜補蛋=100分"""
35,2017/05/18,4,"""價簾、好吃"""
36,2017/05/18,4,"""羊肉炒飯實惠好吃"""
37,2017/05/18,5,"""cp值不錯，好吃。"""
38,2017/05/18,3,"""阿姨超兇"""
39,2018/05/18,5,"""還不錯"""
40,2018/05/18,4,"""物美價廉～"""
41,2018/05/18,4,"""好吃又便宜，推薦炒飯比炒麵好吃，但是比較小碗。油雞也相當不錯"""
42,2018/05/18,3,"""不優"""
43,2018/05/18,5,"""在地人強力推薦，味道不錯"""
44,2018/05/18,3,"""重口味現炒料理，陽明山上在沒有可多選擇比較下，算是較佳選擇"""
45,2018/05/18,3,"""炒飯份量大，價格便宜，口味算普通不難吃，但服務人員態度不算好，吃粗飽的絕對夠用。"""
46,2018/05/18,3,"""炒羊肉都是肥肉，臥草"""
47,2018/05/18,4,"""價格便宜,份量大,出餐速度也快,適合聚餐，不過,味道偏重,不推薦不喜歡太油太鹹的人來吃"""
48,2018/05/18,3,"""蝦仁炒蛋的蝦仁不新鮮(而且是蝦仁跟被蛋蓋起來吧)；油雞好吃；炒羊肉才60元我覺得滿划算的雖然下面滿滿的豆芽菜；蛤蜊湯超大一鍋六個人平均喝兩碗還有剩，喜歡喝湯的人不要錯過；龍珠滿下飯的"""
49,2018/05/18,3,"""上菜速度很快，但口味一般，若恰好經過可嚐嚐，但無需特地前往"""
50,2018/05/18,5,"""口味四顆星，加上懷念的感覺5顆星，大學時代至今不變的好味道，好吃cp值高，推薦炒飯炒麵、炒羊肉、蚵仔酥"""
51,2018/05/18,2,"""附近唯一熱炒店"""
52,2018/05/18,4,"""平價，台式熱炒。，炒麵份量足。炒羊肉促銷價。"""
53,2018/05/18,5,""" 真的好吃，，"""
54,2018/05/18,2,"""服務態度不佳"""
55,2018/05/18,5,""" 便宜又大碗，，"""
56,2018/05/18,3,"""料理還行 但老闆會抽菸有機會吸二手菸"""
57,2018/05/18,4,"""蝦子有新鮮，熱炒類口味偏重，比較像海產攤的風格。"""
58,2018/05/18,5,""" 便宜好吃家常小炒，，"""
59,2018/05/18,1,"""都說不要菜了還是放一堆"""
60,2018/05/18,4,""" 山仔後的老店，口味夠重，，"""
61,2018/05/18,4,"""羊肉好吃，大碗便宜，可惜桌子很髒"""
62,2018/05/18,3,"""羊肉炒飯炒麵又油又鹹，份量頗大吃粗飽"""
63,2018/05/18,5,"""大學吃四年 物美價廉 老闆娘親切"""
64,2018/05/18,5,"""大學生涯裡最熟悉懷念的好味道😋，推炒羊肉 和羊肉炒麵，而且老闆一家人很照顧文化學生都會給很多，便當紙盒爆滿的那種程度，外場阿姨其實面惡心善 都很好聊的，如果真的不喜歡店家態度 可以不要來吃"""
65,2018/05/18,5,"""每次來陽明山必吃的餐廳"""
66,2018/05/18,4,"""便宜又大碗，重點是好吃。生意很好，點餐要稍等~~~"""
67,2018/05/18,4,""" 東西好吃又新鮮，人很多，出菜快，翻桌率強。，，"""
68,2018/05/18,4,""" 好吃，，"""
69,2018/05/18,3,"""鵝肉下酒 熱炒便宜 路過可，專程不必（喜愛下酒菜鹹+味精上癮者排除），70元的炒菜炒麵燴飯是學生福音"""
70,2018/05/18,1,""" 好吃，，"""
71,2018/05/18,1,"""量很多適合不挑嘴的人，菜很鹹，個人覺得很難吃，但每個人口味不同。"""
72,2019/05/18,5,"""超有個性的老闆娘，便宜又大碗的炒飯，超級適合學生來吃"""
