id,date,star,text
1,2017/05/12,4,""" 好吃又便宜，，"""
2,2017/05/12,4,""" 可以。，，"""
3,2017/05/12,5,"""泰式檸檬蝦夠入味"""
4,2018/05/12,4,""" 小酌好地方，，"""
5,2018/05/12,4,""" 快速又好吃，，"""
6,2018/05/12,5,"""喝酒吃飯的好地方"""
7,2018/05/12,4,"""口味不錯。"""
8,2018/05/12,3,"""平價好吃，環境不太好，都是熟客居多"""
9,2018/05/12,3,"""麵稍微油，食物懷念爸爸。"""
10,2018/05/12,5,""" 好吃，，"""
11,2018/05/12,4,"""在這附近沒有太多的選擇，料理的還不錯!"""
12,2018/05/12,5,""" 好，，"""
13,2018/05/12,5,"""聚會的好地方"""
14,2019/05/12,4,""" 家庭聚餐好店！，，"""
15,2019/05/12,4,"""東西很好吃，老闆很親切，。"""
16,2019/05/12,4,"""菜色不錯"""
17,2019/05/12,5,"""好吃便宜老闆跟老闆娘親切~"""
18,2019/05/12,3,"""價格平價，雖是熱炒但口味也不會過重。但味道較普通，並不十分出眾，也有點油。是一個適合大聲聊天的聚會用餐地點～"""
19,2019/05/12,5,"""價廉物美，CP超高！"""
20,2019/05/12,2,"""一般熱炒 環境品質差"""
21,2019/05/12,4,""" 好吃，，"""
22,2019/05/12,5,""" 很常去 推~~~，，"""
23,2019/05/12,5,"""適合三五好友聚餐小酌的店 不用跑太遠 ，這裡的菜脯蛋 炒得剛剛好 不會太鹹，推薦給大家"""
24,2019/05/12,5,"""好吃的菜色增加了，適合朋友聚餐小酌"""
25,2019/05/12,4,"""東西好吃"""
26,2019/06/12,5,"""老闆，老闆娘都很親切，，熱炒好吃，推薦鐵板豆腐，還會一直再去的店。"""
27,2019/06/12,5,"""東西好吃 適合朋友聚餐，對於非當地人的話 大眾交通運輸比較不方便"""
28,2019/08/12,3,"""炒麵不錯吃"""
29,2019/08/12,5,""" 好吃😋，，"""
30,2019/09/12,5,""" 好吃，，"""
31,2019/09/12,4,"""在地便宜實惠的熱炒店。上菜速度快。但開店時間偶爾異動，出發前最好致電到店裡詢問"""
32,2019/12/12,2,"""炒飯很黏  沒有粒粒分明 很不好吃"""
33,2020/01/12,5,"""招牌的餐點很好吃😋"""
34,2020/02/12,5,"""菜色豐富又好吃好吃 老闆人好親切 板娘漂亮嬌小。碗筷菜單採自助式 啤酒飲料自己拿 😁"""
35,2020/02/12,5,"""平價美味的熱炒店，帶兩三樣菜色回家就可以輕鬆搞定晚餐"""
36,2020/02/12,5,"""附近最好吃的熱炒店，排骨飯很厲害，從以前的阿K就是老顧客了，家裡阿公阿嬤也都指定要吃這裡！"""
37,2020/03/12,5,"""吃飯喝酒聚會的好地方"""
38,2020/04/12,5,"""東西多好吃便宜"""
39,2020/04/12,1,"""客人超級素質差 半夜帶小孩的吵鬧不管教 還有醉漢吵架 砸酒瓶的"""
