id,date,star,text
1,2015/05/18,5,"""平價美味的台式熱炒，值得一再口味"""
2,2015/05/18,3,"""鵝肉1"""
3,2016/05/18,3,"""近幾年生意好之後，服務態度差很多，只買麵會被冷眼挖苦，雖然料理還是不錯的。"""
4,2016/05/18,5,"""美味的鵝肉店，熱炒類也非常有水準，適合多人聚餐"""
5,2016/05/18,4,"""東西好吃，但鵝肉不便宜"""
6,2016/05/18,2,"""價錢沒標示，結帳時嚇到，太貴了，不可以把它當成ㄧ般熱炒店，注意要先問清楚價錢"""
7,2016/05/18,3,"""上禮拜去店內用餐，看到桌上著名只要打卡出示證明就可以免費獲得一份桂竹筍，隨後問了店員後竟然回答說我們點太少不能兌換！家父之後表示已經有點一份鵝肉了，店員卻又說他們保留更改權利，聽到完全傻眼，上面也沒著名說要消費多少才能換，個人認為既然是做生意就不要怕客人吃，如果是有條件的也要標示註明才對。因為服務態度非常糟糕也沒興致在那用餐，只好帶回家吃。只能說東西有一定水準，但是服務態度很糟糕，極需加強！"""
8,2016/05/18,5,"""鵝肉好吃，師傅手藝佳，老闆親切，服務好，聚餐小酌的好地方！"""
9,2017/05/18,5,"""東西好吃，鵝肉必點，有18天生啤酒"""
10,2017/05/18,5,"""鵝肉是這家店的靈魂，沒有之一"""
11,2017/05/18,1,"""叫了一個三杯雞招呼外國朋友結果材料沒了沒通知我們亂做又很鹹"""
12,2017/05/18,4,""" 好吃！，，"""
13,2017/05/18,3,"""吃吃鵝肉，喝啤酒，老闆熱情到不行"""
14,2017/05/18,5,"""老闆親切，餐點好吃！"""
15,2017/05/18,5,"""排隊又好吃的名店~"""
16,2017/05/18,4,"""傳統台菜口味，而且食材新鮮……"""
17,2017/05/18,4,"""價格稍貴"""
18,2017/05/18,5,"""衛生好吃"""
19,2017/05/18,4,""" 好吃，，"""
20,2017/05/18,5,""" 就是好吃，，"""
21,2017/05/18,5,""" 菜色齊全好吃，老闆熱情招待客人，也好停車。，，"""
22,2017/05/18,5,""" 非常好的地方風味;優質的食物和非常具有代表性的台灣當地美食。一定要訂購鵝和'3杯青蛙腿'！，，"""
23,2017/05/18,5,"""鵝肉鮮甜好吃，炒海瓜子肉質也很新鮮飽滿，服務很好，環境非常乾淨"""
24,2017/05/18,5,"""服務親切，鵝肉好吃"""
25,2017/05/18,3,"""除了鵝肉不錯，其餘熱炒菜色普通，店員超屎臉"""
26,2017/05/18,3,"""鵝肉好吃刀工很讚，，其餘與多數食客感覺一樣～好吃但是鹹！"""
27,2017/05/18,4,"""鵝肉好吃，要提早到才有位子"""
28,2017/05/18,5,"""東西太好吃啦"""
29,2017/05/18,5,"""鵝肉真的好吃，鵝油飯也很推，會讓人想要一碗接一碗，空間舒服乾淨，旁邊有捷運，喝酒聊天的好去處^_^"""
30,2017/05/18,5,"""沒有菜單，直接看現場有的生鮮蔬菜點餐，好吃，價位中等"""
31,2017/05/18,4,"""好吃實在"""
32,2017/05/18,4,""" 當地風格的美食。友好的員工可以說日語。，，"""
33,2017/05/18,4,""" CP值高，，"""
34,2017/05/18,3,""" 雖然蟹肉似乎是褐色的，但它很美味。湯很美味。由於沒有菜單，您應該通過檢查口碑來上網查找您想吃的東西。有一個說日語的哥哥。，，"""
35,2017/05/18,3,""" 一般般，，"""
36,2017/05/18,4,"""還不錯吃啦！"""
37,2017/05/18,3,"""位置空間狹小。菜色不錯吃。價位適中"""
38,2017/05/18,4,"""食材新鮮, 手藝好. 但價格已逐漸上漲"""
39,2017/05/18,3,"""餐點好吃但價格偏高，點了鵝肉、軟殼蟹、金沙筍、青菜，兩人約1200元"""
40,2017/05/18,5,"""太多好吃的東西了，適合三四個人以上去吃，價格就比較實會"""
41,2017/05/18,4,"""不錯的熱炒店"""
42,2017/05/18,5,"""好吃，老闆親切"""
43,2017/05/18,4,"""鵝肉好吃，常常容易沒位子"""
44,2018/05/18,5,"""名不虛傳的好吃鵝肉"""
45,2018/05/18,5,"""老闆親切。"""
46,2018/05/18,4,"""需要預約，上菜速度快，鵝肉好吃!"""
47,2018/05/18,1,""" 普普，，"""
48,2018/05/18,5,"""味道極佳"""
49,2018/05/18,4,"""好吃、選擇多、價格適中。，最近服務態度蠻好。"""
50,2018/05/18,4,""" 好吃的古早味，，"""
51,2018/05/18,4,"""東西好吃 就是吵了點"""
52,2018/05/18,5,""" 台灣傳統美食的好地方。推薦給旅行者和當地人。甚至可以多次造訪許多美味佳餚的方式。，，"""
