id,date,star,text
1,2013/05/09,3,"""好好吃，可囗又實惠"""
2,2016/05/09,4,"""點個炒飯配小辣豆干五花肉,厚厚的蔥花蛋,老闆一家人爽快健談"""
3,2016/05/09,5,"""夜晚版本的旗魚米粉,雖然沒有白天的炸物,但熱炒的飯菜麵,吃起來也很入味的 價格合理"""
4,2017/05/09,4,"""炒麵好吃"""
5,2017/05/09,5,"""常去光顧的店家"""
6,2017/05/09,4,"""炒功一流 旗魚米粉 淡淡的口味但可以嘗出他的鮮甜"""
7,2017/05/09,4,"""味道不錯 態度親切 環境能乾淨點就好了 路1喜歡這安靜的路邊吃小吃"""
8,2017/05/09,5,"""私房愛店，最推什錦炒麵和羊肉炒飯小辣！"""
9,2017/05/09,5,"""食材新鮮，味道不會太重，不油膩，這家店看起來很普通，但他可是粉好吃啊。"""
10,2018/05/09,4,"""炒飯超好吃"""
11,2018/05/09,5,"""好吃便宜 炒麵炒飯什錦湯麵都是一絕"""
12,2018/05/09,4,"""好吃，份量少了點！"""
13,2018/05/09,5,"""好吃極了! 尤其炒飯跟旗魚米粉是必點!"""
14,2018/05/09,4,"""炒飯50元，便宜又好吃！"""
15,2019/05/09,5,"""炒飯、五花肉、小卷必吃"""
16,2019/05/09,5,""" 炒飯 50元，炒青菜（當天吃到的是龍鬚菜） 40元，蝨目魚 180元，，好吃😋，，"""
17,2019/05/09,5,"""從小吃到大"""
18,2019/05/09,4,"""旗魚米粉（$60）不錯吃，炒飯（$50）味道不錯，但飯太濕軟有點可惜，炒龍鬚菜（$40）跟蔥蛋（$40）也都好吃，蔥蛋很古早味，會油一點"""
19,2019/05/09,5,""" 古早味，😋😋😋什錦炒麵加上自製的辣椒再一碗鮮蚵湯，👍👍👍便宜又美味，，"""
20,2019/05/09,5,"""迪化街內古早味小吃攤，店員超客氣超nice！一定要點招牌-旗魚米粉湯 鮮甜的湯頭好讚好喜歡，其它的小吃也都非常不錯吶！"""
21,2019/05/09,2,"""點了旗魚米粉吃到後面才發現送錯吃到什錦米粉..."""
22,2019/05/09,4,"""鯕魚湯米粉，湯頭很鮮甜，米粉直徑約1mm，與埔里米粉類似，個人喜歡這樣的粉。，鯕魚丁鮮甜，但是口感較柴澀。，，生燙小卷，鮮度一級棒，口感嫩Q兼具，搭配薑絲更讚。"""
23,2019/05/09,5,"""炒飯美味，調味濃淡合宜"""
24,2019/05/09,5,"""超級友善，風趣 一郎嫂"""
25,2019/05/09,4,""" 好，，"""
26,2019/05/09,5,""" 好吃，，"""
27,2019/05/09,5,"""與另外一家店共用店面，只吃過一郎嫂的料理。，店員很有趣、親切，價位便宜！東西好吃～生意超好，要儘早來吃才能避免完售。，秋天夜晚在這裡用餐，有一種純樸、悠閒的氛圍。"""
28,2019/05/09,5,"""好吃！服務態度親切！"""
29,2019/05/09,4,"""每次出差，回來就想來這裡點個炒飯、喝米粉湯、炒個蛤蜊冬天要吃個炒ㄍㄨㄚˋ菜，有在家裡吃的家常的感覺"""
30,2019/05/09,4,"""【舌尖上的旅行】熱炒的家常好味道，炒麵、炒米粉、炒青菜…很不錯。蚵仔湯可惜新鮮度要加強，桌面乾淨度要再努力。"""
31,2019/05/09,5,"""比我家附近的快速快炒好吃，服務好，很便宜😍😍😍😍😍"""
32,2019/05/09,5,"""東西好吃又經濟實惠"""
33,2019/05/09,5,"""超值的美味～一碗$40現煮的蚵仔湯，滿滿蚵仔及酸菜、薑絲，大滿足！！！"""
34,2019/05/09,4,""" 街前輕鬆的台灣美食。，，"""
35,2019/05/09,4,"""湯頭美味，食材新鮮"""
36,2019/05/09,5,"""煎司目魚超好吃"""
37,2019/05/09,4,""" 深夜食堂。，，"""
38,2019/05/09,5,"""價格親民★★★★★，親切度★★★★★，炒飯敲好吃~~鮮蚵湯很鮮甜!，尤其是旗魚米粉~認為是招牌招牌，點菜的大哥人很親切,不過現場位子少少~ ，還會想一來再來的店"""
39,2019/07/09,4,"""庶民小吃，經濟美味"""
40,2019/08/09,4,"""熱炒飯.菜.麵.樣樣都好出😋😋😋"""
41,2019/09/09,5,"""絕對是五星好評"""
42,2019/10/09,3,"""(由 Google 提供翻譯) 在Goro吃雞飯的孤獨的美食餐廳旁邊！，，這家店充滿了當地的感覺。大多數店員不會說日語或英語，但只有背心的兄弟才是日本的小侄女leryo。他是一個非常善良的兄弟，並問我一個不在菜單上的輪盤賭。畢竟，糙米已經結束，我不能吃它。，，基本食物如照片所示。炒綠色蔬菜和肉類似乎是白米飯。這是台灣的第一天，但它並不關心衛生。 Goro-san也應該在這裡吃。 。 。，，我問了炒飯。雖然它有點淡，但炒飯是必須的！毫無疑問！炒飯在世界各地都很好嗎？ 。 。 …"""
43,2019/10/09,2,"""炒飯加旗魚米粉絕配(昔)，＊2019/9月再去😩炒飯變得非常難吃＊，今非昔比，收回四顆星評價。"""
44,2019/11/09,5,"""食材新鮮好吃，服務態度超好"""
45,2019/11/09,5,"""在地的古早味，好吃也便宜，懷念的好滋味喔大家要去捧場喔！"""
46,2019/11/09,5,"""炒米粉很好吃，不會太乾"""
47,2019/11/09,5,"""限定現炒，東西超好吃，很好吃"""
48,2019/12/09,5,"""年輕老闆服務態度很好~值得讚揚"""
