id,date,star,text
1,2018/05/09,5,"""南部口味的熱炒 鱔魚麵酸酸甜甜的味道讓人意猶未盡 吃完很滿足 下次還要來吃"""
2,2018/05/09,5,"""最高CP值老闆又挺帥🤗"""
3,2018/05/09,5,"""每樣東西都超好吃的呀，用料實在，老闆人又親切！推推～"""
4,2018/05/09,5,"""汁多味美～下班想說隨便吃一下，沒想到平凡的巷弄中，竟然有如此美味的食物，好吃^_^下次會再去"""
5,2018/05/09,5,"""好好吃喔～老闆人也很好～一定要五個星的啊～"""
6,2018/05/09,4,"""還不錯"""
7,2018/05/09,4,"""老闆動作很快不錯吃"""
8,2018/05/09,5,"""台北最道地的台南故鄉口味！"""
9,2018/05/09,4,"""還沒吃過改天在去吃看看"""
10,2018/05/09,4,"""鱔魚意麵比在過去的那家阿寶師好吃多了，麻油腰只非常超值，而且吃起來入口即化"""
11,2018/05/09,5,""" 在地好滋味，，"""
12,2019/05/09,4,"""炒麵有讓人懷念老台北口味，好吃"""
13,2019/05/09,3,"""店家招呼蠻親切的加1⭐。可惜鱔魚意麵的味道跟南部完全不同，不合個人味蕾。炒蛤仔調味也跟北部一般風味不同，也是不習慣。"""
14,2019/05/09,5,"""鱔魚麵是勾芡的羹麵，有微酸的醋味，雖然是台南鱔魚麵，可是不像台南的鱔魚意麵那麼甜，一盤一百還算可以接受，另外也還有一些熱炒類的菜，攤位在壽司店的騎樓。"""
15,2019/05/09,4,"""鱔魚麵好吃但是分量不大，麻油腰只時價(250)"""
16,2019/05/09,3,"""鱔魚意麵中的意麵炒的還不錯，口感偏有嚼勁，不會有爛爛的感覺，口味上也有做到酸中帶有一滴滴微甜的味道，跟台南口味有87分像，但是主角鱔魚本身的表現就不太行了！新鮮的鱔魚應該要是帶有脆度的，但是這裡的鱔魚完全沒有，新鮮度不足，給的也有點少，可惜囉！"""
17,2019/05/09,2,"""跟台南口味完全不合，麵也不是意麵，非常不推"""
18,2019/05/09,3,"""炒鱔魚意麵味道不台南＞＜～味道合胃口SORRY ，但麵好吃，然後服務很好"""
19,2019/06/09,3,""" 來這裡吃鰻魚炒麵，還可以，鰻魚很少。還下令豬腎，用麻油炒，這是平均水平，但出人意料的昂貴，250美元。有點令人失望！，，"""
20,2019/07/09,4,"""點了鱔魚意麵跟炒花枝，滿好吃的，但份量不多，應該是點菜配飯比較適合"""
21,2019/08/09,5,"""真的不錯啦 我第一次吃"""
22,2019/08/09,5,"""好吃，宵夜好去處"""
23,2019/08/09,2,"""上星期去吃  點了鱔魚意麵  鱔魚不新鮮  有漂白水味道  調味太酸 味素太重  一點都不像台南鱔魚意麵"""
24,2019/09/09,4,"""這間炒得也很好吃"""
25,2019/09/09,5,"""鱔魚炒麵很入味，好吃。"""
26,2019/10/09,3,"""鱔魚意麵雖然是用意麵不是油麵，但口味跟台南的勾芡版本吃起來還是不一樣，而且有加豆芽菜剛好我不喜歡，但鱔魚算新鮮雖然沒有到很脆但沒有腥味！，今天吃到的地雷就屬炒劍筍，雖然色澤豐富多加了碗豆和黑木耳、番茄陪襯，但是筍子本身吃起來有個怪味，不好意思告知板娘，口味上跟最一般的豆瓣炒劍筍也不一樣味道，可能加了番茄口味變略酸；最推薦的大概就是蛤仔湯，飽滿大顆但是小小一碗時價竟然要120元太貴了！"""
27,2019/10/09,2,"""排隊人太多了"""
28,2019/11/09,4,"""吃起來還不錯"""
29,2019/11/09,3,"""口味雖然有點偏甜，但鱔魚意麵口味普普，沒有高雄台南的好吃，態度算親切。"""
30,2019/11/09,3,"""物美價廉還不錯"""
31,2020/01/09,5,""" 在地的好味道，好吃又便宜，，"""
32,2020/02/09,2,"""東西真的不便宜~也不正宗，份量很《大》，大到19人吃將近30道菜還沒一個人吃飽，而且還有9道是主食，不會再去第二次了"""
33,2020/04/09,3,"""味道不像台南吃到的口味，分量算多，整體還可以"""
34,2020/05/05,2,"""鱔魚意麵火候不夠"""
