id,name,date,star,text
1,阿文熱炒,2018/05/09,5,"""環境乾淨，價錢實在"""
2,阿文熱炒,2019/05/09,5,"""第一次來訪，食材新鮮，東西好吃，值再來😋"""
3,阿文熱炒,2019/05/09,3,"""大都市的小街巷、簡便、口味不錯。"""
4,阿文熱炒,2019/05/09,4,""" 在走道上，不容易發現，但食物是非常食物，，"""
5,阿文熱炒,2019/05/09,4,"""無菜單古早味古厝餐廳 沒特別裝璜 雖是平常菜色卻復古作法 ，新鮮好場吃"""
6,阿文熱炒,2019/05/09,5,"""食材新鮮，菜色澎湃，值得再訪"""
7,阿文熱炒,2019/05/09,5,""" 在延平北路日式磚房小巷內，全店只有阿文師一人服務，不是識途老馬或熟人帶來，決吃不到美食。，，"""
8,阿文熱炒,2019/05/09,5,"""滷味超級棒，其他菜色也很好吃"""
9,阿文熱炒,2019/05/09,5,"""週日是要預約的，好吃新鮮"""
10,阿文熱炒,2019/05/09,5,"""平價海鮮無菜單料理"""
11,阿文熱炒,2019/05/09,5,"""隱身小巷弄內的豐盛料理，有提供一般的炒麵炒飯口味適宜，也有魚卵/煎白帶魚/沙茶空心菜牛肉/燙魷魚等等料理，平實而美味。"""
12,阿文熱炒,2019/05/09,2,""" 小巷內、不方便停車！晚上喝酒吵鬧！，，"""
13,阿文熱炒,2019/05/09,2,"""好吃的海產料理"""
14,阿文熱炒,2019/05/09,5,"""非常的古早味 不花俏 但是能吃到食物的原味 而且是一個健康的料理方式 我覺得很好 吃 所以我會常常來 唯一的缺點就是 老闆太酷了"""
15,阿文熱炒,2019/05/09,5,"""很厲害"""
16,阿文熱炒,2019/05/09,5,"""簡單中見真功夫，日常菜色中有真滋味。"""
17,阿文熱炒,2019/05/09,5,"""真正的古早味 料理 樸實不花俏 吃得出師傅的好廚藝 也吃得到食物的原味 價格來說更是非常的親民 真的很值得 一再的推薦"""
18,阿文熱炒,2019/05/09,4,"""經濟實惠"""
19,阿文熱炒,2019/06/09,5,"""經濟實惠，便宜好吃。"""
20,阿文熱炒,2019/06/09,5,""" 物超所值，，"""
21,阿文熱炒,2019/06/09,4,""" CP值高，，"""
22,阿文熱炒,2019/06/09,4,"""平價有趣的無菜單料理，建議四個人以上去吃點四百元/人"""
23,阿文熱炒,2019/06/09,5,"""菜色棒，雖然老闆不說話"""
24,阿文熱炒,2019/07/09,5,"""沒有菜單，沒有服務生，只有老闆一個人，一切自助式，很輕鬆自在吃飯聊天喝酒，，雖然沒菜單，每道料理都料好實在美味，只要跟老闆說預算和人數，老闆絕對不會讓你失望！，，我也常只有訂位，沒跟老闆說預算，隨老闆出菜，有甚麼出什麼吃甚麼，，四五個人菜錢竟然一千左右而已，吃到又飽又好吃"""
25,阿文熱炒,2019/07/09,5,"""沒有菜單，老闆自己一個人，看想吃什麼菜或肉，老闆就會炒出來。好吃而且便宜👍"""
26,阿文熱炒,2019/08/09,5,"""正港巷仔內!!，不會讓你失望的超級隱藏美味!!"""
27,阿文熱炒,2019/08/09,5,"""老闆很認真自己點單然後回廚房做餐(寡言不交際)，雖然沒有menu，但絕對可以信任食材新鮮度&份量與價錢的實在! 去跟老闆要湯匙的時候還看到廚房環境維持得整潔，難得實在的小店，隱藏巷弄中， 超推薦來這裡聚餐，沒壓力 又美味，是我個人吃過最不油膩的""熱炒店"""""
28,阿文熱炒,2019/09/09,2,""" 普普，，"""
29,阿文熱炒,2019/10/09,5,""" 好吃，，"""
30,阿文熱炒,2019/11/09,5,"""巷中巷的隱藏店家，無菜單料理，可以一人多少錢下去配。，4個人$300/人，總共六菜一炒飯。，炒海瓜子、涼拌透抽、炒豆苗菜、空心菜炒羊肉、炸三層肉、乾煎碼頭魚每道都好吃。，環境一般般，出菜不算快、沒有服務（老闆只有一個人實在太忙）"""
31,阿文熱炒,2019/11/09,5,"""炒飯炒麵，一大盤60，好吃！"""
32,阿文熱炒,2019/11/09,5,"""讚讚讚讚讚"""
33,阿文熱炒,2019/11/09,5,"""cp 值超高，同樣菜色外面餐廳至少2倍以上價錢，無菜單料理菜色都是當季食材本土口味，金牌玻璃罐竟然只收60…一定要預約，臨時來可能會因為老闆忙不過來或沒預先準備菜色而不受理，大推薦"""
34,阿文熱炒,2019/11/09,5,"""一桌7000元13個人吃好吃吃滿，食材新鮮，烹調原味，極推薦！！記得要預約喔～"""
35,阿文熱炒,2019/11/09,4,"""場地普普，價格實惠，食材新鮮，無菜單料理的店。"""
36,阿文熱炒,2019/11/09,4,"""老闆一個人，負責煮，送菜，收拾，收錢，真厲害。海鮮類清蒸，就是新鮮好吃，不用過多的調味。"""
37,阿文熱炒,2019/12/09,4,"""讚！"""
38,阿文熱炒,2019/12/09,5,"""誇張好吃又划算！"""
39,阿文熱炒,2019/12/09,5,"""地表最強熱炒"""
40,阿文熱炒,2019/12/09,5,"""不太吃海鮮的也能吃到美好的古早味料理"""
41,阿文熱炒,2019/12/09,5,"""新鮮！生猛！大器！一試成主顧就是這種感覺。"""
42,阿文熱炒,2020/01/09,4,""" Taiwanese Omakase您可以以每人$ 300- $ 500,000的價格享用各種食物。，，"""
43,阿文熱炒,2020/01/09,5,"""每一道菜都好吃，真的是隱藏版的美食"""
44,阿文熱炒,2020/01/09,5,"""沒有菜單，直接告訴老闆預算請老闆幫我們做。上來的食物不止份量很多，海鮮也很新鮮，味道古早在地很不錯。性價比超級高，吃得心滿意足~"""
45,阿文熱炒,2020/01/09,5,"""無菜單，cp值高一人大約3～5佰，啤酒也不貴，一支60。在巷弄裡，外頭滿安靜，老闆不太說話，一人照顧全場，菜色新鮮好吃，已經造訪好幾次，缺點是離捷運站較遠，吃完可以去旁邊星聚點續攤😂另外自行帶酒不收開瓶費。"""
46,阿文熱炒,2020/01/09,4,"""朋友推，於是和太太兩人來探路試吃。無菜點了每人500的，涼透抽，滷味大腸豬尾巴，炒海瓜子，炒豆苗，炒高麗菜，炸三層肉，炸魚一共7樣菜。老闆一人包全場，犀利。結賬時和老闆說下次想吃蒸魚，他說可以先說。菜色口味很清爽不油膩，環境非常簡單，常客滿座，建議邀約多人一起來就能大快朵頤，價錢非常公道，絕對推薦。"""
47,阿文熱炒,2020/01/09,5,""" 好吃便宜，，"""
48,阿文熱炒,2020/01/09,5,"""食物新鮮 好吃"""
49,阿文熱炒,2020/02/09,5,"""老闆很用心的準備無菜單料理，需要預約，還要跟老闆說什麼不吃提醒他一下，並跟他說準備一個人多少錢的料理，非常推薦！"""
50,阿文熱炒,2020/02/09,5,"""好吃，超豐富！"""
51,阿文熱炒,2020/02/09,5,"""隱藏巷弄的高CP海鮮熱炒，口味適中不像一般熱炒重油重鹹"""
52,阿文熱炒,2020/03/09,1,"""跟抽福袋一樣，吃什麼完全取決於老闆心情，適合賭性堅強的人試試看"""
53,阿文熱炒,2020/03/09,4,"""料好價廉。環境整潔。桌椅乾淨"""
54,阿文熱炒,2020/04/09,5,"""相當好吃的一間店，便宜，啤酒才50，老闆有個性不愛說話"""
55,阿文熱炒,2020/04/09,5,"""好吃又超值的熱炒，非常值得推薦"""
56,阿文熱炒,2020/04/09,1,"""有個性不如說是個性差，環境差，花錢受罪，問一下菜單，不知道在沒耐性個什麼東西。"""
57,阿文熱炒,2020/05/08,3,"""連吃二天，小菜很棒，大菜不行！"""
58,阿文熱炒,2020/05/09,3,"""連吃二天，小菜很棒，大菜不行！"""
59,阿文熱炒,2020/05/11,1,"""連吃二天，小菜很棒，大菜完全不行！爛！"""
60,阿文熱炒,2020/05/12,1,"""連吃二天，小菜很棒，大菜完全不行！爛！"""
