id,date,star,text
1,2015/05/17,5,""" 大推～，，"""
2,2015/05/17,5,"""陽台氣氛不錯"""
3,2016/05/17,3,"""便宜份量大，水準就海鮮熱炒餐廳說不上多精緻，營業到很晚。"""
4,2016/05/17,4,""" 雖然它的名字聽起來像一個成人夜總會，但它實際上是一個啤酒花園，提供重味道的菜餚，讓你口渴，喝更多。朋友聚會或團隊建設的良好氛圍。，，"""
5,2016/05/17,4,"""夠炒夠熱鬧，9人吃4000元。平均500內。"""
6,2016/05/17,3,"""不是特別精緻但是適合聚會，晚上生意很好，二樓看出去別有風味，炒蔬菜好吃"""
7,2016/05/17,4,"""好吃，氣氛熱鬧"""
8,2017/05/17,3,"""味道還可以"""
9,2017/05/17,5,""" 敲好ㄘ！，，"""
10,2017/05/17,3,"""有點貴"""
11,2017/05/17,4,""" 這是一個嘈雜，擁擠的地方，有很多食物可供選擇 - 正如熱炒店應該是。與其他地方相比，食物平庸。，，"""
12,2017/05/17,3,"""地方local，東西普通"""
13,2017/05/17,4,""" 就是聚餐爽吃哈哈，，"""
14,2017/05/17,3,"""餐點價位Ok但環境略嫌髒亂"""
15,2017/05/17,3,"""烤魚，蒸魚 都很用心"""
16,2017/05/17,4,"""從小吃到大的老店，炸肥腸美味"""
17,2017/05/17,4,""" 它價格便宜，味道很好，但聲音很嘈雜，因為它位於主要街道一側。還有日式菜單，，"""
18,2017/05/17,2,"""臺北難得的平價炭烤，49元可以吃到一條烤魚，新鮮又好吃。除了環境比較簡單外，菜色、口味都已經很划算！而且不限時，適合朋友們來吃吃喝喝兼聊天！105/9/1感覺份量變少很多，而且熱炒的味道也沒以前好。"""
19,2017/05/17,4,"""適合聚餐的地方"""
20,2017/05/17,3,"""聚餐的好地方。單價便宜但是主打的海鮮的新鮮度實在不太行，算是吃多樣化跟吃氣氛的好地方。"""
21,2017/05/17,4,"""海產新鮮"""
22,2017/05/17,5,""" 好吃，店家友善，，"""
23,2017/05/17,5,"""覺得CP值頗高，跟一群朋友吃爽喝足大概三百初而已"""
24,2017/05/17,5,""" 上菜迅速，料理美味，，"""
25,2017/05/17,3,"""菜色普普,價錢略高."""
26,2017/05/17,4,""" 不錯！，，"""
27,2017/05/17,4,"""熱炒宵夜的好所在！"""
28,2017/05/17,4,"""價位實在"""
29,2017/05/17,4,"""熱炒蠻多樣的，份量略少，啤酒選擇多。"""
30,2017/05/17,3,"""料理不錯 價格合理 但不是每道菜都好吃"""
31,2017/05/17,4,"""位在大安森林公園對面的小店，由於地利優勢，在二樓陽台吃別有一番風味，價格稍貴"""
32,2017/05/17,5,"""半夜慶功的必選之地，便宜好吃"""
33,2017/05/17,3,""" 很不錯的食物。優越的地理位，，"""
34,2017/05/17,3,""" 如果天氣晴朗，並且您可以在人行道上擺一張桌子，那麼這個地方會獲得額外的星級。食物一般都不錯，特別是鹹豬肉（咸豬肉）。價格合適，啤酒很冷。對於recho，您可能會做得更糟，但那裡也有更好的地方。，，"""
35,2017/05/17,5,"""我們有點的每道菜都好好吃喔我的天，CP值又高！，Here is one of my favorite Taiwanese food restaurants!"""
36,2017/05/17,5,"""推薦海鮮!"""
37,2017/05/17,1,"""皮蛋炒菜沒有青菜直接出青菜  鹹蛋苦瓜忘記放鹹蛋 ~ Nice atmosphere to experience local food but the service,the food quality and food portion are extremely disappointing ~"""
38,2017/05/17,4,"""以台北市來說，食物價位便宜合理；但二樓露天位子商家默許可以抽菸，對非吸菸者來說有點不適應。"""
39,2017/05/17,4,"""適合聚餐"""
40,2017/05/17,4,"""清蒸斧頭魚沒有特別好吃，反而覺得有點隨便，麻油川七.炒麵.海瓜子.三杯土雞都好吃！ 喜歡坐在二樓，每一桌都好嗨！ 廁所超級簡陋..."""
41,2017/05/17,4,"""還不錯吧"""
42,2017/05/17,5,"""新鮮好吃"""
43,2017/05/17,5,"""料多味美又不貴，地點絕佳～"""
44,2017/05/17,3,"""熱炒店來說算貴"""
45,2017/05/17,4,""" 很好吃^^ 不太油😀，，"""
46,2018/05/17,4,"""適合聚餐的好選擇"""
47,2018/05/17,5,"""真的好吃，熱炒店不需要其他評論，就是好吃!"""
48,2018/05/17,4,"""料理好，空間寬敞"""
49,2018/05/17,4,"""除了環境比較復古，其他都很不錯"""
50,2018/05/17,2,"""東西 還好但是常常會有點的菜沒有送上來 現場也有點髒亂甚至於有的要坐在機車旁吃"""
51,2018/05/17,3,"""還可以"""
52,2018/05/17,3,"""海鮮碳烤"""
53,2018/05/17,5,""" 大安公園地區最佳海鮮餐廳，，"""
54,2018/05/17,5,""" 好吃，，"""
55,2018/05/17,4,""" 喝啤酒的好地方，，"""
56,2018/05/17,3,"""Cp質高，口味不錯，下班酒聚好場合"""
57,2018/05/17,4,"""吃飯"""
58,2018/05/17,5,"""老闆每天新鮮補貨，海產怎麼吃都可以問老闆，，但是炒飯還是不習慣有菜脯⋯😓"""
59,2018/05/17,1,"""隔壁晚來的十幾個人都上完菜了，我們才點六道一個小時上不完，很少來評論....，是認真覺得這種態度很討厭！，在樓上問第一次，竟然叫我自己下去講，第二次我說不需要了，才很緊張，傻眼傻眼傻眼😒"""
60,2018/05/17,4,"""CP值高..,但環境一般"""
61,2018/05/17,4,"""真的很新鮮"""
62,2018/05/17,4,"""推！，CP值還不錯，口味也挺好的，環境嘈雜了點"""
63,2018/05/17,3,"""這個地方，要來很方便"""
64,2018/05/17,5,""" 美味熱炒。好在雨中。，，"""
65,2018/05/17,4,"""還算平價好吃，氣氛取勝，場地簡陋但還算舒適，沒有冷氣但有強力電扇。"""
66,2018/05/17,5,""" 菜色豐富、價格實惠、聚餐的好選擇，唯一缺點就是生意太好人多就比較熱鬧，聊天比較會被幹擾，，"""
67,2018/05/17,5,"""海鮮很新鮮"""
68,2018/05/17,5,""" 非常非常好吃。如果您想品嚐典型的台灣小吃和冷啤酒。這是你必須來的地方。，，"""
69,2018/05/17,3,"""大安區難得的體驗"""
70,2018/05/17,4,"""地點佳,適合三五好友小聚喝上一杯,菜色多口味也不錯,就是便宜。"""
71,2018/05/17,5,"""幾十年的熱炒店"""
72,2018/05/17,3,"""。😊"""
73,2018/05/17,4,"""鮮烤魚，平價"""
74,2018/05/17,4,""" 好的菜單，美味的海鮮和啤酒。嘈雜和擁擠，但感覺很好的環境。您只需檢查一下是否正在下雨。，，"""
75,2018/05/17,3,"""平價海鮮 賣相不是很好 但新鮮"""
76,2018/05/17,1,"""髒亂"""
77,2018/05/17,3,"""平價熱炒、位置方便、桌子椅子太矮不舒服"""
78,2018/05/17,3,"""就是一個熱炒店 地點佳"""
79,2018/05/17,5,"""老闆很親切 上菜速度很快"""
80,2018/05/17,5,"""比較便宜的美食現炒 新鮮美味服務也不錯值得去品嚐"""
81,2018/05/17,4,"""菜順序有趣"""
82,2018/05/17,4,"""價格稍高 手藝跟份量不錯"""
83,2018/05/17,5,""" 真的很好。有很多學生的酒吧。，，"""
84,2018/05/17,5,""" 宵夜小酌，，"""
85,2018/05/17,2,"""個人不愛，位子不好坐"""
86,2018/05/17,4,"""價格實惠，口味不錯"""
87,2018/05/17,4,"""食物算好吃，價格上還算公道，上菜的速度也蠻快的，不會因為是在鬧區就特別的貴，對於下班想要喝酒聊天的人可以來這裡聚聚，只是對於討厭煙味的人可能就會比較不適合。"""
88,2018/05/17,5,"""烤一條魚才$49. 真划算. 熱炒也好吃.湯類好大一鍋. 又面對著大安森林公園. 大推"""
89,2018/05/17,3,"""海鮮很新鮮，種類多"""
90,2018/05/17,3,""" 食物總體來說很好。沒什麼特別的。和朋友一起去喝啤酒。建築物感覺就像是由垃圾製成的。當人們走路或廚師在樓下做飯時，第二層振動。，，"""
91,2018/05/17,5,"""服務好氣氛佳"""
92,2018/05/17,3,"""價錢便宜"""
93,2018/05/17,5,"""隔壁也有一家快炒，差點走錯。，一代佳人的菜品價格實在，二樓是半個戶外，空氣比較好，聊天吹牛比較無拘束。"""
94,2018/05/17,4,"""不錯的熱炒店"""
95,2018/05/17,5,""" 美味的食物，但我看不懂餐廳的名稱：D，，"""
96,2018/05/17,3,"""適合聚餐"""
97,2018/05/17,5,"""海鮮現撈新鮮，烤魚一尾49元，好吃又便宜。"""
98,2018/05/17,4,"""平價、好吃!"""
99,2018/05/17,4,"""地點不錯，每一道餐點菜色都不錯吃！很適合同事或好友聚餐聊天！"""
100,2018/05/17,5,""" 食物很好。價格公道。提供戶外座位。強烈推薦。，，"""
101,2018/05/17,5,"""好吃 價位在大安區算便宜 。"""
102,2018/05/17,4,"""價格取勝"""
103,2018/05/17,4,"""菜色豐富多樣，價格合理，碳烤系列馳名，尤以臭豆腐必點！"""
104,2018/05/17,5,"""好吃，熱鬧，快速"""
105,2018/05/17,4,""" 食物還不錯。樓上的半露天座位，搭配週邊的大樹，很有 street food 感覺，適合帶老外來嚐鮮。，，"""
106,2018/05/17,5,""" 好的經歷，，"""
107,2018/05/17,5,"""便宜好吃，台北市內吃飯喝酒適宜，價格大約450，但口味偏辣。"""
108,2018/05/17,3,"""純喝酒配菜"""
109,2018/05/17,4,"""海產新鮮，有台啤18天😋"""
110,2018/05/17,3,""" 普通，，"""
111,2018/05/17,3,"""龍珠炸太老"""
112,2018/05/17,5,"""場地雖然較為簡單，但是整體而言食物跟價格都不錯，適合同事下班聚餐。"""
113,2018/05/17,4,""" 一個放鬆的飲料和小吃菜餚的好地方。，，"""
114,2018/05/17,4,""" 100韓元吧。二樓有戶外座位，桌子很低。去了周邊酒店的晚餐地方，食物美味了。，，"""
115,2018/05/17,3,""" 一個普通人的商店。，味道不錯。，，"""
116,2018/05/17,3,"""我們坐在二樓，地板感覺是鐵板焊接起來的，雖然上面做一堆人看似很穩，但總覺得有點可怕。，餐點不錯吃，價格不算便宜。，另外，餐廳內可以抽煙這點讓我很感冒！"""
117,2018/05/17,4,"""新鮮，好吃！但不喜菸味的請慎思"""
118,2018/05/17,3,"""平價熱炒，稍鹹"""
119,2018/05/17,3,"""熱鬧 食物還好"""
120,2018/05/17,5,"""好吃好聊天的場所，價格合理，很棒的快炒店"""
121,2018/05/17,3,"""價位親民熱炒小吃"""
122,2018/05/17,3,"""還可以，不錯吃"""
123,2019/05/17,3,"""便宜好吃但環境不佳"""
124,2019/05/17,3,"""食材可以，環境普通，不禁煙不喜歡。"""
