id,name,date,star,text
1,九三熱炒,2016/05/09,4,"""不錯！"""
2,九三熱炒,2017/05/09,3,"""中午的特餐還不錯"""
3,九三熱炒,2017/05/09,3,"""吃過中午商業套餐，適合上班族來吃，也冷氣座位也算寬闊，菜的部分有點油膩，但整體還不錯"""
4,九三熱炒,2017/05/09,4,"""好吃，內用有免費的湯跟飲料。"""
5,九三熱炒,2017/05/09,3,"""中午的特餐還行 座位舒適 飯湯飲料可以自行取用"""
6,九三熱炒,2017/05/09,4,"""價格菜色不錯，適合上班族快速用餐"""
7,九三熱炒,2017/05/09,3,"""口味還可以，但店內空氣不流通，廚房味道飄散整間店，用餐過程不是很舒適"""
8,九三熱炒,2017/05/09,5,"""蝦仁滑蛋份量多，好吃又便宜^_^ """
9,九三熱炒,2017/05/09,4,"""便宜有快速的便餐 口味還行"""
10,九三熱炒,2017/05/09,4,""" 便宜方便。，，"""
11,九三熱炒,2017/05/09,4,"""價格合理"""
12,九三熱炒,2017/05/09,3,"""價格OK"""
13,九三熱炒,2017/05/09,5,"""好吃，價格合理！最愛海鮮湯麵啦"""
14,九三熱炒,2017/05/09,5,""" CP值高，少喝酒客。，，"""
15,九三熱炒,2017/05/09,4,""" 方便好吃，，"""
16,九三熱炒,2018/05/09,3,"""頗多上班族的聚餐場所 口味很台式的日料。中規中矩隱身巷子的餐廳。"""
17,九三熱炒,2018/05/09,5,"""東西很多也都很好吃"""
18,九三熱炒,2018/05/09,3,"""蝦仁滑蛋套餐還不錯，座位寬敞舒服，服務還不錯，價位平實，離古亭站很近，很多上班族的午餐都是在這裡打發的。"""
19,九三熱炒,2018/05/09,4,"""平價，好吃"""
20,九三熱炒,2018/05/09,3,"""我與兄弟聚會好地點"""
21,九三熱炒,2018/05/09,5,"""隱藏版的美食"""
22,九三熱炒,2019/05/09,4,"""熱炒喝酒的地方，經濟實惠，火鍋不錯"""
23,九三熱炒,2019/05/09,4,"""午間餐點相對平價，但依然富有特色風味，且不同於一般午餐"""
24,九三熱炒,2019/05/09,5,"""合菜熱炒客飯齊備，適合不同需求的用餐者！"""
25,九三熱炒,2019/05/09,4,"""烤鯖魚超好吃"""
26,九三熱炒,2019/05/09,4,"""口味不錯，天天有3種特價餐點，經濟實惠👍，老闆跟員工態度都很和善，有在家裡用餐的fu，可惜餐廳油煙味太重"""
27,九三熱炒,2019/05/09,5,"""肉絲炒麵加大滿飽的，cp值不錯"""
28,九三熱炒,2019/05/09,4,"""好吃的美食，會來再訪"""
29,九三熱炒,2019/05/09,3,"""簡餐的話，金沙豆腐和滑蛋蝦仁還不錯，其他就有點普通；單點炒菜的話，味道會比簡餐好一些"""
30,九三熱炒,2019/05/09,5,""" 好吃，，"""
31,九三熱炒,2019/05/09,3,"""不管是熱炒或個人套餐都還可以，算挺平價的。"""
32,九三熱炒,2019/05/09,4,"""口味不錯! 每天還有特價套餐~"""
33,九三熱炒,2019/05/09,4,"""中午常來吃簡餐"""
34,九三熱炒,2019/05/09,4,"""高CP值餐廳"""
35,九三熱炒,2019/05/09,2,"""口味太鹹，沙茶牛肉沒炒熟"""
36,九三熱炒,2019/05/09,3,"""金沙豆腐便當不錯，有許多便當總類。"""
37,九三熱炒,2019/05/09,4,"""蒜泥白肉 蒜蓉醬調的比例蠻剛好 某些便當有打折 可以使用街口支付"""
38,九三熱炒,2019/05/09,4,"""超值的簡餐，美味的料理"""
39,九三熱炒,2019/05/09,3,"""還ok"""
40,九三熱炒,2019/05/09,5,"""彩色齊全，口味到地，各類新鮮海魚，非常開胃非常下飯"""
41,九三熱炒,2019/05/09,5,"""家常菜，口味還不錯囉!"""
42,九三熱炒,2019/05/09,4,"""就是熱炒店，但有午餐特餐，飯、菜、主菜，口味吃起來尚可，可以用街口支付覺得很OK"""
43,九三熱炒,2019/05/09,5,"""東西好吃人親切"""
44,九三熱炒,2019/05/09,4,""" 一般般，方便，，"""
45,九三熱炒,2019/05/09,3,"""老闆很👌"""
46,九三熱炒,2019/05/09,4,"""還不錯"""
47,九三熱炒,2019/05/09,4,"""個人中式簡餐或小型餐聚的好選擇。"""
48,九三熱炒,2019/05/09,5,"""每日會有特價餐點"""
49,九三熱炒,2019/05/09,5,"""好吃到不行，價格合理"""
50,九三熱炒,2019/06/09,4,"""中午有特餐 不錯"""
51,九三熱炒,2019/06/09,5,""" 有便宜的午餐，，"""
52,九三熱炒,2019/06/09,5,"""高cp值熱炒店，也提供個人快餐，糖醋魚飯(100元)附三個菜，內用湯/熱烏龍茶/冰冬瓜茶暢飲，，每個捷運站旁都該有一家這種店"""
53,九三熱炒,2019/07/09,4,""" 美味，份量偏少，，"""
54,九三熱炒,2019/08/09,4,"""中午的午餐還不錯 還有自取湯跟飲料"""
55,九三熱炒,2019/09/09,3,"""每天有三種特價餐可選"""
56,九三熱炒,2019/10/09,5,""" 道地美食，精烹入味，富人情味，，"""
57,九三熱炒,2019/11/09,5,""" 好吃，很清淡，，"""
58,九三熱炒,2019/12/09,4,""" 速度快，吃午餐的好地方，，"""
59,九三熱炒,2019/12/09,5,"""每樣菜都秒殺，價廉物美，CP值超高。"""
60,九三熱炒,2019/12/09,4,"""老闆親切。近古亭站，交通方便。"""
61,九三熱炒,2020/01/09,4,"""不知是老闆換人還是過年前較忙，已取每日90元特餐，菜飯量好像有比以前少。"""
62,九三熱炒,2020/01/09,5,"""改變餐點比以前CP值高，，尤其是合菜六菜一鍋只要1180元附白菜色還可任選，，超值得推飯吃到飽，，"""
63,九三熱炒,2020/01/09,5,"""週日晚路過竟然有營業，覺的店內擺設改變了，原來是剛換老板，老板娘推薦六菜一湯合菜只要1180，每種菜可以三選一，大人小孩都覺的好吃掃盤，下次再來嚐嚐別種菜色。"""
64,九三熱炒,2020/02/09,5,"""超級美味！價錢平價！，無論是桌菜還是便當都令人回味！，還會再來"""
65,九三熱炒,2020/03/09,4,"""氣氛好"""
66,九三熱炒,2020/03/09,3,"""食材馬馬虎虎，炒工一"""
67,九三熱炒,2020/04/09,5,"""免費停車場，星光歌手註唱，感覺不錯"""
68,九三熱炒,2020/04/09,5,"""菜色多樣，聽說換老闆了"""
69,九三熱炒,2020/05/09,3,"""餐點份量滿“精緻“的，店內有街口支付的牌子，在街口支付app也可以找到他這間店，但實際要使用時卻被告知不能用？，餐點口味尚可，但是真的吃不飽，價格以快炒店來說算是普通，滑蛋蝦仁飯，料只有一些些"""
