id,date,star,text
1,2013/05/14,4,"""碳烤臭豆腐讓人驚豔."""
2,2013/05/14,4,"""有點貴,但氣氛佳"""
3,2015/05/14,5,""" 好吃，但上菜慢。，，"""
4,2016/05/14,4,""" 聚餐用，不用自己烤肉，，"""
5,2016/05/14,3,"""訂位50人，結果安排的位置在邊邊，幾個小方桌組合起來的長條卓，坐起來很擁擠，菜色方面就一般熱炒的菜色!"""
6,2016/05/14,4,"""好吃 份量不錯 露天氣氛很好"""
7,2016/05/14,4,"""有氛圍 料理不錯"""
8,2016/05/14,4,"""老字號熱炒店，夠炒夠熱鬧"""
9,2016/05/14,1,"""價錢偏高～菜量太少～出菜速度真的太慢⋯⋯，唯獨柳葉魚39元物超所值～～，服務態度也不是很好～可能太忙的關係吧=_="""
10,2017/05/14,4,""" 美味的食物和良好的氛圍。與其他rechao餐廳相比有點貴，經常很忙，，"""
11,2017/05/14,4,""" 便宜又好吃，，"""
12,2017/05/14,4,"""好吃，但價位其實不便宜"""
13,2017/05/14,5,""" 外籍人士，，"""
14,2017/05/14,4,"""跟隔壁間的差別一直沒搞清楚，聚餐爽吃"""
15,2017/05/14,4,"""是老店 很熱鬧 好食多"""
16,2017/05/14,3,"""味道不錯，小貴"""
17,2017/05/14,4,"""這邊的價位大約在中間部位，如果要來吃的話最好人多一點，然後點多樣菜色，這樣每個人分攤的錢才不會太多。，燒烤部分就還不錯，肉串部分推薦吃吃看，但怕點單種肉串不划算的話可以點綜合烤肉串；停車部分外面就有機車停車位，汽車部分就要到大安森林公園停車場了。"""
18,2017/05/14,5,"""聚會的好場所，好吃的熱炒店，帶了許多朋友去吃過，沒有一次不滿意。"""
19,2017/05/14,4,"""與好友喝酒吐苦水的地方。"""
20,2017/05/14,3,"""金莎四季豆 👍 阿姨人有時候會小迷糊但其實跟家人感覺沒兩樣很親切，這裡還有帶叫計程車的貼心服務"""
21,2017/05/14,4,""" 聚餐的好地方，，"""
22,2017/05/14,5,"""適合三五好友聚餐，推薦煎豬肝、臭豆腐、炒飯！"""
23,2017/05/14,4,"""價格合理，離捷運站近。，長安東路熱炒街，因為多數店家的天花板都不高，迴音嚴重，每一桌酒酣耳熱之際，難免講話大聲一點。最後和朋友講話，經常必須要用吼的才聽得見。，八仙則是半露天的環境，無論空氣品質或彼此講話，都好得多。但裝潢就差一些。"""
24,2017/05/14,3,""" 平宜好吃，，"""
25,2017/05/14,3,""" 露天的座位，，"""
26,2017/05/14,5,"""除了老闆娘拉客人有點困擾以外，東西都好吃、價格合理。"""
27,2017/05/14,5,"""普通的熱炒店，服務親切"""
28,2017/05/14,5,"""可以吸到馬路上汽機車的廢氣，有汽機車的噪音陪伴"""
29,2017/05/14,5,""" 一個受歡迎的台灣ReCao（Hot Fry）與外國人和當地人一樣，並且有充分的理由。這是一個非常棒的中心地方，讓你的台灣美食和甘貝啤酒。服務也很不錯，特別是樓下的經理總是最樂於助人。我推薦炒飯，功泡雞和茄子;用一些“18天台灣啤酒”衝下來。他們也有一個英文菜單iirc。，，"""
30,2017/05/14,5,""" 台北好地方！，，"""
31,2017/05/14,5,"""露天讚，臭豆腐好吃"""
32,2017/05/14,5,""" 大安地區最好的台灣“酒吧”。營業近30年。，，"""
33,2017/05/14,4,""" 朋友小酌聚餐的好地方，，"""
34,2017/05/14,4,"""口味很棒的熱炒店！每道菜都獨具風味，但座位是半露天的，夏天可能會比較熱。"""
35,2017/05/14,5,"""可以說是目前吃到最好吃的熱炒店！五顆星不誇張。最推喜相逢（便宜）、豬肝（級好吃、超級嫩）、金沙四季豆（炸得恰到好、不油膩）、炒飯（鬆又香、不油、可以一人吃掉一盤）；每道菜都很好吃！用料實在，不油不鹹！只能說太推！以後都帶朋友吃這間！讚！！！👍"""
36,2017/05/14,5,""" 很好吃，，"""
