id,date,star,text
1,2019/05/09,4,"""海鮮的鮮味還能再處理得更好"""
2,2019/05/09,5,""" 氣氛很濃，但飲料便宜，小吃也很好吃！，，"""
3,2019/05/09,5,""" 真的非常好吃，大推，，"""
4,2019/05/09,5,""" 好吃！，，"""
5,2019/05/09,2,""" 口味太重，普普~，，"""
6,2019/05/09,5,"""東西好吃，重點是價格非常便宜"""
7,2019/05/09,4,"""上菜超快，味道也不錯，聚餐需要吃熱炒時的好選擇"""
8,2019/05/09,4,"""經典台式熱炒，有賣台啤18天，假日建議先訂位"""
9,2019/05/09,5,"""讚👍"""
10,2019/05/09,5,"""百元無雷熱炒、每種都適合點、上菜速度超級快，但人多時要等蠻久的！"""
11,2019/05/09,4,"""不錯吃 價錢公道 美味可口 新鮮 讚啦"""
12,2019/05/09,3,""" 便宜的，，"""
13,2019/05/09,5,"""假日來這裡會排隊很久，因料理實在美味"""
14,2019/05/09,3,"""還好場控不錯"""
15,2019/05/09,4,""" 上菜快，味道好。但份量略少，，"""
16,2019/05/09,4,"""大部分都不錯吃，但有點偏油"""
17,2019/05/09,4,"""分量中等但味道不錯，出菜速度很快，白飯免費吃到飽 湯類分量很足！！"""
18,2019/05/09,4,"""東西不錯吃，價格比一般熱炒低一些，生意超級好，但去吃的那天前台服務有點不耐煩。"""
19,2019/05/09,5,""" 好吃~，，"""
20,2019/05/09,4,"""小酌的好去處"""
21,2019/05/09,5,"""雖然我吃素自備餐點但是店員沒有森氣氣，（可能是開了一些酒？）朋友吃了覺得口味很好，列入再去聚會的優良場地清單。"""
22,2019/05/09,5,""" 一切都很棒。食物出來的速度非常快，並且有很多工作，，"""
23,2019/05/09,4,""" 我試著向香格里拉大酒店的禮賓人員詢問，但建議那些不想在高端餐廳花錢的人。，兩個人吃一杯眼睛很好吃，很便宜，台幣兌換成日元約2600日元。商店類型是一個酒吧，但對於日本人來說，它是一個大型餐館。有甜蜜的鯛魚等，但一個是700台幣。，啤酒是冰箱裡的自我提取風格。大多數觀眾都是年輕人。鄰里餐廳嘎嘎作響，但這家商店已經滿員。，香格里拉大酒店，地鐵Rokuzo站每步行4分鐘。這是地圖上的第14位。，，"""
24,2019/05/09,5,"""上菜速度很快，口味不錯"""
25,2019/05/09,5,"""難得這一區域有CP值不錯的熱炒"""
26,2019/05/09,4,"""東西好吃，價格大眾，聚餐好地方"""
27,2019/05/09,5,"""十分適合多人聚餐的地方！"""
28,2019/05/09,5,""" 優質的食物，我在那裡時不吸煙，，"""
29,2019/05/09,5,"""高CP值 不過記得訂位"""
30,2019/05/09,5,""" 喜歡這個地方，一個很棒的當地台灣海鮮菜餚，有很多啤酒，價格合理。與朋友和家人一起出去玩的好地方，營業到很晚，，"""
31,2019/05/09,5,""" 快速，便宜和美味的食物，，"""
32,2019/05/09,2,""" 我住在附近時曾經來過這裡。和朋友一起去了一趟，很失望。第一輪食物是如此平淡，我以為廚房沒鹽了。我們又加了幾道菜，這次太鹹了。，，"""
33,2019/05/09,4,""" 如果你只是在那裡享受當地美食，那就有5個統計...，，"""
34,2019/05/09,5,"""很不錯的店，經濟實惠。 Cp值很高"""
35,2019/05/09,5,"""菜色多樣、速度快"""
36,2019/05/09,3,"""上菜速度快，人非常多，價錢不貴，但份量也不算多，菜可能因為太多人所以沒入味，當天普遍沒有好評。，，最好吃是油雞，真的很好吃。"""
37,2019/05/09,5,"""上菜很快！ 料理當然也好吃 :D"""
