id,name,date,star,text
1,噗嚨哄海鮮熱炒,2017/05/11,5,"""年輕老闆服務親切，菜色美味，還會贈送拿手菜喔！"""
2,噗嚨哄海鮮熱炒,2017/05/11,4,"""菜色佳 CP值高 還有推出年菜"""
3,噗嚨哄海鮮熱炒,2017/05/11,4,"""餐點好吃，經濟實惠"""
4,噗嚨哄海鮮熱炒,2017/05/11,4,"""好吃, 價錢合理"""
5,噗嚨哄海鮮熱炒,2018/05/11,4,"""海鮮新鮮菜色美味 ，年輕服務親切~~~讚"""
6,噗嚨哄海鮮熱炒,2018/05/11,4,""" 有台啤18天，，"""
7,噗嚨哄海鮮熱炒,2018/05/11,4,"""多樣化的菜色選擇~很棒"""
8,噗嚨哄海鮮熱炒,2018/05/11,1,"""真心覺得傻眼！扯到不得不來給評，首先⋯100元的不到五樣菜⋯再者 所有菜都超油超鹹本來就知道熱炒就是重口味，但不至於連基本菜脯蛋都無法下嚥吧！，然後⋯招牌寫著現撈活海鮮，本來就沒什麼期待，沒想到連金沙透抽都硬到啃不下去，完全不新鮮啊！，再來⋯是最扯的所有的菜⋯盤子都只有麵攤的小菜大小⋯真的不騙～菜餔蛋一百多卻不到一個蔥油餅SIZE，還有還有⋯老闆推薦的薑母雞⋯老闆說現在鴨太老所以用一樣的料理方式做雞，可是🐔吃起來比鴨還老！，最後⋯大家如果想試試心痛的感覺 通通點下去⋯保證超有感！ ，Ps.六人用餐總計11碟菜1湯⋯2670大洋⋯提供大家參考！"""
9,噗嚨哄海鮮熱炒,2018/05/11,3,"""朋友聚會的地方還可以"""
10,噗嚨哄海鮮熱炒,2018/05/11,5,"""菜色不錯，出菜快，"""
11,噗嚨哄海鮮熱炒,2018/05/11,4,"""比一般快炒要多些東西"""
12,噗嚨哄海鮮熱炒,2018/05/11,1,"""名符其實"""
13,噗嚨哄海鮮熱炒,2018/05/11,5,"""食材新鮮，又便宜"""
14,噗嚨哄海鮮熱炒,2018/05/11,4,"""普通還可以"""
15,噗嚨哄海鮮熱炒,2019/05/11,5,""" 好吃，，"""
16,噗嚨哄海鮮熱炒,2019/05/11,5,"""讚 好吃😋推"""
17,噗嚨哄海鮮熱炒,2019/05/11,5,"""老闆娘漂亮又親切，感覺很有在家吃飯的感覺~，推薦必點腐乳空心菜，炒水蓮，冷筍，烤雞腿肉，如果有超過8個人來吃可以點超大台灣鯛，肉很彈牙沒有土味，不過要先預訂就是了"""
18,噗嚨哄海鮮熱炒,2019/05/11,5,"""好吃又新鮮！！！"""
