id,date,star,text
1,2018/05/09,5,"""把公司春酒辦在這，大家都說不錯喔！"""
2,2018/05/09,5,"""蒼蠅頭夠辣夠味，牛小排夠嫩夠咬勁，炸豆腐夠軟夠香，再加上新開店面整齊乾淨，服務生主動理桌面，是可以推薦的熱炒店"""
3,2019/05/09,5,"""輕鬆涼爽的用餐環境，很棒，值得推薦"""
4,2019/05/09,5,"""熱炒平價ヌ好吃，適合來聚餐喝2杯"""
5,2019/05/09,4,""" 一個晚餐聚會的好地方。，，"""
6,2019/05/09,5,"""這家炒菜好吃,店也乾淨"""
7,2019/05/09,5,"""口味好，環境舒適"""
8,2019/05/09,5,"""讚啦，老闆又親切，來就對了"""
9,2019/05/09,5,"""食材新鮮好吃，用餐環境舒適，大力推！"""
10,2019/05/09,5,"""環境舒適，服務週到 菜色豐盛，重點好吃"""
11,2019/05/09,5,""" 老闆 服務生都很好 親切 環境幽 料理棒 值得推薦，，"""
12,2019/05/09,5,"""這家的熱炒很好吃、菜色很多樣化，價格公道、交通也便利，CP質很高。店裡服務人員的態度很親切、和善，是個聚會小酌的好地方。值得推薦！"""
13,2019/05/09,5,""" 高CP值，，"""
14,2019/05/09,5,"""用餐環境舒適，菜色豐富美味"""
15,2019/05/09,5,"""就是一句贊..."""
16,2019/05/09,5,"""好吃，非常好的店家，值得推薦"""
17,2019/05/09,5,"""菜色多樣，目前吃到的除了香烤雞屁股有點鹹（對重口味的人應該會覺得很讚）以外，其他每道都很好吃。環境好，裡面的人服務態度也都很好。"""
18,2019/05/09,3,"""味道不錯但份量太少單價偏高。cp值一般"""
19,2019/05/09,4,"""上菜速度快。辣炒豆干肉絲很夠味。白灼蝦的蝦子大又新鮮。好吃。，座位從二人座到10人大圓桌都有，好友二人小聚或一群好友吃熱炒喝啤酒都適宜。連兒童高腳椅都有喔。"""
20,2019/05/09,5,""" 好吃！ ！ ！，，"""
21,2019/05/09,5,"""好吃！！好吃！！！！多人吃可以吃比較多菜色也划算！！！"""
22,2019/05/09,5,"""好吃 再便宜一點點更好"""
