id,date,star,text
1,2015/05/09,4,""" 便宜份量也大，，"""
2,2015/05/09,4,"""平價好吃!"""
3,2016/05/09,5,"""料好實在，上菜速度很快"""
4,2016/05/09,4,"""便宜又大碗!味道挺家常的，適合三五好友放鬆心情大吃，但是分量真的不少建議不要點太多..."""
5,2016/05/09,4,"""份量多，位於東區，價格大眾化"""
6,2016/05/09,4,""" 便宜好吃，，"""
7,2016/05/09,4,""" 這家餐廳位於繁華的地區，以優惠的價格提供一些美味的台灣小吃（熱炒）菜餚（一個除外）。這個地方可能是我最新的去的地方，如果它不是他們可怕的宮保雞雞 - 這就是我認為re chao的地方，因為它的主食大聲笑！除此之外，這個地方還提供各種各樣的菜餚，這些菜餚都做得很好。加上他們方便的位置和晚餐後的選擇，該地區的甜點和飲料使它成為一個不錯的選擇......只要你不介意沒有宮保雞丁。，，"""
8,2016/05/09,2,"""送錯菜，還問要不要加點（送錯的那道菜）。，之後接二連三的送錯來給我們。，，口味一般，吃粗飽的可以來吃。"""
9,2016/05/09,4,"""還不錯吃，可惜啤酒沒有玻璃杯 只有紙杯…"""
10,2016/05/09,3,"""價格合理 分量適中 味道就普通了點"""
11,2016/05/09,5,""" 台北找不到，便宜又好吃。，，"""
12,2016/05/09,5,"""便宜好吃，適合輕鬆聚餐"""
13,2016/05/09,5,""" 便宜好吃，，"""
14,2016/05/09,5,""" 好，，"""
15,2016/05/09,1,"""態度欠佳"""
16,2016/05/09,5,"""平價又好吃的快炒店。在東區這裡可說是CP爆表，適合多人前來聚餐，最好在開門前就來候位，以免大排長龍。推薦招牌油雞。"""
17,2016/05/09,5,"""夠快夠評價！"""
18,2016/05/09,4,"""還行"""
19,2016/05/09,4,"""價格不貴，料理炒的還不錯"""
20,2016/05/09,2,""" 口味不合，，"""
21,2016/05/09,5,""" 不說便宜又美味。，營業時間，11：30-14：00，17：00-21：00，，"""
22,2017/05/09,4,"""多年好味道 許多上班族都會懷念滋味"""
23,2017/05/09,4,"""相當平價好吃，中午總是爆滿"""
24,2017/05/09,4,""" 便宜好吃！，，"""
25,2017/05/09,4,"""真的好吃又平價"""
26,2017/05/09,4,"""調味恰當，比一般快炒店好吃很多"""
27,2017/05/09,4,""" 中午人很多,,,,,老店了，，"""
28,2017/05/09,5,"""好吃平價又飽飽"""
29,2017/05/09,4,""" 料理好吃又便宜。，，"""
30,2017/05/09,4,""" 便宜好吃，，"""
31,2017/05/09,5,"""東西平價 好吃 店員又親切"""
32,2017/05/09,4,"""口味不錯"""
33,2017/05/09,3,"""很新鮮，價位便宜"""
34,2017/05/09,1,"""我連一顆星都不想給。，態度實在太差了，真是花錢找罪受，，這些外籍人士都有工作證嗎？，且也沒開發票，，超級不推薦這家的。"""
35,2017/05/09,4,"""好吃又平價。"""
36,2017/05/09,4,"""若是休息了，恐怕很多人會哭的店。"""
37,2017/05/09,5,"""從小吃到大，在台北東區像這樣的店真的已經很難存活了，價格平實，份量實在，口味中上，所以天天爆滿。，既然說是開宗明義就說是平價了，一定會有他們照顧不來的地方，想來的就不要想忙碌時服務能多好，要服務好請去五星級餐廳。但也因為環境普通，所以才能平價。先有心理準備再前往用餐。，要帶外國人吃熱炒，可以選擇其他有英文菜單，環境整潔，價位高一點的店家，相信外國人來出差仍然消費得起。這間店不適合你們。"""
38,2017/05/09,5,"""料理好吃，環境乾淨，價格平價。"""
39,2017/05/09,5,""" 好吃 上菜又快，，"""
40,2017/05/09,5,"""cp值高，麻婆豆腐配好幾晚飯，其他熱炒好吃便宜多一點人來有大圓桌"""
41,2017/05/09,4,""" 便宜好吃，，"""
42,2017/05/09,4,""" 便宜好吃，，"""
43,2017/05/09,4,"""位於東區，這樣子的價位很便宜！菜色還可以，整個店家並非傳統熱炒店舖的氣氛！晚上九點即準備停止營業"""
44,2017/05/09,3,""" 便宜但菜量偏少，，"""
45,2017/05/09,3,"""中午非常多人，但是飯菜有點油膩。"""
46,2017/05/09,5,""" 很棒的當地美食，當地人推薦這個地方，你可以看到這個地方也很擁擠。有這種油炸蝦與梅奧真的非常炸彈。，，"""
47,2017/05/09,4,""" 體面的食物，味道好，味道好。受當地人歡迎。價格公道，，"""
48,2017/05/09,3,"""好吃cp值高，台菜炒煮好吃，吃不完可打包帶回，最重要真的便宜好吃!!"""
49,2017/05/09,4,""" 雖然價格還可以，，"""
50,2017/05/09,3,"""好吃極了"""
51,2017/05/09,3,""" 我覺得如果家裡不開夥，這裡真的非常適合一家大小吃飯的地方，物美價格公道，應有盡有，硬的軟的皆有，超貼心。 。，，"""
52,2017/05/09,4,"""算是東區餐飲類比較便宜的料理，一群人點滿桌，付錢比較不心痛啦！"""
53,2017/05/09,4,"""價格實在，出菜迅速，料理好吃"""
54,2017/05/09,4,"""還算平價><"""
55,2017/05/09,4,"""好吃，上菜快，價格平易近人"""
56,2017/05/09,4,"""菜色都有一定水準，價格便宜"""
57,2017/05/09,5,"""很划算地方，尤其是在東區找不到了!"""
58,2017/05/09,5,"""新鮮價位合"""
59,2017/05/09,4,"""人很多，吃飯時間要排隊一下，東西還不錯，也真的如其名，平價！"""
60,2017/05/09,3,"""還行，價錢公道"""
61,2017/05/09,5,"""價格便宜出菜快，口味最適合搭配啤酒"""
62,2017/05/09,4,"""算台北市裡面熱炒品質高的，吃飯時間要有排隊的準備"""
63,2017/05/09,3,"""好吃但是有點油膩，以健康來說有點負擔啊"""
64,2017/05/09,1,"""有一部份菜，用炸過的油。魚香供蛋亂做一通。既無魚香料，蛋也不是用烘的，服務熊度差！"""
65,2017/05/09,2,"""變不好吃了"""
66,2017/05/09,1,"""服務人員態度奇差無比，絕對不會再去!有要去的人請三思，東西普普，小小一盤，口味偏鹹"""
67,2017/05/09,5,"""平價，味道好~"""
68,2017/05/09,4,"""很平價的家常菜。份量很夠。一定吃的很飽。菜色味道也很棒，是可以列入口袋名單的選擇之一。"""
69,2017/05/09,5,"""便宜好吃！真的很多人，訂位好難"""
70,2017/05/09,3,"""價格便宜物超所值，但9點關門，有點早"""
