id,date,star,text
1,2016/05/10,5,""" 好吃！，，"""
2,2016/05/10,1,"""爛…，態度惡劣，瞧不起人（因為只有兩個人到場）"""
3,2016/05/10,4,"""菜都很大盤，所以建議人多點去比較適合。，，推薦：，山豬肉，三杯雞，鮮蒸魚"""
4,2016/05/10,1,"""去點了一盤炒飯外帶說要我等一小時,態度很搖擺,不賣我炒飯就說一聲"""
5,2016/05/10,5,"""非常好吃！適合多人聚餐，雖未標示價格但多人用餐均分多在400-600/人。推薦四季豆肥腸、炒海瓜子、椒鹽龍珠、A菠菜、鳳梨蝦球、苦瓜雞湯！"""
6,2017/05/10,5,"""人多吃起來很棒 """
7,2017/05/10,1,"""人少的話千萬別來這裡，這家是屬於劣等奧店，超級大小眼的"""
8,2017/05/10,4,"""好吃新鮮但貴"""
9,2017/05/10,4,"""適合下酒的好味道，菜色選擇多樣化，適合朋友小酌的熱炒店!"""
10,2017/05/10,5,""" 好吃便宜，，"""
11,2017/05/10,5,""" 我把它帶給了我的親戚。它非常好吃。我也要和朋友一起吃飯。 （∩╹∀╹∩）❤，，"""
12,2017/05/10,4,"""很棒的熱炒店"""
13,2017/05/10,4,"""東西很好吃，老闆相當客氣"""
14,2017/05/10,2,"""比一般熱炒貴，烤魚竟然用油魚，還我噴油兩天，海瓜子不錯"""
15,2017/05/10,4,"""這是一家很棒的快炒店    菜色和一般的快炒店  不一樣   值得去   價格也比較   高一些"""
16,2017/05/10,5,"""好吃！適合多點人一起去分享，不然兩個人點不了多少。"""
17,2017/05/10,3,"""熱炒店菜色豐富，但價格偏高，芥菜雞鍋的雞肉小塊感覺很虛"""
18,2017/05/10,5,""" 快炒美味好吃，跟一般百元快炒不同！，，"""
19,2017/05/10,5,"""東西非常好吃"""
20,2017/05/10,4,""" 好吃，，"""
21,2017/05/10,4,""" 好吃的食物，，"""
22,2017/05/10,5,""" 好食物，，"""
23,2017/05/10,3,"""朋友推薦，聚餐方便，好吃，地點在地圖上不明顯"""
24,2017/05/10,5,"""幾乎沒地雷，海派聚會適合的好地方。大推鹹蛋炒竹筍"""
25,2017/05/10,4,"""實實在在的好吃!用料實在、新鮮，上菜速度也很快，待客親切!!但似乎有點小貴且不曉得每道菜的價格...如果價格透明化會更好!!"""
26,2017/05/10,5,"""超好吃且可以自己帶酒不收費！"""
27,2017/05/10,3,""" 食物還可以，，"""
28,2018/05/10,5,"""用料新鮮實在"""
29,2018/05/10,4,"""價格偏貴 但是材料不錯"""
30,2018/05/10,3,"""好像沒有之前的好吃，有點失望了"""
31,2018/05/10,5,""" 好吃，，"""
32,2018/05/10,1,"""好貴"""
33,2018/05/10,5,"""絕非一般平庸熱炒，獨家手路菜。新鮮，美味。"""
34,2018/05/10,4,"""真的好吃~~!! 缺點就是出菜慢了點.."""
35,2018/05/10,5,"""豬肝好吃"""
36,2018/05/10,5,"""東西都好吃，海鮮類的一點腥味都沒有呢，可是是教授請客不太清楚價位哈哈哈"""
37,2018/05/10,5,"""全台北市最好吃的快炒店！，新鮮、真材實料、炒的口味超棒！，啤酒夠冰、飲料選擇夠多！，老闆人超好～，保證一吃成主顧！"""
38,2018/05/10,4,"""很好吃的快炒店，假日前可能要先預約，否則就很可能會沒位置給你唷！"""
39,2018/05/10,3,"""可以吵鬧喝酒的地方  料理就熱炒店  食材ok   5個人小聚吃了6000 價格見人見智"""
40,2018/05/10,4,"""好吃夠味的熱炒店，裝潢很有fu，口味偏重，總體來說滿好吃的，價位不算便宜"""
41,2018/05/10,3,"""好吃 口味偏重偏辣 老闆服務熱情 上菜速度快 但價格真的是有點貴啊 一個人吃下來接近500跑不掉 可能有更好的選擇科科"""
42,2018/05/10,1,"""(由 Google 提供翻譯) 重口味客家小炒一盤３９０元.....價格竟然直逼另一盤紅燒土味吳郭魚４００元，不巧又點了兩盤份量超少、各１５０元的重油炒高麗菜和重油炒A菜，吃完才知道進了高級餐廳、卻沒有物超所值的食材。沒有三高、口袋又深的話，可以考慮嘗嘗。，，菜單分別為：，，高麗菜１５０元，A菜１５０元，蝨目魚肚湯２６０元，客家小炒３９０元，紅燒吳郭魚４００元，炒麵７０元，炒飯７０元，炒米粉７０元，白飯７碗７０元，，總共１６３０元 …"""
43,2018/05/10,5,"""不錯吃，口味重下飯"""
44,2018/05/10,1,"""價格過高"""
45,2018/05/10,4,""" 很好吃，，"""
46,2018/05/10,5,"""好吃 好好吃價格可以在親民一點～😊😊"""
47,2018/05/10,3,"""好貴，4人五道菜花了2張小朋友，心疼啊…"""
48,2018/05/10,4,"""東西非常好吃"""
49,2018/05/10,4,"""還不錯的餐廳，但稍微貴一點"""
50,2018/05/10,5,""" 喝酒好地方，，"""
51,2018/05/10,1,"""態度差大小眼 只剩大桌我們六個人就說沒位子，六樣菜 一個湯 兩個炒麵一個炒飯 總共2560 價格偏高，好吃就算了 味道跟一般熱炒沒兩樣，而且出菜極慢 從開始吃到結束桌上沒有同時超過兩個盤子 吃的一點都不爽"""
52,2018/05/10,5,"""餐點具水準，價格不便宜"""
53,2018/05/10,5,"""傳統熱炒..口味好"""
54,2018/05/10,5,"""現鈔食材新鮮好吃"""
55,2018/05/10,5,"""好吃，新鮮本土味香港親人連續吃兩天，讚。"""
56,2018/05/10,4,""" 菜好，，"""
57,2018/05/10,3,"""口味偏重，大部分菜色算好吃。但價位比起附近的熱炒店明顯高出一截，一個人簡單吃常常破600。一個人去吃的話老闆娘臉色會不大好，還曾經被老闆娘用他們家東西不便宜勸退過 ..."""
58,2018/05/10,4,"""老店  菜色口味不錯  價格公道  座室內要先預訂"""
59,2018/05/10,4,"""每道菜都很好吃，但不能太喧嘩，室外位子沒有禁煙，不抽煙的人盡量選室內位子"""
60,2018/05/10,4,"""食材不錯，招呼熱切"""
61,2018/05/10,4,"""比百圓熱炒價位略高，但是絕對划算。，推薦:炒米粉，紅燒海吳郭魚，乾煎馬頭魚，煎豬肝，大腸四季豆，蒜頭蜆湯。"""
62,2018/05/10,5,"""李家榕樹下快炒店.菜色新鮮.師父的炒菜手藝就是好吃的沒話說"""
63,2018/05/10,4,"""超好吃～很特別,隨便點都很讚"""
64,2018/05/10,4,"""料很實在好吃"""
