id,date,star,text
1,2017/05/15,5,"""正港台式海鮮料理，很台很好吃"""
2,2017/05/15,3,"""好吃親切"""
3,2018/05/15,5,"""食材頂鮮味道鮮甜可口"""
4,2018/05/15,5,"""新鮮又划算，cp極高"""
5,2018/05/15,5,"""路邊攤的價格，吃到很有誠意的料理"""
6,2019/05/15,5,"""列入愛店"""
7,2019/05/15,4,"""菜色好吃價格中肯， 用餐空間冷氣稍嫌不足， 也比較吵"""
8,2019/05/15,5,"""筍絲炒蛋，好下飯"""
9,2019/05/15,4,"""竹筍炒雞蛋醬香下飯，炸雞塊是雞腿部位外酥內嫩，豆干炒五花肉豆干可以再片薄點，豆干不入味;總結份量十足，價格平民。"""
10,2019/05/15,5,"""超優的熱炒店，口味極佳、價格平實，大推薦！！"""
11,2019/05/15,3,""" 太鹹了，太油膩了。很多人都在吸煙，而且環境非常惡劣。，，"""
12,2019/05/15,4,"""東西好吃，CP高"""
13,2019/05/15,5,"""手藝好，份量足，適合多人聚餐"""
14,2019/05/15,5,"""俗閣大碗"""
15,2019/05/15,5,"""新鮮好吃的臺式料理！"""
16,2019/05/15,1,"""菜色少 偏貴 上菜慢"""
17,2019/05/15,5,"""好久沒吃到這麼鮮香的好味道！，完全一次就擄獲我，，雖然坐在路邊的環境不是很舒適，，但口味和食材的驚艷，，讓我絕對會再訪N次👍🏻"""
18,2019/06/15,4,"""老實說，雖然週邊也算百元快炒熱點，但我身為在地人，如果想吃魚和熱炒，只要不要求氣氛和裝璜，這絕對是我的第一首選。，雖然不是百元熱炒，又沒有菜單，都要看菜台點菜，但價格合理，份量十足，兩個人點三個菜，幾百元吃得超飽，雖然白飯任你吃，但最好不要吃太多飯，免得菜吃不完。，重點必推的是魚，雖然不是活魚，但絕對是當天新鮮的魚，紅燒加點辣，非常的下飯。"""
19,2019/06/15,5,"""好吃，我覺得這裡的料理很有cp值"""
20,2019/08/15,5,"""在地老大哥的店！當然要捧場一下"""
21,2019/09/15,5,""" 物超所值，好吃又便宜!，，"""
22,2019/09/15,4,""" 好吃的店 ！，，"""
23,2019/10/15,5,"""高CP值海鮮料理餐廳，值得推薦的料理煎馬頭魚與炸魚丸"""
24,2019/10/15,3,"""這家....不差啦，但是就說環境不太好"""
25,2019/11/15,5,"""在台北吃過不下百間熱炒！這家最不起眼，卻是我心目中的第一名，林森北的德惠鵝肉第二，第三目前從缺。"""
26,2019/11/15,3,"""海鮮话的，馬頭魚乾煎很棒，竹筍火蛋招牌，透抽三杯，"""
27,2019/12/15,2,""" 尚可，，"""
28,2019/12/15,5,"""真的很好吃哦 要先訂好較妥"""
29,2019/12/15,5,"""老闆，老闆娘人和氣 菜又新鮮好吃。"""
30,2020/01/15,5,"""隱藏版美食，味美價實，推！"""
31,2020/03/15,5,"""海鮮新鮮，馬頭魚、蝦 、蚵仔都好吃，熱炒也很棒！適合多人來吃可以多點幾道菜！"""
32,2020/04/15,5,"""食材新鮮好吃。"""
33,2020/04/24,5,"""從小吃到大的美味，推薦大家來吃"""
