id,name,date,star,text
1,海福岡日本料理海鮮熱炒,2015/05/10,4,"""乾淨精緻的小店，料理多樣味道鮮"""
2,海福岡日本料理海鮮熱炒,2016/05/10,5,"""好吃實惠"""
3,海福岡日本料理海鮮熱炒,2016/05/10,2,"""貴死了"""
4,海福岡日本料理海鮮熱炒,2016/05/10,5,"""口感吃的出來食材都是即時現烤現做的有感覺到店家的誠意!"""
5,海福岡日本料理海鮮熱炒,2016/05/10,5,"""價錢雖中上價。但物美實在。。"""
6,海福岡日本料理海鮮熱炒,2016/05/10,4,"""東西蠻好吃的，價錢也不算太貴，不過份量有點少。"""
7,海福岡日本料理海鮮熱炒,2016/05/10,3,"""東西不到那個價位該有的期待"""
8,海福岡日本料理海鮮熱炒,2016/05/10,4,"""味道不錯，場地有點小"""
9,海福岡日本料理海鮮熱炒,2017/05/10,4,"""食物不錯吃，不過份量有點少"""
10,海福岡日本料理海鮮熱炒,2017/05/10,4,""" 價格公道。美味的食物。，，"""
11,海福岡日本料理海鮮熱炒,2017/05/10,1,"""外送送錯還要我們付錢~~，還說自己去拿比較快，那我們為什麼要外送....."""
12,海福岡日本料理海鮮熱炒,2017/05/10,5,"""老闆服務親切，非常好吃"""
13,海福岡日本料理海鮮熱炒,2017/05/10,3,"""味道不錯，價錢OK，但份量很少"""
14,海福岡日本料理海鮮熱炒,2017/05/10,3,"""份量偏少，價格較高，食物不錯"""
15,海福岡日本料理海鮮熱炒,2017/05/10,4,"""中午人潮多座位要等，餐點不錯"""
16,海福岡日本料理海鮮熱炒,2017/05/10,5,"""料理不錯，但價格偏高！"""
17,海福岡日本料理海鮮熱炒,2017/05/10,5,"""陳董說讚"""
18,海福岡日本料理海鮮熱炒,2017/05/10,2,"""海膽蓋飯大失所望，並不鮮甜"""
19,海福岡日本料理海鮮熱炒,2017/05/10,2,""" 不好吃， cp值超低，，"""
20,海福岡日本料理海鮮熱炒,2017/05/10,5,""" 好吃，，"""
21,海福岡日本料理海鮮熱炒,2017/05/10,4,"""平價商業午餐"""
22,海福岡日本料理海鮮熱炒,2017/05/10,4,"""新鮮又好吃"""
23,海福岡日本料理海鮮熱炒,2017/05/10,3,"""料理普普，價格有點高"""
24,海福岡日本料理海鮮熱炒,2017/05/10,3,"""份量偏少，口味一般，中式日式有點混雜，不過老闆娘很客氣。"""
25,海福岡日本料理海鮮熱炒,2017/05/10,1,""" 菜色十分不道地，不像日本道地味道與精神。，套餐比主餐還貴，叫了套餐，不會替客人估算份量，還要客人叫炒菜，不知是不好吃，還是吃不完，就是吃得很辛苦！，吃快完了，青菜都還沒煮，也不讓退，硬說炒了，在那邊等炒青菜。，結果，留著滿桌吃不完、而且蠻不好吃的的食物，蠻糟蹋食材的，虧我什麼都吃，食量又大的人，結果主餐剩，湯也剩，滿滿的青菜一盤也在，比我自己在家炒的還難吃，老闆娘賠不是的小菜也剩……，整體該覺可以說感覺像上了黑店，難吃又貴。，，"""
26,海福岡日本料理海鮮熱炒,2017/05/10,3,""" 台式的日本料理，，"""
27,海福岡日本料理海鮮熱炒,2018/05/10,5,""" 道地美食！，，"""
28,海福岡日本料理海鮮熱炒,2018/05/10,2,"""請注意，老闆娘非常擔心你沒付錢，也非常擔心她多找錢給你。"""
29,海福岡日本料理海鮮熱炒,2018/05/10,4,"""安靜  餐食不錯"""
