id,date,star,text
1,2013/05/17,3,"""晚上座無虛席，很經典的台菜客家菜，招待大陸朋友去吃的；類似快炒般的價位與份量，但砂鍋魚頭不成比例的大份量，點菜一定要注意，最後我們是打包了…"""
2,2013/05/17,4,"""價值"""
3,2014/05/17,4,""" 價格好吃料理實在！熱炒的價格但是比熱炒再好一些！很推薦砂鍋魚頭，真的很好吃，難忘裡麵粉條的美味～，，"""
4,2014/05/17,5,""" 超好吃的拉，，"""
5,2016/05/17,3,""" 味道好，但紅蟳粉絲煲的紅蟳是臭的。，，"""
6,2016/05/17,4,"""砂鍋魚頭必點"""
7,2016/05/17,4,""" 便宜好吃，，"""
8,2016/05/17,3,"""老口味台菜，價位口味都ok. 砂鍋魚頭為招牌菜，份量大"""
9,2016/05/17,4,"""好吃不用多說"""
10,2016/05/17,1,"""東西好吃，但我吃砂鍋魚頭裡面岀現蟑螂，看內部環境就覺得不意外"""
11,2016/05/17,5,"""砂鍋魚頭讚！"""
12,2016/05/17,3,"""好吃可是座位太窄，不是個舒服的環境"""
13,2016/05/17,4,"""有水準的熱炒, 還有一些大菜要事先預訂, 人多的話砂鍋魚頭千萬不要錯過..."""
14,2016/05/17,3,"""經濟實惠的聚餐選擇"""
15,2016/05/17,4,"""一群人聚餐喝酒吃火鍋的好地方！價位不高！"""
16,2016/05/17,3,""" 有趣的當地餐廳。食物很好，價格也很公道，但這個地方太緊湊了 - 就像大多數當地的餐館一樣。在高峰時段可能會擁擠和嘈雜。，，"""
17,2016/05/17,2,""" 挺不錯的！服務也不錯！ ！ ！ ！，，"""
18,2016/05/17,4,"""推薦砂鍋魚頭"""
19,2016/05/17,1,"""定位時間剩30分鐘。到現場之後。。，櫃檯歐巴桑大聲嚷嚷。定位時間未道，不可以進場等。。到外面等。。態度很差。，明明裡面空位還有四到五桌"""
20,2016/05/17,3,"""水準不錯。但是品質有點不穩定。金沙南瓜太油"""
21,2016/05/17,4,"""平價合菜，常要排隊，建議先預定。"""
22,2016/05/17,4,"""以台北市熱炒店的價位來說，便宜許多，許多功夫菜也很好吃。"""
23,2016/05/17,4,"""味道不錯，上菜很快，但有點吵"""
24,2016/05/17,4,"""迅速、便宜、美味兼具，適合團體聚餐"""
25,2016/05/17,5,"""砂鍋魚頭湯頭鮮美 熱炒好吃"""
26,2017/05/17,4,"""超平價，唯獨偏油些，白飯不用錢，很親民。德國豬腳讚。"""
27,2017/05/17,4,"""沙鍋魚頭是這間店的招牌"""
28,2017/05/17,5,"""平價好吃的熱炒店"""
29,2017/05/17,4,"""聽說是蔣經國廚師開的"""
30,2017/05/17,4,"""還不錯~"""
31,2017/05/17,4,"""不錯吃"""
32,2017/05/17,3,""" 便宜好吃，，"""
33,2017/05/17,5,"""基隆路六張犛百元熱炒店：湘鼎坊 | 台北市大安區"""
